"age_group","is_female","N","n_prefrail","n_frail","n_robust","prefrail","frail","robust"
"[55,60)",1,19021,2568,654,15799,0.135008674622785,0.0343830503128122,0.830608275064402
"[65,70)",1,17867,3075,944,13848,0.172104998041081,0.0528348351709856,0.775060166787933
"[40,45)",1,13069,898,149,12022,0.0687122197566761,0.01140102532711,0.919886754916214
"[50,55)",1,16444,1843,443,14158,0.112077353441985,0.026939917295062,0.860982729262953
"[75,80)",1,8225,1980,651,5594,0.240729483282675,0.0791489361702128,0.680121580547112
"[80,100]",1,5778,1603,761,3414,0.277431637244721,0.131706472827968,0.59086188992731
"[65,70)",0,12266,2224,671,9371,0.181314201858797,0.054704060003261,0.763981738137942
"[40,45)",0,6510,328,81,6101,0.050384024577573,0.0124423963133641,0.937173579109063
"[60,65)",1,18803,2931,796,15076,0.155879380949848,0.0423336701590172,0.801786948891134
"[45,50)",0,7521,605,171,6745,0.0804414306608164,0.0227363382528919,0.896822231086292
"[50,55)",0,9542,964,256,8322,0.101027038356739,0.0268287570739887,0.872144204569273
"[55,60)",0,12063,1433,412,10218,0.118793003398823,0.0341540247036392,0.847052971897538
"[70,75)",1,14077,3031,907,10139,0.21531576330184,0.0644313419052355,0.720252894792925
"[45,50)",1,13729,1279,268,12182,0.0931604632529682,0.0195207225580887,0.887318814188943
"[70,75)",0,11053,2353,715,7985,0.212883380077807,0.0646883199131457,0.722428300009047
"[60,65)",0,12801,1895,575,10331,0.148035309741426,0.0449183657526756,0.807046324505898
"[80,100]",0,5447,1439,646,3362,0.264182118597393,0.1185973930604,0.617220488342207
"[75,80)",0,7352,1818,572,4962,0.24727965179543,0.0778019586507073,0.674918389553863
