"age_group","is_female","category","N","count","percent"
"[40,45)",0,"Activity limitation",6510,0,0
"[40,45)",1,"Activity limitation",13069,0,0
"[45,50)",0,"Activity limitation",7521,0,0
"[45,50)",1,"Activity limitation",13729,0,0
"[50,55)",0,"Activity limitation",9542,0,0
"[50,55)",1,"Activity limitation",16444,0,0
"[55,60)",0,"Activity limitation",12063,0,0
"[55,60)",1,"Activity limitation",19021,0,0
"[60,65)",0,"Activity limitation",12801,0,0
"[60,65)",1,"Activity limitation",18803,0,0
"[65,70)",0,"Activity limitation",12266,0,0
"[65,70)",1,"Activity limitation",17867,0,0
"[70,75)",0,"Activity limitation",11053,0,0
"[70,75)",1,"Activity limitation",14077,0,0
"[75,80)",0,"Activity limitation",7352,0,0
"[75,80)",1,"Activity limitation",8225,0,0
"[80,100]",0,"Activity limitation",5447,0,0
"[80,100]",1,"Activity limitation",5778,0,0
"[40,45)",0,"Anaemia and haematinic deficiency",6510,317,0.0486943164362519
"[40,45)",1,"Anaemia and haematinic deficiency",13069,1197,0.0915907873594001
"[45,50)",0,"Anaemia and haematinic deficiency",7521,482,0.064087222443824
"[45,50)",1,"Anaemia and haematinic deficiency",13729,1334,0.0971665816883968
"[50,55)",0,"Anaemia and haematinic deficiency",9542,635,0.0665478935233704
"[50,55)",1,"Anaemia and haematinic deficiency",16444,1389,0.0844684991486256
"[55,60)",0,"Anaemia and haematinic deficiency",12063,851,0.0705462985990218
"[55,60)",1,"Anaemia and haematinic deficiency",19021,1492,0.0784396193680669
"[60,65)",0,"Anaemia and haematinic deficiency",12801,1038,0.0810874150456996
"[60,65)",1,"Anaemia and haematinic deficiency",18803,1483,0.07887039302239
"[65,70)",0,"Anaemia and haematinic deficiency",12266,1086,0.0885374205119843
"[65,70)",1,"Anaemia and haematinic deficiency",17867,1573,0.088039402249958
"[70,75)",0,"Anaemia and haematinic deficiency",11053,1049,0.0949063602641817
"[70,75)",1,"Anaemia and haematinic deficiency",14077,1366,0.0970377211053492
"[75,80)",0,"Anaemia and haematinic deficiency",7352,817,0.111126224156692
"[75,80)",1,"Anaemia and haematinic deficiency",8225,872,0.106018237082067
"[80,100]",0,"Anaemia and haematinic deficiency",5447,796,0.14613548742427
"[80,100]",1,"Anaemia and haematinic deficiency",5778,779,0.134821737625476
"[40,45)",0,"Arthritis",6510,232,0.0356374807987711
"[40,45)",1,"Arthritis",13069,733,0.0560869232535006
"[45,50)",0,"Arthritis",7521,432,0.0574391703230953
"[45,50)",1,"Arthritis",13729,1178,0.085803773035181
"[50,55)",0,"Arthritis",9542,705,0.0738838817857891
"[50,55)",1,"Arthritis",16444,1818,0.110557042082218
"[55,60)",0,"Arthritis",12063,1161,0.0962447152449639
"[55,60)",1,"Arthritis",19021,2685,0.141159770779665
"[60,65)",0,"Arthritis",12801,1470,0.114834778532927
"[60,65)",1,"Arthritis",18803,3128,0.166356432484178
"[65,70)",0,"Arthritis",12266,1681,0.137045491602804
"[65,70)",1,"Arthritis",17867,3433,0.192141937650417
"[70,75)",0,"Arthritis",11053,1801,0.162942187641364
"[70,75)",1,"Arthritis",14077,3028,0.215102649712297
"[75,80)",0,"Arthritis",7352,1237,0.168253536452666
"[75,80)",1,"Arthritis",8225,1918,0.233191489361702
"[80,100]",0,"Arthritis",5447,1005,0.184505232237929
"[80,100]",1,"Arthritis",5778,1471,0.254586362062998
