"age_group","is_female","N","n_prefrail","n_frail","n_robust","prefrail","frail","robust"
"[65,70)",0,12266,2278,1368,8620,0.185716615033426,0.111527800423936,0.702755584542638
"[75,80)",1,8225,1891,1372,4962,0.229908814589666,0.166808510638298,0.603282674772036
"[50,55)",1,16444,2371,1270,12803,0.144186329360253,0.0772318170761372,0.77858185356361
"[65,70)",1,17867,3293,2162,12412,0.184306262942856,0.12100520512677,0.694688531930374
"[55,60)",1,19021,2937,1718,14366,0.154408285579097,0.0903212239104148,0.755270490510488
"[80,100]",1,5778,1350,1321,3107,0.233644859813084,0.228625822083766,0.53772931810315
"[40,45)",1,13069,1375,529,11165,0.105210804193129,0.0404774657586655,0.854311730048206
"[40,45)",0,6510,528,232,5750,0.0811059907834101,0.0356374807987711,0.883256528417819
"[55,60)",0,12063,1632,1006,9425,0.135289728923153,0.0833955069219929,0.781314764154854
"[80,100]",0,5447,1310,1117,3020,0.240499357444465,0.205067009362952,0.554433633192583
"[70,75)",0,11053,2344,1386,7323,0.212069121505474,0.125395820139329,0.662535058355198
"[45,50)",1,13729,1697,882,11150,0.123606963362226,0.0642435720008741,0.8121494646369
"[70,75)",1,14077,2981,2030,9066,0.211763870142786,0.144206862257583,0.644029267599631
"[60,65)",0,12801,2029,1257,9515,0.158503241934224,0.0981954534801969,0.743301304585579
"[60,65)",1,18803,3240,1960,13603,0.172312928787959,0.104238685316173,0.723448385895868
"[45,50)",0,7521,808,430,6283,0.107432522270975,0.0571732482382662,0.835394229490759
"[50,55)",0,9542,1132,656,7754,0.118633410186544,0.068748690002096,0.81261789981136
"[75,80)",0,7352,1650,1102,4600,0.22442872687704,0.149891186071817,0.625680087051143
