"age_group","is_female","n","n_prefrail","n_frail","n_robust","prefrail","frail","robust"
"[40,45)",0,56050,68,1,55981,0.00121320249776985,0.0000178412132024978,0.998768956289028
"[40,45)",1,51159,146,4,51009,0.00285384780781485,0.0000781876111730096,0.997067964581012
"[45,50)",0,56112,187,1,55924,0.00333262047333904,0.000017821499857428,0.996649558026804
"[45,50)",1,51796,278,1,51517,0.00536720982315237,0.0000193065101552243,0.994613483666692
"[50,55)",0,56983,408,10,56565,0.00716003018444097,0.000175490935893161,0.992664478879666
"[50,55)",1,53701,513,9,53179,0.00955289473194168,0.000167594644420029,0.990279510623638
"[55,60)",0,52084,680,14,51390,0.0130558328853391,0.00026879655940404,0.986675370555257
"[55,60)",1,48163,730,21,47412,0.0151568631522123,0.000436019350954052,0.984407117496834
"[60,65)",0,46881,1236,37,45608,0.026364625327958,0.000789232311597449,0.972846142360445
"[60,65)",1,43894,1179,18,42697,0.0268601631202442,0.000410078826263271,0.972729758053492
"[65,70)",0,43151,2009,66,41076,0.0465574378345809,0.00152951264165373,0.951913049523765
"[65,70)",1,41309,1852,75,39382,0.044832845142705,0.00181558498148103,0.953351569875814
"[70,75)",0,36252,2839,146,33267,0.078312920666446,0.00402736400750303,0.917659715326051
"[70,75)",1,37439,2771,144,34524,0.074013728999172,0.00384625657736585,0.922140014423462
"[75,80)",0,29396,3714,296,25386,0.126343720234045,0.0100693971968975,0.863586882569057
"[75,80)",1,31970,3909,264,27797,0.122270878949015,0.00825774163278073,0.869471379418205
"[80,120]",0,43290,8792,1004,33494,0.203095403095403,0.0231924231924232,0.773712173712174
"[80,120]",1,64298,13388,1486,49424,0.20821798500731,0.0231111387601481,0.768670876232542
