"age_group","is_female","n","n_prefrail","n_frail","n_robust","prefrail","frail","robust"
"[40,45)",0,56050,46,1,56003,0.000820695807314897,0.0000178412132024978,0.999161462979483
"[40,45)",1,51159,76,1,51082,0.00148556461228718,0.0000195469027932524,0.99849488848492
"[45,50)",0,56112,85,0,56027,0.00151482748788138,0,0.998485172512119
"[45,50)",1,51796,143,0,51653,0.00276083095219708,0,0.997239169047803
"[50,55)",0,56983,170,3,56810,0.00298334591018374,0.0000526472807679483,0.996964006809048
"[50,55)",1,53701,247,2,53452,0.00459954190797192,0.0000372432543155621,0.995363214837713
"[55,60)",0,52084,247,5,51832,0.00474233929805699,0.0000959987712157284,0.995161661930727
"[55,60)",1,48163,327,6,47830,0.00678944417914166,0.000124576957415443,0.993085978863443
"[60,65)",0,46881,399,10,46472,0.00851091060344276,0.000213306030161473,0.991275783366396
"[60,65)",1,43894,455,6,43433,0.0103658814416549,0.000136692942087757,0.989497425616257
"[65,70)",0,43151,662,14,42475,0.0153414752844662,0.000324442075502306,0.984334082640032
"[65,70)",1,41309,684,20,40605,0.016558135031107,0.000484155995061609,0.982957708973831
"[70,75)",0,36252,885,37,35330,0.0244124462098643,0.00102063334436721,0.974566920445769
"[70,75)",1,37439,1062,50,36327,0.0283661422580731,0.00133550575602981,0.970298351985897
"[75,80)",0,29396,1294,60,28042,0.0440195945026534,0.00204109402639815,0.953939311470948
"[75,80)",1,31970,1476,59,30435,0.0461682827650923,0.00184548013762903,0.951986237097279
"[80,120]",0,43290,3138,179,39973,0.0724878724878725,0.00413490413490413,0.923377223377223
"[80,120]",1,64298,4958,298,59042,0.0771097079224859,0.00463466981865688,0.918255622258857
