"age_group","is_female","n","n_prefrail","n_frail","n_robust","prefrail","frail","robust"
"[40,45)",0,172657,118,0,172539,0.000683435945255622,0,0.999316564054744
"[40,45)",1,187171,415,4,186752,0.00221722382206645,0.0000213708320199176,0.997761405345914
"[45,50)",0,191151,219,2,190930,0.00114569110284539,0.0000104629324460767,0.998843845964709
"[45,50)",1,206166,633,5,205528,0.00307034137539652,0.0000242523015434165,0.99690540632306
"[50,55)",0,194439,339,4,194096,0.00174347738879546,0.000020572004587557,0.998235950606617
"[50,55)",1,206433,826,10,205597,0.00400129824204463,0.0000484418673371021,0.995950259890618
"[55,60)",0,179077,467,10,178600,0.00260781674921961,0.0000558419004115548,0.997336341350369
"[55,60)",1,184234,905,14,183315,0.00491223118425481,0.0000759903166625053,0.995011778499083
"[60,65)",0,168738,729,8,168001,0.00432030722184689,0.0000474107788405694,0.995632281999313
"[60,65)",1,172121,1047,28,171046,0.00608293003177997,0.000162676256819331,0.993754393711401
"[65,70)",0,164562,1027,18,163517,0.00624080893523414,0.000109381266635068,0.993649809798131
"[65,70)",1,168324,1470,31,166823,0.008733157481999,0.000184168627171408,0.99108267389083
"[70,75)",0,133029,1498,31,131500,0.0112607025535785,0.000233031895301025,0.98850626555112
"[70,75)",1,142086,2061,63,139962,0.0145052996072801,0.000443393437777121,0.985051306954943
"[75,80)",0,105382,2184,70,103128,0.0207246019244273,0.000664250061680363,0.978611148013892
"[75,80)",1,120407,3089,100,117218,0.0256546546297142,0.000830516498210237,0.973514828872076
"[80,120]",0,151396,5721,171,145504,0.0377883167322783,0.00112948822954371,0.961082195038178
"[80,120]",1,233184,9825,323,223036,0.0421341086867023,0.0013851722245094,0.956480719088788
