"age_group","is_female","n","n_prefrail","n_frail","n_robust","prefrail","frail","robust"
"[40,45)",0,6031,13,0,6018,0.00215552976289173,0,0.997844470237108
"[40,45)",1,7159,24,2,7133,0.00335242352283839,0.000279368626903199,0.996368207850258
"[45,50)",0,11440,38,3,11399,0.00332167832167832,0.000262237762237762,0.996416083916084
"[45,50)",1,14635,63,3,14569,0.0043047488896481,0.000204988042364195,0.995490263067988
"[50,55)",0,12800,78,9,12713,0.00609375,0.000703125,0.993203125
"[50,55)",1,17563,127,3,17433,0.00723111085805386,0.000170813642316233,0.99259807549963
"[55,60)",0,15449,157,10,15282,0.0101624700627872,0.000647291086801735,0.989190238850411
"[55,60)",1,20464,178,15,20271,0.00869820172009382,0.000732994526974199,0.990568803752932
"[60,65)",0,21827,303,24,21500,0.0138818894030329,0.00109955559627984,0.985018555000687
"[60,65)",1,27399,396,17,26986,0.0144530822292784,0.000620460600751852,0.98492645716997
"[65,70)",0,20991,513,52,20426,0.0244390453051308,0.00247725215568577,0.973083702539183
"[65,70)",1,22599,464,31,22104,0.0205318819416788,0.00137174211248285,0.978096375945838
"[70,75)",0,5525,164,15,5346,0.029683257918552,0.00271493212669683,0.967601809954751
"[70,75)",1,5684,141,7,5536,0.0248064743138635,0.00123152709359606,0.973961998592541
