"age_group","is_female","category","N","count","percent"
"[40,45)",0,"AFIB",6031,0,0
"[40,45)",1,"AFIB",7159,0,0
"[45,50)",0,"AFIB",11440,0,0
"[45,50)",1,"AFIB",14635,0,0
"[50,55)",0,"AFIB",12800,24,0.001875
"[50,55)",1,"AFIB",17563,0,0
"[55,60)",0,"AFIB",15449,46,0.00297753899928798
"[55,60)",1,"AFIB",20464,0,0
"[60,65)",0,"AFIB",21827,135,0.00618500022907408
"[60,65)",1,"AFIB",27399,73,0.00266433081499325
"[65,70)",0,"AFIB",20991,211,0.0100519270163403
"[65,70)",1,"AFIB",22599,94,0.00415947608301252
"[70,75)",0,"AFIB",5525,77,0.0139366515837104
"[70,75)",1,"AFIB",5684,0,0
"[40,45)",0,"Anemia",6031,0,0
"[40,45)",1,"Anemia",7159,85,0.0118731666433859
"[45,50)",0,"Anemia",11440,38,0.00332167832167832
"[45,50)",1,"Anemia",14635,196,0.0133925521011274
"[50,55)",0,"Anemia",12800,59,0.004609375
"[50,55)",1,"Anemia",17563,171,0.00973637761202528
"[55,60)",0,"Anemia",15449,82,0.00530778691177422
"[55,60)",1,"Anemia",20464,158,0.00772087568412822
"[60,65)",0,"Anemia",21827,158,0.00723874100884226
"[60,65)",1,"Anemia",27399,216,0.00788349939778824
"[65,70)",0,"Anemia",20991,191,0.00909913772569196
"[65,70)",1,"Anemia",22599,208,0.00920394707730431
"[70,75)",0,"Anemia",5525,64,0.0115837104072398
"[70,75)",1,"Anemia",5684,48,0.00844475721323012
"[40,45)",0,"Anxiety",6031,0,0
"[40,45)",1,"Anxiety",7159,35,0.00488895097080598
"[45,50)",0,"Anxiety",11440,28,0.00244755244755245
"[45,50)",1,"Anxiety",14635,78,0.00532968910146908
"[50,55)",0,"Anxiety",12800,44,0.0034375
"[50,55)",1,"Anxiety",17563,80,0.00455503046176621
"[55,60)",0,"Anxiety",15449,37,0.00239497702116642
"[55,60)",1,"Anxiety",20464,73,0.00356724003127443
"[60,65)",0,"Anxiety",21827,45,0.00206166674302469
"[60,65)",1,"Anxiety",27399,97,0.00354027519252527
"[65,70)",0,"Anxiety",20991,42,0.00200085751036158
"[65,70)",1,"Anxiety",22599,65,0.0028762334616576
"[70,75)",0,"Anxiety",5525,0,0
"[70,75)",1,"Anxiety",5684,30,0.00527797325826882
"[40,45)",0,"Arthritis",6031,89,0.0147570883767203
"[40,45)",1,"Arthritis",7159,71,0.00991758625506356
"[45,50)",0,"Arthritis",11440,222,0.0194055944055944
"[45,50)",1,"Arthritis",14635,188,0.0128459173214896
"[50,55)",0,"Arthritis",12800,349,0.027265625
"[50,55)",1,"Arthritis",17563,432,0.0245971644935375
"[55,60)",0,"Arthritis",15449,595,0.0385138196647032
"[55,60)",1,"Arthritis",20464,816,0.0398749022673964
"[60,65)",0,"Arthritis",21827,1037,0.0475099647225913
"[60,65)",1,"Arthritis",27399,1483,0.0541260629949998
"[65,70)",0,"Arthritis",20991,1363,0.0649325901576866
"[65,70)",1,"Arthritis",22599,1503,0.0665073675826364
"[70,75)",0,"Arthritis",5525,372,0.0673303167420815
"[70,75)",1,"Arthritis",5684,410,0.0721323011963406
"[40,45)",0,"CAD",6031,0,0
"[40,45)",1,"CAD",7159,0,0
"[45,50)",0,"CAD",11440,46,0.00402097902097902
"[45,50)",1,"CAD",14635,25,0.0017082336863683
"[50,55)",0,"CAD",12800,124,0.0096875
"[50,55)",1,"CAD",17563,55,0.00313158344246427
"[55,60)",0,"CAD",15449,207,0.0133989254967959
"[55,60)",1,"CAD",20464,104,0.00508209538702111
"[60,65)",0,"CAD",21827,513,0.0235030008704815
"[60,65)",1,"CAD",27399,242,0.0088324391401146
"[65,70)",0,"CAD",20991,781,0.037206421799819
"[65,70)",1,"CAD",22599,337,0.0149121642550555
"[70,75)",0,"CAD",5525,223,0.0403619909502262
"[70,75)",1,"CAD",5684,122,0.0214637579169599
"[40,45)",0,"CVA",6031,0,0
"[40,45)",1,"CVA",7159,0,0
"[45,50)",0,"CVA",11440,0,0
"[45,50)",1,"CVA",14635,0,0
"[50,55)",0,"CVA",12800,28,0.0021875
"[50,55)",1,"CVA",17563,22,0.00125263337698571
"[55,60)",0,"CVA",15449,49,0.0031717263253285
"[55,60)",1,"CVA",20464,44,0.00215011727912432
"[60,65)",0,"CVA",21827,98,0.00448985201814267
"[60,65)",1,"CVA",27399,81,0.00295631227417059
"[65,70)",0,"CVA",20991,141,0.00671716449907103
"[65,70)",1,"CVA",22599,91,0.00402672684632063
"[70,75)",0,"CVA",5525,62,0.0112217194570136
"[70,75)",1,"CVA",5684,47,0.00826882477128783
"[40,45)",0,"Cancer",6031,30,0.00497429945282706
"[40,45)",1,"Cancer",7159,27,0.00377147646319318
"[45,50)",0,"Cancer",11440,50,0.00437062937062937
"[45,50)",1,"Cancer",14635,88,0.0060129825760164
"[50,55)",0,"Cancer",12800,117,0.009140625
"[50,55)",1,"Cancer",17563,141,0.00802824118886295
"[55,60)",0,"Cancer",15449,187,0.0121043433231924
"[55,60)",1,"Cancer",20464,201,0.00982212666145426
"[60,65)",0,"Cancer",21827,460,0.0210748155953635
"[60,65)",1,"Cancer",27399,389,0.0141975984524983
"[65,70)",0,"Cancer",20991,635,0.0302510599780858
"[65,70)",1,"Cancer",22599,431,0.0190716403380681
"[70,75)",0,"Cancer",5525,217,0.0392760180995475
"[70,75)",1,"Cancer",5684,102,0.017945109078114
"[40,45)",0,"Chronpain",6031,90,0.0149228983584812
"[40,45)",1,"Chronpain",7159,116,0.0162033803603855
"[45,50)",0,"Chronpain",11440,165,0.0144230769230769
"[45,50)",1,"Chronpain",14635,256,0.0174923129484113
"[50,55)",0,"Chronpain",12800,164,0.0128125
"[50,55)",1,"Chronpain",17563,257,0.014633035358424
"[55,60)",0,"Chronpain",15449,215,0.0139167583662373
"[55,60)",1,"Chronpain",20464,329,0.0160770132916341
"[60,65)",0,"Chronpain",21827,315,0.0144316672011729
"[60,65)",1,"Chronpain",27399,446,0.0162779663491368
"[65,70)",0,"Chronpain",20991,304,0.0144823972178553
"[65,70)",1,"Chronpain",22599,347,0.0153546617106952
"[70,75)",0,"Chronpain",5525,75,0.0135746606334842
"[70,75)",1,"Chronpain",5684,101,0.0177691766361717
"[40,45)",0,"Dementia",6031,0,0
"[40,45)",1,"Dementia",7159,0,0
"[45,50)",0,"Dementia",11440,26,0.00227272727272727
"[45,50)",1,"Dementia",14635,0,0
"[50,55)",0,"Dementia",12800,31,0.002421875
"[50,55)",1,"Dementia",17563,31,0.00176507430393441
"[55,60)",0,"Dementia",15449,45,0.00291280989060781
"[55,60)",1,"Dementia",20464,30,0.0014659890539484
"[60,65)",0,"Dementia",21827,59,0.00270307417418793
"[60,65)",1,"Dementia",27399,56,0.0020438702142414
"[65,70)",0,"Dementia",20991,76,0.00362059930446382
"[65,70)",1,"Dementia",22599,43,0.00190273905925041
"[70,75)",0,"Dementia",5525,27,0.0048868778280543
"[70,75)",1,"Dementia",5684,0,0
"[40,45)",0,"Depress",6031,96,0.0159177582490466
"[40,45)",1,"Depress",7159,170,0.0237463332867719
"[45,50)",0,"Depress",11440,169,0.0147727272727273
"[45,50)",1,"Depress",14635,366,0.0250085411684318
"[50,55)",0,"Depress",12800,195,0.015234375
"[50,55)",1,"Depress",17563,425,0.024198599328133
"[55,60)",0,"Depress",15449,215,0.0139167583662373
"[55,60)",1,"Depress",20464,358,0.0174941360437842
"[60,65)",0,"Depress",21827,252,0.0115453337609383
"[60,65)",1,"Depress",27399,422,0.0154020219716048
"[65,70)",0,"Depress",20991,188,0.00895621933209471
"[65,70)",1,"Depress",22599,245,0.0108411876631709
"[70,75)",0,"Depress",5525,47,0.00850678733031674
"[70,75)",1,"Depress",5684,78,0.0137227304714989
"[40,45)",0,"Diabetes",6031,62,0.0102802188691759
"[40,45)",1,"Diabetes",7159,57,0.00796200586674116
"[45,50)",0,"Diabetes",11440,188,0.0164335664335664
"[45,50)",1,"Diabetes",14635,109,0.00744789887256577
"[50,55)",0,"Diabetes",12800,296,0.023125
"[50,55)",1,"Diabetes",17563,193,0.010989010989011
"[55,60)",0,"Diabetes",15449,455,0.0294517444494789
"[55,60)",1,"Diabetes",20464,308,0.0150508209538702
"[60,65)",0,"Diabetes",21827,867,0.0397214459156091
"[60,65)",1,"Diabetes",27399,526,0.0191977809409103
"[65,70)",0,"Diabetes",20991,959,0.0456862464865895
"[65,70)",1,"Diabetes",22599,554,0.0245143590424355
"[70,75)",0,"Diabetes",5525,289,0.0523076923076923
"[70,75)",1,"Diabetes",5684,161,0.0283251231527094
"[40,45)",0,"DuraMed",6031,0,0
"[40,45)",1,"DuraMed",7159,0,0
"[45,50)",0,"DuraMed",11440,0,0
"[45,50)",1,"DuraMed",14635,0,0
"[50,55)",0,"DuraMed",12800,0,0
"[50,55)",1,"DuraMed",17563,0,0
"[55,60)",0,"DuraMed",15449,0,0
"[55,60)",1,"DuraMed",20464,0,0
"[60,65)",0,"DuraMed",21827,0,0
"[60,65)",1,"DuraMed",27399,0,0
"[65,70)",0,"DuraMed",20991,0,0
"[65,70)",1,"DuraMed",22599,0,0
"[70,75)",0,"DuraMed",5525,0,0
"[70,75)",1,"DuraMed",5684,0,0
"[40,45)",0,"Falls",6031,0,0
"[40,45)",1,"Falls",7159,26,0.00363179214974158
"[45,50)",0,"Falls",11440,48,0.0041958041958042
"[45,50)",1,"Falls",14635,55,0.00375811411001025
"[50,55)",0,"Falls",12800,40,0.003125
"[50,55)",1,"Falls",17563,96,0.00546603655411946
"[55,60)",0,"Falls",15449,52,0.00336591365136902
"[55,60)",1,"Falls",20464,118,0.00576622361219703
"[60,65)",0,"Falls",21827,91,0.00416914830256105
"[60,65)",1,"Falls",27399,203,0.00740902952662506
"[65,70)",0,"Falls",20991,111,0.00528798056309847
"[65,70)",1,"Falls",22599,193,0.00854020089384486
"[70,75)",0,"Falls",5525,39,0.00705882352941176
"[70,75)",1,"Falls",5684,61,0.0107318789584799
"[40,45)",0,"Fatigue",6031,33,0.00547172939810977
"[40,45)",1,"Fatigue",7159,53,0.00740326861293477
"[45,50)",0,"Fatigue",11440,46,0.00402097902097902
"[45,50)",1,"Fatigue",14635,114,0.00778954560983943
"[50,55)",0,"Fatigue",12800,48,0.00375
"[50,55)",1,"Fatigue",17563,140,0.00797130330809087
"[55,60)",0,"Fatigue",15449,58,0.00375428830345006
"[55,60)",1,"Fatigue",20464,179,0.0087470680218921
"[60,65)",0,"Fatigue",21827,106,0.00485637055023595
"[60,65)",1,"Fatigue",27399,197,0.00719004343224205
"[65,70)",0,"Fatigue",20991,109,0.00519270163403363
"[65,70)",1,"Fatigue",22599,183,0.00809770343820523
"[70,75)",0,"Fatigue",5525,24,0.00434389140271493
"[70,75)",1,"Fatigue",5684,52,0.0091484869809993
"[40,45)",0,"FtoThrive",6031,0,0
"[40,45)",1,"FtoThrive",7159,0,0
"[45,50)",0,"FtoThrive",11440,0,0
"[45,50)",1,"FtoThrive",14635,0,0
"[50,55)",0,"FtoThrive",12800,0,0
"[50,55)",1,"FtoThrive",17563,0,0
"[55,60)",0,"FtoThrive",15449,0,0
"[55,60)",1,"FtoThrive",20464,0,0
"[60,65)",0,"FtoThrive",21827,0,0
"[60,65)",1,"FtoThrive",27399,0,0
"[65,70)",0,"FtoThrive",20991,0,0
"[65,70)",1,"FtoThrive",22599,0,0
"[70,75)",0,"FtoThrive",5525,0,0
"[70,75)",1,"FtoThrive",5684,0,0
"[40,45)",0,"GaitAb",6031,0,0
"[40,45)",1,"GaitAb",7159,0,0
"[45,50)",0,"GaitAb",11440,0,0
"[45,50)",1,"GaitAb",14635,0,0
"[50,55)",0,"GaitAb",12800,0,0
"[50,55)",1,"GaitAb",17563,0,0
"[55,60)",0,"GaitAb",15449,0,0
"[55,60)",1,"GaitAb",20464,0,0
"[60,65)",0,"GaitAb",21827,0,0
"[60,65)",1,"GaitAb",27399,0,0
"[65,70)",0,"GaitAb",20991,0,0
"[65,70)",1,"GaitAb",22599,0,0
"[70,75)",0,"GaitAb",5525,0,0
"[70,75)",1,"GaitAb",5684,0,0
"[40,45)",0,"HF",6031,0,0
"[40,45)",1,"HF",7159,0,0
"[45,50)",0,"HF",11440,0,0
"[45,50)",1,"HF",14635,0,0
"[50,55)",0,"HF",12800,0,0
"[50,55)",1,"HF",17563,0,0
"[55,60)",0,"HF",15449,39,0.00252443523852677
"[55,60)",1,"HF",20464,0,0
"[60,65)",0,"HF",21827,87,0.00398588903651441
"[60,65)",1,"HF",27399,25,0.000912442059929194
"[65,70)",0,"HF",20991,101,0.00481158591777428
"[65,70)",1,"HF",22599,34,0.00150449134917474
"[70,75)",0,"HF",5525,39,0.00705882352941176
"[70,75)",1,"HF",5684,22,0.00387051372273047
"[40,45)",0,"HTN",6031,120,0.0198971978113082
"[40,45)",1,"HTN",7159,81,0.0113144293895796
"[45,50)",0,"HTN",11440,340,0.0297202797202797
"[45,50)",1,"HTN",14635,295,0.0201571574991459
"[50,55)",0,"HTN",12800,561,0.043828125
"[50,55)",1,"HTN",17563,574,0.0326823435631726
"[55,60)",0,"HTN",15449,986,0.0638229011586511
"[55,60)",1,"HTN",20464,899,0.0439308053166536
"[60,65)",0,"HTN",21827,1887,0.0864525587575022
"[60,65)",1,"HTN",27399,1791,0.0653673491733275
"[65,70)",0,"HTN",20991,2419,0.115239864703921
"[65,70)",1,"HTN",22599,2036,0.0900924819682287
"[70,75)",0,"HTN",5525,659,0.119276018099548
"[70,75)",1,"HTN",5684,552,0.0971147079521464
"[40,45)",0,"Hearing",6031,25,0.00414524954402255
"[40,45)",1,"Hearing",7159,26,0.00363179214974158
"[45,50)",0,"Hearing",11440,52,0.00454545454545455
"[45,50)",1,"Hearing",14635,57,0.00389477280491971
"[50,55)",0,"Hearing",12800,85,0.006640625
"[50,55)",1,"Hearing",17563,74,0.00421340317713375
"[55,60)",0,"Hearing",15449,125,0.00809113858502169
"[55,60)",1,"Hearing",20464,129,0.00630375293197811
"[60,65)",0,"Hearing",21827,215,0.00985018555000687
"[60,65)",1,"Hearing",27399,213,0.00777400635059674
"[65,70)",0,"Hearing",20991,287,0.0136725263208042
"[65,70)",1,"Hearing",22599,201,0.00889419885835656
"[70,75)",0,"Hearing",5525,81,0.0146606334841629
"[70,75)",1,"Hearing",5684,55,0.00967628430682618
"[40,45)",0,"Incont",6031,0,0
"[40,45)",1,"Incont",7159,39,0.00544768822461238
"[45,50)",0,"Incont",11440,0,0
"[45,50)",1,"Incont",14635,102,0.00696959344038264
"[50,55)",0,"Incont",12800,0,0
"[50,55)",1,"Incont",17563,132,0.00751580026191425
"[55,60)",0,"Incont",15449,25,0.00161822771700434
"[55,60)",1,"Incont",20464,151,0.00737881157154027
"[60,65)",0,"Incont",21827,30,0.0013744444953498
"[60,65)",1,"Incont",27399,204,0.00744552720902223
"[65,70)",0,"Incont",20991,68,0.00323948358820447
"[65,70)",1,"Incont",22599,190,0.00840745165715297
"[70,75)",0,"Incont",5525,0,0
"[70,75)",1,"Incont",5684,49,0.00862068965517241
"[40,45)",0,"Kidney",6031,0,0
"[40,45)",1,"Kidney",7159,0,0
"[45,50)",0,"Kidney",11440,42,0.00367132867132867
"[45,50)",1,"Kidney",14635,34,0.00232319781346088
"[50,55)",0,"Kidney",12800,58,0.00453125
"[50,55)",1,"Kidney",17563,94,0.0053521607925753
"[55,60)",0,"Kidney",15449,94,0.00608453621593631
"[55,60)",1,"Kidney",20464,141,0.00689014855355747
"[60,65)",0,"Kidney",21827,218,0.00998762999954185
"[60,65)",1,"Kidney",27399,316,0.011533267637505
"[65,70)",0,"Kidney",20991,378,0.0180077175932543
"[65,70)",1,"Kidney",22599,418,0.0184963936457365
"[70,75)",0,"Kidney",5525,126,0.0228054298642534
"[70,75)",1,"Kidney",5684,134,0.0235749472202674
"[40,45)",0,"Liver",6031,0,0
"[40,45)",1,"Liver",7159,0,0
"[45,50)",0,"Liver",11440,21,0.00183566433566434
"[45,50)",1,"Liver",14635,0,0
"[50,55)",0,"Liver",12800,28,0.0021875
"[50,55)",1,"Liver",17563,25,0.00142344701930194
"[55,60)",0,"Liver",15449,43,0.00278335167324746
"[55,60)",1,"Liver",20464,32,0.00156372165754496
"[60,65)",0,"Liver",21827,47,0.00215329637604801
"[60,65)",1,"Liver",27399,50,0.00182488411985839
"[65,70)",0,"Liver",20991,58,0.00276308894288028
"[65,70)",1,"Liver",22599,48,0.00212398778707022
"[70,75)",0,"Liver",5525,0,0
"[70,75)",1,"Liver",5684,0,0
"[40,45)",0,"Lung",6031,94,0.0155861382855248
"[40,45)",1,"Lung",7159,125,0.0174605391814499
"[45,50)",0,"Lung",11440,204,0.0178321678321678
"[45,50)",1,"Lung",14635,347,0.0237102835667919
"[50,55)",0,"Lung",12800,242,0.01890625
