"age_group","is_female","category","N","count","percent"
"[40,45)",0,"AFIB",56050,103,0.00183764495985727
"[40,45)",1,"AFIB",51159,32,0.000625500889384077
"[45,50)",0,"AFIB",56112,226,0.00402765896777873
"[45,50)",1,"AFIB",51796,54,0.00104255154838211
"[50,55)",0,"AFIB",56983,443,0.00777424846006704
"[50,55)",1,"AFIB",53701,150,0.00279324407366716
"[55,60)",0,"AFIB",52084,648,0.0124414407495584
"[55,60)",1,"AFIB",48163,266,0.00552291177875132
"[60,65)",0,"AFIB",46881,1050,0.0223971331669546
"[60,65)",1,"AFIB",43894,478,0.0108898710529913
"[65,70)",0,"AFIB",43151,1641,0.0380292461356631
"[65,70)",1,"AFIB",41309,769,0.0186157980101189
"[70,75)",0,"AFIB",36252,2167,0.0597760123579389
"[70,75)",1,"AFIB",37439,1334,0.0356312935708753
"[75,80)",0,"AFIB",29396,2557,0.0869846237583345
"[75,80)",1,"AFIB",31970,1918,0.0599937441351267
"[80,120]",0,"AFIB",43290,5512,0.127327327327327
"[80,120]",1,"AFIB",64298,7005,0.108945845905005
"[40,45)",0,"Anemia",56050,266,0.00474576271186441
"[40,45)",1,"Anemia",51159,1845,0.0360640356535507
"[45,50)",0,"Anemia",56112,317,0.00564941545480468
"[45,50)",1,"Anemia",51796,2043,0.0394432002471233
"[50,55)",0,"Anemia",56983,484,0.008493761297229
"[50,55)",1,"Anemia",53701,1838,0.0342265507160016
"[55,60)",0,"Anemia",52084,635,0.0121918439443975
"[55,60)",1,"Anemia",48163,1047,0.0217386790689949
"[60,65)",0,"Anemia",46881,845,0.0180243595486444
"[60,65)",1,"Anemia",43894,934,0.0212785346516608
"[65,70)",0,"Anemia",43151,1113,0.0257931450024333
"[65,70)",1,"Anemia",41309,1242,0.0300660872933259
"[70,75)",0,"Anemia",36252,1449,0.0399702085402185
"[70,75)",1,"Anemia",37439,1494,0.0399049119901707
"[75,80)",0,"Anemia",29396,1764,0.0600081643761056
"[75,80)",1,"Anemia",31970,1777,0.055583359399437
"[80,120]",0,"Anemia",43290,4256,0.0983136983136983
"[80,120]",1,"Anemia",64298,5472,0.0851037357305048
"[40,45)",0,"Anxiety",56050,1454,0.0259411239964318
"[40,45)",1,"Anxiety",51159,2364,0.0462088782032487
"[45,50)",0,"Anxiety",56112,1356,0.0241659538066724
"[45,50)",1,"Anxiety",51796,2283,0.0440767626843772
"[50,55)",0,"Anxiety",56983,1255,0.0220241124545917
"[50,55)",1,"Anxiety",53701,2105,0.0391985251671291
"[55,60)",0,"Anxiety",52084,1063,0.0204093387604639
"[55,60)",1,"Anxiety",48163,1803,0.0374353757033407
"[60,65)",0,"Anxiety",46881,751,0.0160192828651266
"[60,65)",1,"Anxiety",43894,1443,0.0328746525721055
"[65,70)",0,"Anxiety",43151,657,0.0152256031146439
"[65,70)",1,"Anxiety",41309,1267,0.0306712822871529
"[70,75)",0,"Anxiety",36252,539,0.0148681452057818
"[70,75)",1,"Anxiety",37439,1145,0.0305830818130826
"[75,80)",0,"Anxiety",29396,438,0.0148999863927065
"[75,80)",1,"Anxiety",31970,961,0.0300594307162965
"[80,120]",0,"Anxiety",43290,617,0.0142527142527143
"[80,120]",1,"Anxiety",64298,1855,0.0288500419919749
"[40,45)",0,"Arthritis",56050,903,0.0161106155218555
"[40,45)",1,"Arthritis",51159,557,0.0108876248558416
"[45,50)",0,"Arthritis",56112,1260,0.0224550898203593
"[45,50)",1,"Arthritis",51796,987,0.0190555255232064
"[50,55)",0,"Arthritis",56983,1793,0.0314655248056438
"[50,55)",1,"Arthritis",53701,1854,0.0345244967505261
"[55,60)",0,"Arthritis",52084,2264,0.0434682436064818
"[55,60)",1,"Arthritis",48163,2426,0.0503706164483109
"[60,65)",0,"Arthritis",46881,2680,0.0571660160832747
"[60,65)",1,"Arthritis",43894,2908,0.0662505125985328
"[65,70)",0,"Arthritis",43151,3014,0.0698477439688536
"[65,70)",1,"Arthritis",41309,3376,0.0817255319663996
"[70,75)",0,"Arthritis",36252,3026,0.0834712567582478
"[70,75)",1,"Arthritis",37439,3821,0.102059349875798
"[75,80)",0,"Arthritis",29396,2858,0.0972241121240985
"[75,80)",1,"Arthritis",31970,3740,0.11698467313106
"[80,120]",0,"Arthritis",43290,4388,0.101362901362901
"[80,120]",1,"Arthritis",64298,7463,0.116068929049115
"[40,45)",0,"CAD",56050,111,0.00198037466547725
"[40,45)",1,"CAD",51159,45,0.000879610625696358
"[45,50)",0,"CAD",56112,304,0.00541773595665811
"[45,50)",1,"CAD",51796,77,0.00148660128195227
"[50,55)",0,"CAD",56983,510,0.00895003773055122
"[50,55)",1,"CAD",53701,143,0.00266289268356269
"[55,60)",0,"CAD",52084,703,0.0134974272329314
"[55,60)",1,"CAD",48163,203,0.00421485372588917
"[60,65)",0,"CAD",46881,864,0.0184296410059512
"[60,65)",1,"CAD",43894,320,0.00729029024468037
"[65,70)",0,"CAD",43151,1018,0.0235915737758105
"[65,70)",1,"CAD",41309,387,0.00936841850444213
"[70,75)",0,"CAD",36252,1056,0.0291294273419398
"[70,75)",1,"CAD",37439,537,0.0143433318197601
"[75,80)",0,"CAD",29396,1047,0.0356170907606477
"[75,80)",1,"CAD",31970,624,0.0195182984047545
"[80,120]",0,"CAD",43290,2010,0.0464310464310464
"[80,120]",1,"CAD",64298,1910,0.0297054340725995
"[40,45)",0,"CVA",56050,40,0.000713648528099911
"[40,45)",1,"CVA",51159,38,0.000742782306143592
"[45,50)",0,"CVA",56112,111,0.00197818648417451
"[45,50)",1,"CVA",51796,89,0.00171827940381497
"[50,55)",0,"CVA",56983,205,0.0035975641858098
"[50,55)",1,"CVA",53701,160,0.00297946034524497
"[55,60)",0,"CVA",52084,274,0.00526073266262192
"[55,60)",1,"CVA",48163,177,0.00367502024375558
"[60,65)",0,"CVA",46881,342,0.00729506623152236
"[60,65)",1,"CVA",43894,248,0.00564997493962728
"[65,70)",0,"CVA",43151,493,0.0114249959444741
"[65,70)",1,"CVA",41309,337,0.00815802851678811
"[70,75)",0,"CVA",36252,598,0.0164956416197727
