"age_group","is_female","category","N","count","percent"
"[40,45)",0,"AFIB",172657,301,0.00174334084340629
"[40,45)",1,"AFIB",187171,72,0.000384674976358517
"[45,50)",0,"AFIB",191151,571,0.00298716721335489
"[45,50)",1,"AFIB",206166,163,0.000790625030315377
"[50,55)",0,"AFIB",194439,972,0.00499899711477636
"[50,55)",1,"AFIB",206433,339,0.00164217930272776
"[55,60)",0,"AFIB",179077,1514,0.0084544637223094
"[55,60)",1,"AFIB",184234,620,0.00336528545219666
"[60,65)",0,"AFIB",168738,2296,0.0136068935272434
"[60,65)",1,"AFIB",172121,1100,0.0063908529464737
"[65,70)",0,"AFIB",164562,3475,0.0211166611976033
"[65,70)",1,"AFIB",168324,1917,0.0113887502673416
"[70,75)",0,"AFIB",133029,4268,0.032083229972412
"[70,75)",1,"AFIB",142086,2822,0.0198612108159847
"[75,80)",0,"AFIB",105382,4831,0.0458427435425405
"[75,80)",1,"AFIB",120407,3973,0.0329964204738927
"[80,120]",0,"AFIB",151396,9112,0.0601865306877328
"[80,120]",1,"AFIB",233184,11585,0.0496817963496638
"[40,45)",0,"Anemia",172657,461,0.00267003365053256
"[40,45)",1,"Anemia",187171,3877,0.0207136789353051
"[45,50)",0,"Anemia",191151,684,0.00357832289655822
"[45,50)",1,"Anemia",206166,4956,0.0240388812898344
"[50,55)",0,"Anemia",194439,989,0.00508642813427347
"[50,55)",1,"Anemia",206433,4243,0.0205538843111324
"[55,60)",0,"Anemia",179077,1409,0.00786812376798807
"[55,60)",1,"Anemia",184234,2358,0.0127989404778705
"[60,65)",0,"Anemia",168738,1998,0.0118408420154322
"[60,65)",1,"Anemia",172121,2195,0.0127526565613725
"[65,70)",0,"Anemia",164562,2798,0.0170027102247177
"[65,70)",1,"Anemia",168324,2848,0.0169197500059409
"[70,75)",0,"Anemia",133029,3293,0.0247540010072992
"[70,75)",1,"Anemia",142086,3626,0.0255197556409498
"[75,80)",0,"Anemia",105382,4039,0.0383272285589569
"[75,80)",1,"Anemia",120407,4505,0.0374147682443712
"[80,120]",0,"Anemia",151396,8890,0.0587201775476235
"[80,120]",1,"Anemia",233184,12523,0.0537043707973103
"[40,45)",0,"Anxiety",172657,2992,0.0173291554932612
"[40,45)",1,"Anxiety",187171,5399,0.0288452805188838
"[45,50)",0,"Anxiety",191151,2918,0.0152654184388259
"[45,50)",1,"Anxiety",206166,5352,0.025959663572073
"[50,55)",0,"Anxiety",194439,2590,0.0133203729704432
"[50,55)",1,"Anxiety",206433,4743,0.0229759776779875
"[55,60)",0,"Anxiety",179077,2136,0.0119278299279081
"[55,60)",1,"Anxiety",184234,3940,0.0213858462607336
"[60,65)",0,"Anxiety",168738,1814,0.0107503941020991
"[60,65)",1,"Anxiety",172121,3519,0.0204449195624009
"[65,70)",0,"Anxiety",164562,1453,0.00882949891226407
"[65,70)",1,"Anxiety",168324,3066,0.0182148713195979
"[70,75)",0,"Anxiety",133029,1090,0.00819370212510054
"[70,75)",1,"Anxiety",142086,2575,0.0181228270202553
"[75,80)",0,"Anxiety",105382,893,0.00847393292972234
"[75,80)",1,"Anxiety",120407,2209,0.0183461094454641
"[80,120]",0,"Anxiety",151396,1153,0.00761578905651404
"[80,120]",1,"Anxiety",233184,3885,0.0166606628242075
"[40,45)",0,"Arthritis",172657,2432,0.0140857306683193
"[40,45)",1,"Arthritis",187171,1219,0.00651276105806989
"[45,50)",0,"Arthritis",191151,3458,0.0180904101992665
"[45,50)",1,"Arthritis",206166,2315,0.0112288156146018
"[50,55)",0,"Arthritis",194439,4737,0.0243623964328144
"[50,55)",1,"Arthritis",206433,4023,0.0194881632297162
"[55,60)",0,"Arthritis",179077,5708,0.0318745567549155
"[55,60)",1,"Arthritis",184234,5426,0.0294516755864824
"[60,65)",0,"Arthritis",168738,6861,0.0406606692031433
"[60,65)",1,"Arthritis",172121,6645,0.0386065616630161
"[65,70)",0,"Arthritis",164562,7328,0.0445303289945431
"[65,70)",1,"Arthritis",168324,7685,0.0456559967681376
"[70,75)",0,"Arthritis",133029,6885,0.0517556322305663
"[70,75)",1,"Arthritis",142086,7720,0.0543332911053869
"[75,80)",0,"Arthritis",105382,6138,0.0582452411227724
"[75,80)",1,"Arthritis",120407,7636,0.0634182398033337
"[80,120]",0,"Arthritis",151396,8495,0.0561111257893207
"[80,120]",1,"Arthritis",233184,12563,0.0538759091532867
"[40,45)",0,"CAD",172657,315,0.00182442646402984
"[40,45)",1,"CAD",187171,91,0.000486186428453126
"[45,50)",0,"CAD",191151,633,0.00331151811918326
"[45,50)",1,"CAD",206166,178,0.000863381934945626
"[50,55)",0,"CAD",194439,1257,0.00646475244163979
"[50,55)",1,"CAD",206433,363,0.00175843978433681
"[55,60)",0,"CAD",179077,1628,0.00909106138700112
"[55,60)",1,"CAD",184234,485,0.00263252168437965
"[60,65)",0,"CAD",168738,1810,0.0107266887126788
"[60,65)",1,"CAD",172121,664,0.00385775123314413
"[65,70)",0,"CAD",164562,1822,0.011071814878283
"[65,70)",1,"CAD",168324,814,0.00483591169411373
"[70,75)",0,"CAD",133029,1770,0.0133053695058972
"[70,75)",1,"CAD",142086,855,0.00601748236983236
