"age_group","is_female","n","n_prefrail","n_frail","n_robust","prefrail","frail","robust"
"[40,45)",0,5892,30,0,5862,0.00509164969450102,0,0.994908350305499
"[40,45)",1,7047,57,0,6990,0.00808854831843338,0,0.991911451681567
"[45,50)",0,11224,94,4,11126,0.00837491090520314,0.000356379187455453,0.991268709907341
"[45,50)",1,14464,169,2,14293,0.0116841814159292,0.000138274336283186,0.988177544247788
"[50,55)",0,12609,207,6,12396,0.0164168451106353,0.000475850582916964,0.983107304306448
"[50,55)",1,17401,320,7,17074,0.0183897477156485,0.000402275731279812,0.981207976553072
"[55,60)",0,15274,393,16,14865,0.0257299986905853,0.00104753175330627,0.973222469556108
"[55,60)",1,20274,519,12,19743,0.0255992897306896,0.000591891092039065,0.973808819177271
"[60,65)",0,21605,896,32,20677,0.04147188150891,0.00148113862531821,0.957046979865772
"[60,65)",1,27154,943,28,26183,0.0347278485674302,0.00103115563084628,0.964240995801724
"[65,70)",0,20753,1387,78,19288,0.0668337107888016,0.00375849274803643,0.929407796463162
"[65,70)",1,22406,1202,61,21143,0.0536463447290904,0.00272248504864768,0.943631170222262
"[70,75)",0,5461,443,25,4993,0.0811206738692547,0.00457791613257645,0.914301409998169
"[70,75)",1,5638,401,12,5225,0.0711245122383824,0.00212841433132316,0.926747073430294
