"age_group","is_female","category","N","count","percent"
"[40,45)",0,"Activity limitation",55073,27,0.000490258384326258
"[40,45)",1,"Activity limitation",50353,28,0.000556074116735845
"[45,50)",0,"Activity limitation",54579,44,0.000806170871580645
"[45,50)",1,"Activity limitation",51196,40,0.000781311039924994
"[50,55)",0,"Activity limitation",56368,51,0.000904768663071246
"[50,55)",1,"Activity limitation",53152,58,0.00109121011438892
"[55,60)",0,"Activity limitation",51650,90,0.00174249757986447
"[55,60)",1,"Activity limitation",47543,68,0.0014302841638096
"[60,65)",0,"Activity limitation",46185,118,0.00255494208076215
"[60,65)",1,"Activity limitation",43308,95,0.00219359009882701
"[65,70)",0,"Activity limitation",42604,163,0.00382593183738616
"[65,70)",1,"Activity limitation",40959,125,0.003051832320125
"[70,75)",0,"Activity limitation",36058,175,0.00485329191857563
"[70,75)",1,"Activity limitation",37263,153,0.00410594960148136
"[75,80)",0,"Activity limitation",28999,193,0.0066554019104107
"[75,80)",1,"Activity limitation",31636,168,0.0053104058667341
"[80,120]",0,"Activity limitation",42531,367,0.00862900002351226
"[80,120]",1,"Activity limitation",62998,462,0.00733356614495698
"[40,45)",0,"Anaemia and haematinic deficiency",55073,594,0.0107856844551777
"[40,45)",1,"Anaemia and haematinic deficiency",50353,3110,0.0617639465374456
"[45,50)",0,"Anaemia and haematinic deficiency",54579,772,0.0141446343831877
"[45,50)",1,"Anaemia and haematinic deficiency",51196,3570,0.0697320103133057
"[50,55)",0,"Anaemia and haematinic deficiency",56368,1057,0.0187517740562021
"[50,55)",1,"Anaemia and haematinic deficiency",53152,3244,0.0610325105358218
"[55,60)",0,"Anaemia and haematinic deficiency",51650,1387,0.0268538238141336
"[55,60)",1,"Anaemia and haematinic deficiency",47543,2115,0.0444860442126075
"[60,65)",0,"Anaemia and haematinic deficiency",46185,1708,0.0369817040164556
"[60,65)",1,"Anaemia and haematinic deficiency",43308,2040,0.0471044610695484
"[65,70)",0,"Anaemia and haematinic deficiency",42604,2125,0.049877945732795
"[65,70)",1,"Anaemia and haematinic deficiency",40959,2312,0.0564466905930321
"[70,75)",0,"Anaemia and haematinic deficiency",36058,2677,0.0742414998058683
"[70,75)",1,"Anaemia and haematinic deficiency",37263,2680,0.0719212087056866
"[75,80)",0,"Anaemia and haematinic deficiency",28999,3031,0.104520845546398
"[75,80)",1,"Anaemia and haematinic deficiency",31636,3059,0.0966936401567834
"[80,120]",0,"Anaemia and haematinic deficiency",42531,6692,0.157344054924643
"[80,120]",1,"Anaemia and haematinic deficiency",62998,8635,0.137067843423601
"[40,45)",0,"Arthritis",55073,1586,0.0287981406496831
"[40,45)",1,"Arthritis",50353,1064,0.0211308164359621
"[45,50)",0,"Arthritis",54579,2402,0.0440096007621979
"[45,50)",1,"Arthritis",51196,1917,0.0374443315884053
"[50,55)",0,"Arthritis",56368,3455,0.0612936417825717
"[50,55)",1,"Arthritis",53152,3490,0.06566074653823
"[55,60)",0,"Arthritis",51650,4424,0.0856534365924492
"[55,60)",1,"Arthritis",47543,4621,0.0971962223671203
"[60,65)",0,"Arthritis",46185,5213,0.112872144635704
"[60,65)",1,"Arthritis",43308,5665,0.130807241156368
"[65,70)",0,"Arthritis",42604,5792,0.135949676086752
"[65,70)",1,"Arthritis",40959,6395,0.156131741497595
"[70,75)",0,"Arthritis",36058,5806,0.161018359310001
"[70,75)",1,"Arthritis",37263,7016,0.18828328368623
"[75,80)",0,"Arthritis",28999,5364,0.184971895582606
"[75,80)",1,"Arthritis",31636,6817,0.215482361866228
"[80,120]",0,"Arthritis",42531,8383,0.197103289365404
"[80,120]",1,"Arthritis",62998,13785,0.218816470364139
"[40,45)",0,"Atrial fibrillation",55073,139,0.00252392279338333
"[40,45)",1,"Atrial fibrillation",50353,51,0.00101284928405457
"[45,50)",0,"Atrial fibrillation",54579,260,0.00476373696843108
"[45,50)",1,"Atrial fibrillation",51196,98,0.00191421204781624
"[50,55)",0,"Atrial fibrillation",56368,544,0.00965086573942663
"[50,55)",1,"Atrial fibrillation",53152,163,0.00306667670078266
"[55,60)",0,"Atrial fibrillation",51650,809,0.0156631171345595
"[55,60)",1,"Atrial fibrillation",47543,291,0.00612077487747933
"[60,65)",0,"Atrial fibrillation",46185,1246,0.0269784562087258
"[60,65)",1,"Atrial fibrillation",43308,543,0.0125380991964533
"[65,70)",0,"Atrial fibrillation",42604,1982,0.0465214533846587
"[65,70)",1,"Atrial fibrillation",40959,910,0.02221733929051
"[70,75)",0,"Atrial fibrillation",36058,2629,0.0729103111653447
"[70,75)",1,"Atrial fibrillation",37263,1551,0.0416230577248209
"[75,80)",0,"Atrial fibrillation",28999,3143,0.1083830476913
"[75,80)",1,"Atrial fibrillation",31636,2258,0.0713743836136047
"[80,120]",0,"Atrial fibrillation",42531,6762,0.158989913239755
"[80,120]",1,"Atrial fibrillation",62998,8184,0.129908885996381
"[40,45)",0,"Cerebrovascular disease",55073,207,0.00375864761316798
"[40,45)",1,"Cerebrovascular disease",50353,197,0.00391237860703434
"[45,50)",0,"Cerebrovascular disease",54579,379,0.00694406273475146
"[45,50)",1,"Cerebrovascular disease",51196,298,0.00582076724744121
"[50,55)",0,"Cerebrovascular disease",56368,639,0.0113362191314221
"[50,55)",1,"Cerebrovascular disease",53152,525,0.00987733293196869
"[55,60)",0,"Cerebrovascular disease",51650,994,0.0192449177153921
"[55,60)",1,"Cerebrovascular disease",47543,675,0.0141976736848747
"[60,65)",0,"Cerebrovascular disease",46185,1305,0.0282559272491069
"[60,65)",1,"Cerebrovascular disease",43308,860,0.0198577629999076
"[65,70)",0,"Cerebrovascular disease",42604,1751,0.0410994272838231
"[65,70)",1,"Cerebrovascular disease",40959,1219,0.029761468785859
"[70,75)",0,"Cerebrovascular disease",36058,2149,0.0595984247601087
"[70,75)",1,"Cerebrovascular disease",37263,1534,0.041166841102434
"[75,80)",0,"Cerebrovascular disease",28999,2460,0.0848305113969447
"[75,80)",1,"Cerebrovascular disease",31636,2057,0.0650208623087622
"[80,120]",0,"Cerebrovascular disease",42531,5291,0.124403376360772
"[80,120]",1,"Cerebrovascular disease",62998,6914,0.109749515857646
"[40,45)",0,"Chronic kidney disease",55073,2256,0.0409638116681495
"[40,45)",1,"Chronic kidney disease",50353,2840,0.0564018032689214
"[45,50)",0,"Chronic kidney disease",54579,2787,0.0510635958885286
"[45,50)",1,"Chronic kidney disease",51196,3198,0.0624658176420033
"[50,55)",0,"Chronic kidney disease",56368,3419,0.0606549815498155
"[50,55)",1,"Chronic kidney disease",53152,3660,0.0688591210114389
"[55,60)",0,"Chronic kidney disease",51650,3720,0.0720232333010649
"[55,60)",1,"Chronic kidney disease",47543,3821,0.0803693498517132
"[60,65)",0,"Chronic kidney disease",46185,4102,0.0888167153837826
"[60,65)",1,"Chronic kidney disease",43308,4152,0.0958714325297866
"[65,70)",0,"Chronic kidney disease",42604,4925,0.115599474227772
"[65,70)",1,"Chronic kidney disease",40959,4869,0.118874972533509
"[70,75)",0,"Chronic kidney disease",36058,5300,0.146985412391148
"[70,75)",1,"Chronic kidney disease",37263,5636,0.151249228457183
"[75,80)",0,"Chronic kidney disease",28999,5708,0.19683437359909
"[75,80)",1,"Chronic kidney disease",31636,6368,0.201289669996207
"[80,120]",0,"Chronic kidney disease",42531,11526,0.271002327713903
"[80,120]",1,"Chronic kidney disease",62998,17477,0.277421505444617
"[40,45)",0,"Diabetes",55073,2302,0.041799066693298
"[40,45)",1,"Diabetes",50353,1640,0.0325700554088138
"[45,50)",0,"Diabetes",54579,3715,0.0680664724527749
"[45,50)",1,"Diabetes",51196,2494,0.0487147433393234
"[50,55)",0,"Diabetes",56368,5300,0.0940249787113256
"[50,55)",1,"Diabetes",53152,3531,0.066432119205298
"[55,60)",0,"Diabetes",51650,6586,0.127512100677638
"[55,60)",1,"Diabetes",47543,4339,0.0912647498054393
"[60,65)",0,"Diabetes",46185,7246,0.156890765400022
"[60,65)",1,"Diabetes",43308,4757,0.109841137896001
"[65,70)",0,"Diabetes",42604,7691,0.180522955591024
