"age_group","is_female","n","n_prefrail","n_frail","n_robust","prefrail","frail","robust"
"[55,60)",0,334353,15130,1402,317821,0.0452,0.0041,0.9505
"[65,70)",1,305014,37811,4819,262384,0.1239,0.0157,0.8602
"[40,45)",0,285649,2193,110,283346,0.0076,3e-04,0.9919
"[55,60)",1,368232,18528,1650,348054,0.0503,0.0044,0.9452
"[65,70)",0,269056,32676,4329,232051,0.1214,0.016,0.8624
"[70,75)",1,240750,45089,7045,188616,0.1872,0.0292,0.7834
"[70,75)",0,199234,37625,6314,155295,0.1888,0.0316,0.7794
"[80,100]",0,190592,68377,22040,100175,0.3587,0.1156,0.5255
"[50,55)",1,343985,11397,768,331820,0.0331,0.0022,0.9646
"[40,45)",1,310989,4003,174,306812,0.0128,5e-04,0.9865
"[60,65)",1,369056,27837,2864,338355,0.0754,0.0077,0.9168
"[50,55)",0,313712,8165,640,304907,0.026,0.002,0.9719
"[45,50)",1,319703,6821,404,312478,0.0213,0.0012,0.9774
"[60,65)",0,329869,23709,2576,303584,0.0718,0.0078,0.9203
"[45,50)",0,290960,4238,267,286455,0.0145,9e-04,0.9845
"[75,80)",0,150596,40203,8785,101608,0.2669,0.0583,0.6747
"[75,80)",1,184852,47747,9170,127935,0.2582,0.0496,0.692
"[80,100]",1,292955,104885,30364,157706,0.358,0.1036,0.5383
