"age_group","is_female","category","N","count","percent"
"[40,45)",0,"Activity limitation",285649,0,0
"[40,45)",1,"Activity limitation",310989,0,0
"[45,50)",0,"Activity limitation",290960,0,0
"[45,50)",1,"Activity limitation",319703,0,0
"[50,55)",0,"Activity limitation",313712,0,0
"[50,55)",1,"Activity limitation",343985,0,0
"[55,60)",0,"Activity limitation",334353,0,0
"[55,60)",1,"Activity limitation",368232,0,0
"[60,65)",0,"Activity limitation",329869,0,0
"[60,65)",1,"Activity limitation",369056,0,0
"[65,70)",0,"Activity limitation",269056,0,0
"[65,70)",1,"Activity limitation",305014,0,0
"[70,75)",0,"Activity limitation",199234,0,0
"[70,75)",1,"Activity limitation",240750,0,0
"[75,80)",0,"Activity limitation",150596,0,0
"[75,80)",1,"Activity limitation",184852,0,0
"[80,100]",0,"Activity limitation",190592,0,0
"[80,100]",1,"Activity limitation",292955,0,0
"[40,45)",0,"Anaemia and haematinic deficiency",285649,3952,0.0138351613343649
"[40,45)",1,"Anaemia and haematinic deficiency",310989,16453,0.0529054082298731
"[45,50)",0,"Anaemia and haematinic deficiency",290960,5439,0.0186932911740445
"[45,50)",1,"Anaemia and haematinic deficiency",319703,19367,0.0605780990481791
"[50,55)",0,"Anaemia and haematinic deficiency",313712,7751,0.0247073749171214
"[50,55)",1,"Anaemia and haematinic deficiency",343985,18753,0.0545169120746544
"[55,60)",0,"Anaemia and haematinic deficiency",334353,11334,0.0338983050847458
"[55,60)",1,"Anaemia and haematinic deficiency",368232,16875,0.0458270872710682
"[60,65)",0,"Anaemia and haematinic deficiency",329869,14763,0.0447541296696567
"[60,65)",1,"Anaemia and haematinic deficiency",369056,19011,0.0515125075869245
"[65,70)",0,"Anaemia and haematinic deficiency",269056,19285,0.0716765283063749
"[65,70)",1,"Anaemia and haematinic deficiency",305014,23318,0.0764489498842676
"[70,75)",0,"Anaemia and haematinic deficiency",199234,21244,0.106628386721142
"[70,75)",1,"Anaemia and haematinic deficiency",240750,26099,0.108407061266874
"[75,80)",0,"Anaemia and haematinic deficiency",150596,22474,0.149233711386757
"[75,80)",1,"Anaemia and haematinic deficiency",184852,26362,0.142611386406422
"[80,100]",0,"Anaemia and haematinic deficiency",190592,43611,0.228818628274009
"[80,100]",1,"Anaemia and haematinic deficiency",292955,61690,0.210578416480347
"[40,45)",0,"Arthritis",285649,9792,0.0342798329418272
"[40,45)",1,"Arthritis",310989,10629,0.0341780577448077
"[45,50)",0,"Arthritis",290960,15382,0.0528663733846577
"[45,50)",1,"Arthritis",319703,17707,0.0553857799269947
"[50,55)",0,"Arthritis",313712,23358,0.0744568266435457
"[50,55)",1,"Arthritis",343985,29141,0.0847159033097373
"[55,60)",0,"Arthritis",334353,34529,0.103271093724297
"[55,60)",1,"Arthritis",368232,43321,0.117645940602664
"[60,65)",0,"Arthritis",329869,43840,0.132901242614492
"[60,65)",1,"Arthritis",369056,55360,0.150004335385416
"[65,70)",0,"Arthritis",269056,46421,0.172532855613701
"[65,70)",1,"Arthritis",305014,62572,0.205144681883455
"[70,75)",0,"Arthritis",199234,41986,0.210737123181786
"[70,75)",1,"Arthritis",240750,62205,0.258380062305296
"[75,80)",0,"Arthritis",150596,36333,0.241261388084677
"[75,80)",1,"Arthritis",184852,54994,0.297502867158592
"[80,100]",0,"Arthritis",190592,51229,0.268788826393553
"[80,100]",1,"Arthritis",292955,98460,0.336092573944804
"[40,45)",0,"Atrial fibrillation",285649,1581,0.00553476469373252
"[40,45)",1,"Atrial fibrillation",310989,651,0.00209332162873928
"[45,50)",0,"Atrial fibrillation",290960,2638,0.00906653835578774
"[45,50)",1,"Atrial fibrillation",319703,1082,0.00338439113802498
"[50,55)",0,"Atrial fibrillation",313712,4821,0.0153675983067272
"[50,55)",1,"Atrial fibrillation",343985,1948,0.0056630376324549
"[55,60)",0,"Atrial fibrillation",334353,8817,0.0263703331508914
"[55,60)",1,"Atrial fibrillation",368232,3973,0.010789393643138
"[60,65)",0,"Atrial fibrillation",329869,14598,0.0442539311059845
"[60,65)",1,"Atrial fibrillation",369056,7064,0.0191407266105957
"[65,70)",0,"Atrial fibrillation",269056,19816,0.0736500951474786
"[65,70)",1,"Atrial fibrillation",305014,11038,0.0361885028228212
"[70,75)",0,"Atrial fibrillation",199234,23178,0.116335565214773
"[70,75)",1,"Atrial fibrillation",240750,15766,0.0654870197300104
"[75,80)",0,"Atrial fibrillation",150596,26849,0.178284947807379
"[75,80)",1,"Atrial fibrillation",184852,20037,0.108394823967282
"[80,100]",0,"Atrial fibrillation",190592,52219,0.273983168233714
"[80,100]",1,"Atrial fibrillation",292955,61028,0.208318683756891
"[40,45)",0,"Cerebrovascular disease",285649,516,0.00180641276531687
"[40,45)",1,"Cerebrovascular disease",310989,638,0.00205151950712083
"[45,50)",0,"Cerebrovascular disease",290960,907,0.0031172669782788
"[45,50)",1,"Cerebrovascular disease",319703,937,0.00293084519069261
"[50,55)",0,"Cerebrovascular disease",313712,1520,0.00484520834395879
"[50,55)",1,"Cerebrovascular disease",343985,1446,0.00420367167172987
"[55,60)",0,"Cerebrovascular disease",334353,2444,0.00730963981181566
"[55,60)",1,"Cerebrovascular disease",368232,2173,0.00590117100089074
"[60,65)",0,"Cerebrovascular disease",329869,3401,0.0103101534245413
"[60,65)",1,"Cerebrovascular disease",369056,2960,0.0080204630191624
"[65,70)",0,"Cerebrovascular disease",269056,4388,0.0163088725023787
"[65,70)",1,"Cerebrovascular disease",305014,3944,0.012930554007357
"[70,75)",0,"Cerebrovascular disease",199234,4939,0.0247899454912314
"[70,75)",1,"Cerebrovascular disease",240750,5090,0.0211422637590862
"[75,80)",0,"Cerebrovascular disease",150596,5763,0.038267948683896
"[75,80)",1,"Cerebrovascular disease",184852,5815,0.0314575985112414
"[80,100]",0,"Cerebrovascular disease",190592,11449,0.0600707269979852
"[80,100]",1,"Cerebrovascular disease",292955,16092,0.0549299380450922
"[40,45)",0,"Chronic kidney disease",285649,2883,0.0100928062062181
"[40,45)",1,"Chronic kidney disease",310989,2291,0.00736682004829753
"[45,50)",0,"Chronic kidney disease",290960,4536,0.0155897717899368
"[45,50)",1,"Chronic kidney disease",319703,3279,0.0102563942158816
"[50,55)",0,"Chronic kidney disease",313712,7064,0.0225174682511348
"[50,55)",1,"Chronic kidney disease",343985,4936,0.014349462912627
"[55,60)",0,"Chronic kidney disease",334353,10593,0.0316820845035038
"[55,60)",1,"Chronic kidney disease",368232,7762,0.0210791023050685
"[60,65)",0,"Chronic kidney disease",329869,14437,0.0437658585680982
"[60,65)",1,"Chronic kidney disease",369056,11592,0.0314098673372063
"[65,70)",0,"Chronic kidney disease",269056,20253,0.075274292340628
"[65,70)",1,"Chronic kidney disease",305014,17347,0.0568727992813445
"[70,75)",0,"Chronic kidney disease",199234,23663,0.11876988867362
"[70,75)",1,"Chronic kidney disease",240750,21564,0.0895700934579439
"[75,80)",0,"Chronic kidney disease",150596,25881,0.171857154240484
"[75,80)",1,"Chronic kidney disease",184852,23830,0.128913941964382
"[80,100]",0,"Chronic kidney disease",190592,50514,0.26503735728677
"[80,100]",1,"Chronic kidney disease",292955,60173,0.205400146780222
"[40,45)",0,"Diabetes",285649,16568,0.0580012532863759
"[40,45)",1,"Diabetes",310989,14369,0.0462042065796539
"[45,50)",0,"Diabetes",290960,26218,0.0901086059939511
"[45,50)",1,"Diabetes",319703,21240,0.0664366615264793
"[50,55)",0,"Diabetes",313712,38134,0.121557351966135
"[50,55)",1,"Diabetes",343985,30889,0.0897975202407082
"[55,60)",0,"Diabetes",334353,51473,0.153948072845167
"[55,60)",1,"Diabetes",368232,42814,0.116269091225097
"[60,65)",0,"Diabetes",329869,59717,0.181032470465548
"[60,65)",1,"Diabetes",369056,51586,0.139778245035984
"[65,70)",0,"Diabetes",269056,61549,0.228759068744053
"[65,70)",1,"Diabetes",305014,54595,0.178991783983686
"[70,75)",0,"Diabetes",199234,53559,0.268824598211149
