"age_group","is_female","n","n_prefrail","n_frail","n_robust","prefrail","frail","robust"
"[55,60)",1,368232,51629,14405,302198,0.1402,0.0391,0.8206
"[40,45)",0,285649,11604,1521,272524,0.0406,0.0053,0.954
"[65,70)",0,269056,61341,24594,183121,0.2279,0.0914,0.6806
"[70,75)",1,240750,72965,40470,127315,0.303,0.168,0.5288
"[70,75)",0,199234,58864,30968,109402,0.2954,0.1554,0.5491
"[80,100]",0,190592,63855,77083,49654,0.335,0.4044,0.2605
"[45,50)",0,290960,17066,2889,271005,0.0586,0.0099,0.9314
"[75,80)",0,150596,50982,37145,62469,0.3385,0.2466,0.4148
"[80,100]",1,292955,97476,120918,74561,0.3327,0.4127,0.2545
"[75,80)",1,184852,62361,45964,76527,0.3373,0.2486,0.4139
"[50,55)",1,343985,39143,8948,295894,0.1137,0.026,0.8601
"[60,65)",1,369056,64368,20864,283824,0.1744,0.0565,0.769
"[50,55)",0,313712,26531,5520,281661,0.0845,0.0175,0.8978
"[45,50)",1,319703,28592,5220,285891,0.0894,0.0163,0.8942
"[60,65)",0,329869,51354,15741,262774,0.1556,0.0477,0.7966
"[40,45)",1,310989,20770,3026,287193,0.0667,0.0097,0.9234
"[55,60)",0,334353,39028,10148,285177,0.1167,0.0303,0.8529
"[65,70)",1,305014,74323,31866,198825,0.2436,0.1044,0.6518
