"age_group","is_female","N","n_prefrail","n_frail","n_robust","prefrail","frail","robust"
"[40,45)",0,5892,30,0,5862,0.00509164969450102,0,0.994908350305499
"[40,45)",1,7047,57,0,6990,0.00808854831843338,0,0.991911451681567
"[45,50)",0,11224,94,4,11126,0.00837491090520314,0.000356379187455453,0.991268709907341
"[45,50)",1,14464,169,2,14293,0.0116841814159292,0.000138274336283186,0.988177544247788
"[50,55)",0,12609,207,6,12396,0.0164168451106353,0.000475850582916964,0.983107304306448
"[50,55)",1,17401,320,7,17074,0.0183897477156485,0.000402275731279812,0.981207976553072
"[55,60)",0,15274,393,16,14865,0.0257299986905853,0.00104753175330627,0.973222469556108
"[55,60)",1,20274,520,12,19742,0.0256486139883595,0.000591891092039065,0.973759494919601
"[60,65)",0,21605,899,32,20674,0.0416107382550336,0.00148113862531821,0.956908123119648
"[60,65)",1,27154,944,28,26182,0.0347646755542462,0.00103115563084628,0.964204168814908
"[65,70)",0,20753,1388,78,19287,0.0668818965932636,0.00375849274803643,0.9293596106587
"[65,70)",1,22406,1207,61,21138,0.0538694992412747,0.00272248504864768,0.943408015710078
"[70,75)",0,5461,443,25,4993,0.0811206738692547,0.00457791613257645,0.914301409998169
"[70,75)",1,5638,401,12,5225,0.0711245122383824,0.00212841433132316,0.926747073430294
