"age_group","is_female","N","n_prefrail","n_frail","n_robust","prefrail","frail","robust"
"[40,45)",0,55073,405,13,54655,0.00735387576489387,0.000236050333194124,0.992410073901912
"[40,45)",1,50353,791,17,49545,0.0157090937977876,0.000337616428018192,0.983953289774194
"[45,50)",0,54579,884,28,53667,0.0161967056926657,0.000513017827369501,0.983290276479965
"[45,50)",1,51196,1436,56,49704,0.0280490663333073,0.00109383545589499,0.970857098210798
"[50,55)",0,56368,1553,90,54725,0.0275510928186205,0.00159665058189043,0.970852256599489
"[50,55)",1,53152,2183,113,50856,0.0410708910295003,0.00212597832630945,0.95680313064419
"[55,60)",0,51650,2592,163,48895,0.0501839303000968,0.00315585672797677,0.946660212971926
"[55,60)",1,47543,2808,197,44538,0.0590623225290789,0.004143617356919,0.936794060114002
"[60,65)",0,46185,3839,377,41969,0.0831222258308975,0.00816282342751976,0.908714950741583
"[60,65)",1,43308,3829,328,39151,0.0884132261937748,0.0075736584464764,0.904013115359749
"[65,70)",0,42604,5503,671,36430,0.129166275467092,0.015749694864332,0.855084029668576
"[65,70)",1,40959,5208,602,35149,0.127151541785688,0.014697624453722,0.85815083376059
"[70,75)",0,36058,7031,1193,27834,0.19499140274003,0.033085584336347,0.771923012923623
"[70,75)",1,37263,6804,1119,29340,0.182593994042348,0.0300297882618147,0.787376217695838
"[75,80)",0,28999,8108,1912,18979,0.279595848132694,0.065933308045105,0.654470843822201
"[75,80)",1,31636,8601,1880,21155,0.271873814641548,0.059425970413453,0.668700214944999
"[80,120]",0,42531,16470,5951,20110,0.387246949284052,0.139921469046108,0.472831581669841
"[80,120]",1,62998,24554,9065,29379,0.389758405028731,0.143893456935141,0.466348138036128
