"age_group","is_female","N","n_prefrail","n_frail","n_robust","prefrail","frail","robust"
"[40,45)",0,169306,1137,32,168137,0.00671565095153155,0.000189006886938443,0.99309534216153
"[40,45)",1,183841,2661,69,181111,0.0144744643469085,0.000375324329175755,0.985150211323916
"[45,50)",0,187752,2409,66,185277,0.0128307554646555,0.000351527546976863,0.986817716988368
"[45,50)",1,202984,4322,136,198526,0.0212923186063926,0.000670003547077602,0.97803767784653
"[50,55)",0,191734,4229,164,187341,0.0220565992468733,0.000855351685147131,0.97708804906798
"[50,55)",1,203977,6600,283,197094,0.0323565892232948,0.00138741132578673,0.966255999450918
"[55,60)",0,176579,7012,357,169210,0.039710271323317,0.00202175796668913,0.958267970709994
"[55,60)",1,182586,8719,449,173418,0.0477528397577032,0.00245911515669328,0.949788045085604
"[60,65)",0,166370,11169,713,154488,0.0671334976257739,0.00428562841858508,0.928580873955641
"[60,65)",1,170565,11995,747,157823,0.0703250960044558,0.00437956204379562,0.925295341951749
"[65,70)",0,162410,16809,1391,144210,0.103497321593498,0.008564743550274,0.887937934856228
"[65,70)",1,166487,16891,1422,148174,0.101455368887661,0.00854120742160049,0.890003423690739
"[70,75)",0,131495,21358,2387,107750,0.162424426784288,0.0181527814745808,0.819422791741131
"[70,75)",1,140385,22143,2462,115780,0.15773052676568,0.0175374861986679,0.824731987035652
"[75,80)",0,104234,25569,4009,74656,0.245303835600668,0.0384615384615385,0.716234625937794
"[75,80)",1,119257,28447,4361,86449,0.238535264177365,0.0365680840537662,0.724896651768869
"[80,120]",0,147957,54165,11996,81796,0.366086092580953,0.0810776103868016,0.552836297032246
"[80,120]",1,228084,84801,17670,125613,0.371797232598516,0.0774714578839375,0.550731309517546
