"age_group","is_female","category","N","count","percent"
"[40,45)",0,"Activity limitation",169306,146,0.000862343921656645
"[40,45)",1,"Activity limitation",183841,213,0.00115860988571646
"[45,50)",0,"Activity limitation",187752,231,0.00123034641441902
"[45,50)",1,"Activity limitation",202984,342,0.00168486186103338
"[50,55)",0,"Activity limitation",191734,342,0.00178372119707511
"[50,55)",1,"Activity limitation",203977,476,0.00233359643489217
"[55,60)",0,"Activity limitation",176579,502,0.00284292016604466
"[55,60)",1,"Activity limitation",182586,645,0.00353258190660839
"[60,65)",0,"Activity limitation",166370,831,0.00499489090581235
"[60,65)",1,"Activity limitation",170565,754,0.00442060211649518
"[65,70)",0,"Activity limitation",162410,1115,0.00686534080413768
"[65,70)",1,"Activity limitation",166487,1223,0.00734591890057482
"[70,75)",0,"Activity limitation",131495,1458,0.0110878740636526
"[70,75)",1,"Activity limitation",140385,1528,0.0108843537414966
"[75,80)",0,"Activity limitation",104234,1898,0.0182090296832128
"[75,80)",1,"Activity limitation",119257,1958,0.0164183234527114
"[80,120]",0,"Activity limitation",147957,3665,0.0247707104091053
"[80,120]",1,"Activity limitation",228084,5263,0.0230748320794093
"[40,45)",0,"Anaemia and haematinic deficiency",169306,3805,0.0224741001500242
"[40,45)",1,"Anaemia and haematinic deficiency",183841,18053,0.0981989871682595
"[45,50)",0,"Anaemia and haematinic deficiency",187752,5812,0.0309557288337807
"[45,50)",1,"Anaemia and haematinic deficiency",202984,19087,0.0940320419343397
"[50,55)",0,"Anaemia and haematinic deficiency",191734,8119,0.0423451239738388
"[50,55)",1,"Anaemia and haematinic deficiency",203977,17511,0.0858479142256235
"[55,60)",0,"Anaemia and haematinic deficiency",176579,10918,0.0618306820176805
"[55,60)",1,"Anaemia and haematinic deficiency",182586,11407,0.0624746694708247
"[60,65)",0,"Anaemia and haematinic deficiency",166370,14934,0.0897637795275591
"[60,65)",1,"Anaemia and haematinic deficiency",170565,11603,0.0680268519332806
"[65,70)",0,"Anaemia and haematinic deficiency",162410,20617,0.126944153685118
"[65,70)",1,"Anaemia and haematinic deficiency",166487,14712,0.0883672599061789
"[70,75)",0,"Anaemia and haematinic deficiency",131495,24930,0.189588957755048
"[70,75)",1,"Anaemia and haematinic deficiency",140385,17586,0.125269793781387
"[75,80)",0,"Anaemia and haematinic deficiency",104234,29167,0.279822322850509
"[75,80)",1,"Anaemia and haematinic deficiency",119257,21998,0.18445877390845
"[80,120]",0,"Anaemia and haematinic deficiency",147957,65405,0.442054110315835
"[80,120]",1,"Anaemia and haematinic deficiency",228084,67300,0.295066729801301
"[40,45)",0,"Arthritis",169306,4818,0.0284573494146693
"[40,45)",1,"Arthritis",183841,3147,0.0171180531002334
"[45,50)",0,"Arthritis",187752,7466,0.0397652222080191
"[45,50)",1,"Arthritis",202984,5860,0.0288692704843732
"[50,55)",0,"Arthritis",191734,10563,0.0550919503061533
"[50,55)",1,"Arthritis",203977,9980,0.0489270849164367
"[55,60)",0,"Arthritis",176579,13090,0.0741311254452681
"[55,60)",1,"Arthritis",182586,13520,0.0740472982594503
"[60,65)",0,"Arthritis",166370,15548,0.0934543487407585
"[60,65)",1,"Arthritis",170565,16639,0.0975522528068478
