"age_group","is_female","n","n_prefrail","n_frail","n_robust","prefrail","frail","robust"
"[40,45)",0,56050,163,5,55882,0.00290811775200714,0.0000892060660124889,0.99700267618198
"[40,45)",1,51159,358,14,50787,0.00699779119998436,0.000273656639105534,0.99272855216091
"[45,50)",0,56112,366,3,55743,0.00652266894781865,0.000053464499572284,0.993423866552609
"[45,50)",1,51796,632,12,51152,0.0122017144181018,0.000231678121862692,0.987566607460036
"[50,55)",0,56983,768,22,56193,0.0134777038765948,0.000386080058964954,0.98613621606444
"[50,55)",1,53701,1085,38,52578,0.0202044654661924,0.00070762183199568,0.979087912701812
"[55,60)",0,52084,1209,42,50833,0.0232125028799631,0.000806389678212119,0.975981107441825
"[55,60)",1,48163,1448,59,46656,0.0300645723895937,0.00122500674791853,0.968710420862488
"[60,65)",0,46881,2043,96,44742,0.0435784219619889,0.00204773788955014,0.954373840148461
"[60,65)",1,43894,2119,87,41688,0.0482753907139928,0.00198204766027247,0.949742561625735
"[65,70)",0,43151,3170,231,39750,0.0734629556673078,0.00535329424578805,0.921183750086904
"[65,70)",1,41309,3047,217,38045,0.0737611658476361,0.00525309254641846,0.920985741605945
"[70,75)",0,36252,4442,429,31381,0.122531170694031,0.011833829857663,0.865634999448306
"[70,75)",1,37439,4314,421,32704,0.115227436630252,0.011244958465771,0.873527604903977
"[75,80)",0,29396,5551,749,23096,0.188835215675602,0.0254796570962036,0.785685127228194
"[75,80)",1,31970,5918,742,25310,0.185111041601501,0.0232092586800125,0.791679699718486
"[80,120]",0,43290,12710,2672,27908,0.293601293601294,0.0617232617232617,0.644675444675445
"[80,120]",1,64298,19700,4028,40570,0.306385890696445,0.0626458054682883,0.630968303835267
