"age_group","is_female","n","n_prefrail","n_frail","n_robust","prefrail","frail","robust"
"[40,45)",0,172657,397,6,172254,0.00229935652768205,0.000034750980267235,0.997665892492051
"[40,45)",1,187171,1040,13,186118,0.00555641632517858,0.0000694552040647323,0.994374128470757
"[45,50)",0,191151,836,14,190301,0.00437350576246004,0.0000732405271225366,0.995553253710417
"[45,50)",1,206166,1715,29,204422,0.00831853942939185,0.000140663348951816,0.991540797221656
"[50,55)",0,194439,1577,31,192831,0.00811051280864436,0.000159433035553567,0.991730054155802
"[50,55)",1,206433,2656,47,203730,0.0128661599647343,0.00022767677648438,0.986906163258781
"[55,60)",0,179077,2796,75,176206,0.0156133953550707,0.000418814253086661,0.983967790391843
"[55,60)",1,184234,3607,91,180536,0.0195783623001183,0.000493937058306284,0.979927700641575
"[60,65)",0,168738,4803,126,163809,0.0284642463464069,0.000746719766738968,0.970789033886854
"[60,65)",1,172121,5189,149,166783,0.0301473963084109,0.000865670080931438,0.968986933610658
"[65,70)",0,164562,8026,290,156246,0.0487718914451696,0.00176225374023165,0.949465854814599
"[65,70)",1,168324,8055,308,159961,0.0478541384472802,0.00182980442479979,0.95031605712792
"[70,75)",0,133029,11170,552,121307,0.0839666538874982,0.00414947116794082,0.911883874944561
"[70,75)",1,142086,11373,596,130117,0.0800430725053841,0.00419464268119308,0.915762284813423
"[75,80)",0,105382,14615,1051,89716,0.138685923592264,0.00997324021180088,0.851340836195935
"[75,80)",1,120407,16411,1101,102895,0.136296062521282,0.00914398664529471,0.854559950833423
"[80,120]",0,151396,35521,3181,112694,0.234623107611826,0.021011123147243,0.744365769240931
"[80,120]",1,233184,55487,4573,173124,0.237953718951558,0.0196111225470015,0.742435158501441
