"age_group","is_female","category","N","count","percent"
"[40,45)",0,"Activity limitation",56050,0,0
"[40,45)",1,"Activity limitation",51159,0,0
"[45,50)",0,"Activity limitation",56112,28,0.000499001996007984
"[45,50)",1,"Activity limitation",51796,29,0.000559888794501506
"[50,55)",0,"Activity limitation",56983,35,0.000614218275626064
"[50,55)",1,"Activity limitation",53701,36,0.000670378577680118
"[55,60)",0,"Activity limitation",52084,74,0.00142078181399278
"[55,60)",1,"Activity limitation",48163,56,0.0011627182692108
"[60,65)",0,"Activity limitation",46881,93,0.0019837460805017
"[60,65)",1,"Activity limitation",43894,75,0.00170866177609696
"[65,70)",0,"Activity limitation",43151,142,0.00329076962295196
"[65,70)",1,"Activity limitation",41309,99,0.00239657217555496
"[70,75)",0,"Activity limitation",36252,124,0.00342050093787929
"[70,75)",1,"Activity limitation",37439,89,0.00237720024573306
"[75,80)",0,"Activity limitation",29396,133,0.00452442509184923
"[75,80)",1,"Activity limitation",31970,79,0.0024710666249609
"[80,120]",0,"Activity limitation",43290,257,0.00593670593670594
"[80,120]",1,"Activity limitation",64298,248,0.0038570406544527
"[40,45)",0,"Anaemia and haematinic deficiency",56050,335,0.00597680642283675
"[40,45)",1,"Anaemia and haematinic deficiency",51159,1741,0.0340311577630524
"[45,50)",0,"Anaemia and haematinic deficiency",56112,459,0.00818006843455945
"[45,50)",1,"Anaemia and haematinic deficiency",51796,1985,0.0383234226581203
"[50,55)",0,"Anaemia and haematinic deficiency",56983,649,0.0113893617394662
"[50,55)",1,"Anaemia and haematinic deficiency",53701,1769,0.0329416584421147
"[55,60)",0,"Anaemia and haematinic deficiency",52084,839,0.0161085938099992
"[55,60)",1,"Anaemia and haematinic deficiency",48163,1232,0.0255798019226377
"[60,65)",0,"Anaemia and haematinic deficiency",46881,1024,0.0218425374885348
"[60,65)",1,"Anaemia and haematinic deficiency",43894,1239,0.0282270925411218
"[65,70)",0,"Anaemia and haematinic deficiency",43151,1320,0.0305902528330746
"[65,70)",1,"Anaemia and haematinic deficiency",41309,1415,0.0342540366506088
"[70,75)",0,"Anaemia and haematinic deficiency",36252,1646,0.0454043914818493
"[70,75)",1,"Anaemia and haematinic deficiency",37439,1658,0.0442853708699485
"[75,80)",0,"Anaemia and haematinic deficiency",29396,1919,0.0652809906109675
"[75,80)",1,"Anaemia and haematinic deficiency",31970,1899,0.0593994369721614
"[80,120]",0,"Anaemia and haematinic deficiency",43290,4242,0.097990297990298
"[80,120]",1,"Anaemia and haematinic deficiency",64298,5242,0.0815266415751656
"[40,45)",0,"Arthritis",56050,955,0.0170383586083854
"[40,45)",1,"Arthritis",51159,578,0.0112981098144999
"[45,50)",0,"Arthritis",56112,1334,0.023773880809809
"[45,50)",1,"Arthritis",51796,1043,0.020136690091899
"[50,55)",0,"Arthritis",56983,1882,0.0330273941350929
"[50,55)",1,"Arthritis",53701,1931,0.0359583620416752
"[55,60)",0,"Arthritis",52084,2396,0.0460026111665771
"[55,60)",1,"Arthritis",48163,2586,0.0536926686460561
"[60,65)",0,"Arthritis",46881,2842,0.0606215737718905
"[60,65)",1,"Arthritis",43894,3030,0.0690299357543172
"[65,70)",0,"Arthritis",43151,3139,0.0727445482144099
"[65,70)",1,"Arthritis",41309,3458,0.0837105715461522
"[70,75)",0,"Arthritis",36252,3096,0.0854021847070506
"[70,75)",1,"Arthritis",37439,3848,0.102780522984054
"[75,80)",0,"Arthritis",29396,2888,0.0982446591372976
"[75,80)",1,"Arthritis",31970,3746,0.11717234907726
"[80,120]",0,"Arthritis",43290,4445,0.102679602679603
"[80,120]",1,"Arthritis",64298,7525,0.117033189212728
"[40,45)",0,"Atrial fibrillation",56050,87,0.00155218554861731
"[40,45)",1,"Atrial fibrillation",51159,21,0.000410484958658301
"[45,50)",0,"Atrial fibrillation",56112,180,0.00320786997433704
"[45,50)",1,"Atrial fibrillation",51796,52,0.00100393852807167
"[50,55)",0,"Atrial fibrillation",56983,365,0.00640541916010038
"[50,55)",1,"Atrial fibrillation",53701,111,0.0020670006145137
"[55,60)",0,"Atrial fibrillation",52084,538,0.0103294677828124
"[55,60)",1,"Atrial fibrillation",48163,203,0.00421485372588917
"[60,65)",0,"Atrial fibrillation",46881,846,0.0180456901516606
"[60,65)",1,"Atrial fibrillation",43894,381,0.00868000182257256
"[65,70)",0,"Atrial fibrillation",43151,1354,0.0313781835878659
"[65,70)",1,"Atrial fibrillation",41309,615,0.0148877968481445
"[70,75)",0,"Atrial fibrillation",36252,1798,0.0495972635992497
"[70,75)",1,"Atrial fibrillation",37439,1101,0.0294078367477764
"[75,80)",0,"Atrial fibrillation",29396,2134,0.0725949108722275
"[75,80)",1,"Atrial fibrillation",31970,1534,0.0479824835783547
"[80,120]",0,"Atrial fibrillation",43290,4569,0.105544005544006
"[80,120]",1,"Atrial fibrillation",64298,5574,0.0866900992254813
"[40,45)",0,"Cerebrovascular disease",56050,122,0.00217662801070473
"[40,45)",1,"Cerebrovascular disease",51159,109,0.00213061240446451
"[45,50)",0,"Cerebrovascular disease",56112,256,0.00456230396350157
"[45,50)",1,"Cerebrovascular disease",51796,178,0.00343655880762993
"[50,55)",0,"Cerebrovascular disease",56983,461,0.00809013214467473
"[50,55)",1,"Cerebrovascular disease",53701,303,0.00564235302880766
"[55,60)",0,"Cerebrovascular disease",52084,634,0.0121726441901544
"[55,60)",1,"Cerebrovascular disease",48163,401,0.0083258933205988
"[60,65)",0,"Cerebrovascular disease",46881,848,0.0180883513576929
"[60,65)",1,"Cerebrovascular disease",43894,503,0.011459424978357
"[65,70)",0,"Cerebrovascular disease",43151,1123,0.0260248893420778
"[65,70)",1,"Cerebrovascular disease",41309,694,0.0168002130286378
"[70,75)",0,"Cerebrovascular disease",36252,1397,0.0385358049211078
"[70,75)",1,"Cerebrovascular disease",37439,972,0.0259622318972195
"[75,80)",0,"Cerebrovascular disease",29396,1520,0.0517077153354198
"[75,80)",1,"Cerebrovascular disease",31970,1310,0.0409759149202377
"[80,120]",0,"Cerebrovascular disease",43290,3288,0.0759528759528759
"[80,120]",1,"Cerebrovascular disease",64298,4347,0.0676070795359109
"[40,45)",0,"Chronic kidney disease",56050,1383,0.0246743978590544
"[40,45)",1,"Chronic kidney disease",51159,1684,0.0329169843038371
"[45,50)",0,"Chronic kidney disease",56112,1720,0.0306529797547762
"[45,50)",1,"Chronic kidney disease",51796,1982,0.0382655031276546
"[50,55)",0,"Chronic kidney disease",56983,2195,0.0385202604285489
"[50,55)",1,"Chronic kidney disease",53701,2308,0.0429787154801587
