"age_group","is_female","category","N","count","percent"
"[40,45)",0,"Activity limitation",172657,135,0.000781897056012788
"[40,45)",1,"Activity limitation",187171,214,0.00114333951306559
"[45,50)",0,"Activity limitation",191151,238,0.00124508896108312
"[45,50)",1,"Activity limitation",206166,367,0.00178011893328677
"[50,55)",0,"Activity limitation",194439,355,0.00182576540714569
"[50,55)",1,"Activity limitation",206433,469,0.00227192357811009
"[55,60)",0,"Activity limitation",179077,528,0.00294845234173009
"[55,60)",1,"Activity limitation",184234,600,0.00325672785696451
"[60,65)",0,"Activity limitation",168738,807,0.00478256231554244
"[60,65)",1,"Activity limitation",172121,746,0.00433416027097216
"[65,70)",0,"Activity limitation",164562,1184,0.00719485664977334
"[65,70)",1,"Activity limitation",168324,1196,0.00710534445474204
"[70,75)",0,"Activity limitation",133029,1495,0.0112381510798397
"[70,75)",1,"Activity limitation",142086,1501,0.0105640246048168
"[75,80)",0,"Activity limitation",105382,1944,0.0184471731415232
"[75,80)",1,"Activity limitation",120407,2013,0.0167182971089721
"[80,120]",0,"Activity limitation",151396,3737,0.0246836111918413
"[80,120]",1,"Activity limitation",233184,5345,0.022921812817346
"[40,45)",0,"Anaemia and haematinic deficiency",172657,1083,0.00627255193823592
"[40,45)",1,"Anaemia and haematinic deficiency",187171,6947,0.0371157925105919
"[45,50)",0,"Anaemia and haematinic deficiency",191151,1532,0.00801460625369472
"[45,50)",1,"Anaemia and haematinic deficiency",206166,8764,0.0425094341453004
"[50,55)",0,"Anaemia and haematinic deficiency",194439,2203,0.011330031526597
"[50,55)",1,"Anaemia and haematinic deficiency",206433,7588,0.0367576889353931
"[55,60)",0,"Anaemia and haematinic deficiency",179077,2785,0.015551969264618
"[55,60)",1,"Anaemia and haematinic deficiency",184234,4780,0.0259452652604839
"[60,65)",0,"Anaemia and haematinic deficiency",168738,3863,0.02289347983264
"[60,65)",1,"Anaemia and haematinic deficiency",172121,4471,0.0259759122942581
"[65,70)",0,"Anaemia and haematinic deficiency",164562,5111,0.0310582029873239
"[65,70)",1,"Anaemia and haematinic deficiency",168324,5388,0.0320096955870821
"[70,75)",0,"Anaemia and haematinic deficiency",133029,5968,0.0448623984244037
"[70,75)",1,"Anaemia and haematinic deficiency",142086,6614,0.0465492729755219
"[75,80)",0,"Anaemia and haematinic deficiency",105382,6988,0.0663111347288911
