"age_group","is_female","n","n_prefrail","n_frail","n_robust","prefrail","frail","robust"
"[40,45)",0,56050,93,3,55954,0.00165923282783229,0.0000535236396074933,0.99828724353256
"[40,45)",1,51159,254,3,50902,0.00496491330948611,0.0000586407083797572,0.994976445982134
"[45,50)",0,56112,175,0,55937,0.0031187624750499,0,0.99688123752495
"[45,50)",1,51796,399,3,51394,0.00770329755193451,0.000057919530465673,0.9922387829176
"[50,55)",0,56983,333,8,56642,0.00584384816524227,0.000140392748714529,0.994015759086043
"[50,55)",1,53701,595,12,53094,0.0110798681588797,0.000223459525893373,0.988696672315227
"[55,60)",0,52084,472,13,51599,0.00906228400276476,0.000249596805160894,0.990688119192074
"[55,60)",1,48163,745,28,47390,0.0154683055457509,0.000581359134605402,0.983950335319644
"[60,65)",0,46881,749,29,46103,0.0159766216590943,0.000618587487468271,0.983404790853437
"[60,65)",1,43894,970,32,42892,0.0220986923041874,0.000729029024468037,0.977172278671345
"[65,70)",0,43151,1165,45,41941,0.0269982155685847,0.00104284952840027,0.971958934903015
"[65,70)",1,41309,1277,56,39976,0.0309133602846837,0.0013556367861725,0.967731002929144
"[70,75)",0,36252,1572,83,34597,0.0433631247931149,0.00228952885358049,0.954347346353305
"[70,75)",1,37439,1883,122,35434,0.0502951467720826,0.00325863404471273,0.946446219183205
"[75,80)",0,29396,2163,147,27086,0.0735814396516533,0.00500068036467547,0.921417879983671
"[75,80)",1,31970,2669,185,29116,0.0834845167344385,0.00578667500781983,0.910728808257742
"[80,120]",0,43290,5520,493,37277,0.127512127512128,0.0113883113883114,0.861099561099561
"[80,120]",1,64298,8900,888,54510,0.138417991228343,0.0138106939562661,0.847771314815391
