"age_group","is_female","category","N","count","percent"
"[40,45)",0,"AFIB",172657,158,0.000915109147037189
"[40,45)",1,"AFIB",187171,41,0.000219051028204156
"[45,50)",0,"AFIB",191151,324,0.00169499505626442
"[45,50)",1,"AFIB",206166,79,0.00038318636438598
"[50,55)",0,"AFIB",194439,528,0.00271550460555753
"[50,55)",1,"AFIB",206433,178,0.000862265238600418
"[55,60)",0,"AFIB",179077,827,0.00461812516403558
"[55,60)",1,"AFIB",184234,340,0.00184547911894656
"[60,65)",0,"AFIB",168738,1163,0.00689234197394778
"[60,65)",1,"AFIB",172121,534,0.00310246861219723
"[65,70)",0,"AFIB",164562,1726,0.0104884481228959
"[65,70)",1,"AFIB",168324,932,0.00553694066205651
"[70,75)",0,"AFIB",133029,2044,0.0153650707740418
"[70,75)",1,"AFIB",142086,1367,0.00962093380065594
"[75,80)",0,"AFIB",105382,2244,0.0212939591201533
"[75,80)",1,"AFIB",120407,1884,0.0156469308262809
"[80,120]",0,"AFIB",151396,4134,0.0273058733387936
"[80,120]",1,"AFIB",233184,5295,0.0227073898723755
"[40,45)",0,"Anemia",172657,228,0.00132053725015493
"[40,45)",1,"Anemia",187171,1740,0.00929631192866416
"[45,50)",0,"Anemia",191151,346,0.00181008731317126
"[45,50)",1,"Anemia",206166,2169,0.0105206484095341
"[50,55)",0,"Anemia",194439,493,0.0025354995654164
"[50,55)",1,"Anemia",206433,1620,0.00784758250861054
"[55,60)",0,"Anemia",179077,698,0.00389776464872653
"[55,60)",1,"Anemia",184234,973,0.00528132700804412
"[60,65)",0,"Anemia",168738,961,0.0056952198082234
"[60,65)",1,"Anemia",172121,983,0.0057110985876215
"[65,70)",0,"Anemia",164562,1329,0.00807598351988916
"[65,70)",1,"Anemia",168324,1329,0.00789548727454195
"[70,75)",0,"Anemia",133029,1552,0.0116666290808771
"[70,75)",1,"Anemia",142086,1639,0.011535267373281
"[75,80)",0,"Anemia",105382,1877,0.0178113909396292
"[75,80)",1,"Anemia",120407,2048,0.0170089778833457
"[80,120]",0,"Anemia",151396,4084,0.0269756136225528
"[80,120]",1,"Anemia",233184,5509,0.0236251200768492
"[40,45)",0,"Anxiety",172657,1525,0.00883254081792224
"[40,45)",1,"Anxiety",187171,2444,0.0130575783641697
"[45,50)",0,"Anxiety",191151,1396,0.00730312684736151
"[45,50)",1,"Anxiety",206166,2453,0.0118981791372001
"[50,55)",0,"Anxiety",194439,1233,0.00634132041411445
"[50,55)",1,"Anxiety",206433,2110,0.0102212340081285
"[55,60)",0,"Anxiety",179077,997,0.00556743747103201
"[55,60)",1,"Anxiety",184234,1774,0.00962905869709174
"[60,65)",0,"Anxiety",168738,848,0.00502554255710036
"[60,65)",1,"Anxiety",172121,1574,0.00914472957977237
"[65,70)",0,"Anxiety",164562,637,0.00387088149147434
"[65,70)",1,"Anxiety",168324,1361,0.00808559682517051
"[70,75)",0,"Anxiety",133029,487,0.00366085590359997
