"age_group","is_female","N","n_prefrail","n_frail","n_robust","prefrail","frail","robust"
"[60,65)",1,18803,2189,434,16180,0.116417592937297,0.0230814231771526,0.86050098388555
"[70,75)",1,14077,2378,488,11211,0.168928038644598,0.0346664772323649,0.796405484123038
"[45,50)",1,13729,881,132,12716,0.0641707334838663,0.00961468424502877,0.926214582271105
"[70,75)",0,11053,1783,397,8873,0.161313670496698,0.035917850357369,0.802768479145933
"[75,80)",0,7352,1366,315,5671,0.185799782372144,0.0428454842219804,0.771354733405876
"[45,50)",0,7521,462,95,6964,0.0614280015955325,0.0126312990293844,0.925940699375083
"[50,55)",0,9542,713,168,8661,0.0747222804443513,0.0176063718298051,0.907671347725844
"[55,60)",0,12063,1112,240,10711,0.0921827074525408,0.019895548371052,0.887921744176407
"[80,100]",0,5447,1206,361,3880,0.221406278685515,0.0662750137690472,0.712318707545438
"[60,65)",0,12801,1436,336,11029,0.112178736036247,0.0262479493789548,0.861573314584798
"[75,80)",1,8225,1543,361,6321,0.187598784194529,0.0438905775075988,0.768510638297872
"[80,100]",1,5778,1380,401,3997,0.23883696780893,0.0694011768778124,0.691761855313257
"[55,60)",1,19021,1891,343,16787,0.0994164344671679,0.0180327006992272,0.882550864833605
"[65,70)",1,17867,2445,491,14931,0.136844461857055,0.027480830581519,0.835674707561426
"[40,45)",1,13069,576,76,12417,0.0440737623383579,0.00581528808631112,0.950110949575331
"[50,55)",1,16444,1341,229,14874,0.081549501337874,0.013926052055461,0.904524446606665
"[65,70)",0,12266,1711,348,10207,0.139491276699821,0.0283711071253872,0.832137616174792
"[40,45)",0,6510,241,35,6234,0.0370199692780338,0.00537634408602151,0.957603686635945
