"age_group","is_female","n","n_prefrail","n_frail","n_robust","prefrail","frail","robust"
"[45,50)",1,327187,9499,722,316966,0.029,0.0022,0.9687
"[50,55)",1,350987,15374,1238,334375,0.0438,0.0035,0.9526
"[45,50)",0,298666,5370,418,292878,0.0179,0.0013,0.9806
"[40,45)",1,319183,5466,310,313407,0.0171,9e-04,0.9819
"[60,65)",0,333887,28691,3760,301436,0.0859,0.0112,0.9028
"[50,55)",0,320383,10217,954,309212,0.0318,0.0029,0.9651
"[60,65)",1,372711,34943,4510,333258,0.0937,0.0121,0.8941
"[80,100]",1,293151,116571,47854,128726,0.3976,0.1632,0.4391
"[75,80)",0,150245,47895,13527,88823,0.3187,0.09,0.5911
"[75,80)",1,184868,57432,15060,112376,0.3106,0.0814,0.6078
"[55,60)",1,373928,23857,2537,347534,0.0638,0.0067,0.9294
"[40,45)",0,295005,2757,184,292064,0.0093,6e-04,0.99
"[70,75)",0,199493,47113,9768,142612,0.2361,0.0489,0.7148
"[70,75)",1,241531,56629,11456,173446,0.2344,0.0474,0.7181
"[65,70)",0,271336,40230,6567,224539,0.1482,0.0242,0.8275
"[55,60)",0,340011,18619,2055,319337,0.0547,0.006,0.9391
"[65,70)",1,307025,46946,7368,252711,0.1529,0.0239,0.823
"[80,100]",0,190308,76056,33378,80874,0.3996,0.1753,0.4249
