"age_group","is_female","N","n_prefrail","n_frail","n_robust","prefrail","frail","robust"
"[65,70)",0,12266,2571,2070,7625,0.209603782814283,0.168759171694114,0.621637045491603
"[50,55)",1,16444,3071,2011,11362,0.186755047433714,0.122293845779616,0.69095110678667
"[65,70)",1,17867,3906,3274,10687,0.218615324340964,0.183242849946829,0.598141825712207
"[55,60)",1,19021,3543,2705,12773,0.186267809263446,0.142211240208191,0.671520950528363
"[80,100]",1,5778,1347,1911,2520,0.233125649013499,0.33073727933541,0.43613707165109
"[75,80)",1,8225,1987,2077,4161,0.241580547112462,0.252522796352584,0.505896656534954
"[40,45)",1,13069,1983,882,10204,0.151733108883618,0.0674879485806106,0.780778942535772
"[40,45)",0,6510,714,350,5446,0.109677419354839,0.0537634408602151,0.836559139784946
"[60,65)",1,18803,3822,3058,11923,0.203265436366537,0.162633622294315,0.634100941339148
"[70,75)",1,14077,3276,3127,7674,0.232720039781203,0.222135398167223,0.545144562051573
"[75,80)",0,7352,1852,1695,3805,0.251904243743199,0.230549510337323,0.517546245919478
"[45,50)",1,13729,2202,1407,10120,0.160390414451162,0.102483793429966,0.737125792118872
"[60,65)",0,12801,2394,1883,8524,0.187016639325053,0.147097882977892,0.665885477697055
"[70,75)",0,11053,2631,2179,6243,0.238034922645436,0.197141047679363,0.564824029675201
"[80,100]",0,5447,1429,1596,2422,0.262346245639802,0.293005324031577,0.444648430328621
"[55,60)",0,12063,2001,1484,8578,0.165879134543646,0.123020807427671,0.711100058028683
"[45,50)",0,7521,1060,639,5822,0.140938704959447,0.0849621061029118,0.774099188937641
"[50,55)",0,9542,1413,979,7150,0.148082163068539,0.102599035841543,0.749318801089918
