"age_group","is_female","n","n_prefrail","n_frail","n_robust","prefrail","frail","robust"
"[40,45)",0,172657,17,0,172640,0.0000984611107571659,0,0.999901538889243
"[40,45)",1,187171,59,0,187112,0.000315219772293785,0,0.999684780227706
"[45,50)",0,191151,56,0,191095,0.000292962108490147,0,0.99970703789151
"[45,50)",1,206166,117,1,206048,0.000567503856115945,0.00000485046030868329,0.999427645683575
"[50,55)",0,194439,97,1,194341,0.000498871111248258,0.00000514300114688926,0.999495985887605
"[50,55)",1,206433,158,2,206273,0.000765381503926213,0.00000968837346742042,0.999224930122606
"[55,60)",0,179077,141,1,178935,0.000787370795802923,0.00000558419004115548,0.999207045014156
"[55,60)",1,184234,191,1,184042,0.00103672503446704,0.00000542787976160752,0.998957847085771
"[60,65)",0,168738,219,0,168519,0.00129787007076059,0,0.998702129929239
"[60,65)",1,172121,217,4,171900,0.00126074099034981,0.0000232394652599044,0.99871601954439
"[65,70)",0,164562,299,6,164257,0.00181694437354918,0.0000364604222116892,0.998146595204239
"[65,70)",1,168324,367,2,167955,0.00218031890877118,0.0000118818469142844,0.997807799244315
"[70,75)",0,133029,421,5,132603,0.00316472348134617,0.0000375857895646814,0.996797690729089
"[70,75)",1,142086,557,4,141525,0.00392016102923582,0.0000281519643033093,0.996051687006461
"[75,80)",0,105382,669,15,104698,0.00634833273234518,0.000142339298931506,0.993509327968723
"[75,80)",1,120407,803,16,119588,0.0066690474806282,0.000132882639713638,0.993198069879658
"[80,120]",0,151396,1507,21,149868,0.00995402784749927,0.000138709080821158,0.98990726307168
"[80,120]",1,233184,2377,38,230769,0.0101936668038974,0.000162961438177577,0.989643371757925
