"age_group","is_female","category","N","count","percent"
"[40,45)",0,"Activity limitation",172657,47,0.000272216012093341
"[40,45)",1,"Activity limitation",187171,90,0.000480843720448146
"[45,50)",0,"Activity limitation",191151,119,0.000622544480541561
"[45,50)",1,"Activity limitation",206166,149,0.000722718585993811
"[50,55)",0,"Activity limitation",194439,164,0.000843452188089838
"[50,55)",1,"Activity limitation",206433,204,0.000988214093676883
"[55,60)",0,"Activity limitation",179077,280,0.00156357321152353
"[55,60)",1,"Activity limitation",184234,272,0.00147638329515725
"[60,65)",0,"Activity limitation",168738,433,0.00256610840474582
"[60,65)",1,"Activity limitation",172121,330,0.00191725588394211
"[65,70)",0,"Activity limitation",164562,583,0.00354273769156914
"[65,70)",1,"Activity limitation",168324,590,0.00350514483971389
"[70,75)",0,"Activity limitation",133029,674,0.00506656443331905
"[70,75)",1,"Activity limitation",142086,629,0.00442689638669538
"[75,80)",0,"Activity limitation",105382,885,0.00839801863695887
"[75,80)",1,"Activity limitation",120407,749,0.00622056857159467
"[80,120]",0,"Activity limitation",151396,1560,0.0103041031467146
"[80,120]",1,"Activity limitation",233184,1855,0.00795509125840538
"[40,45)",0,"Anaemia and haematinic deficiency",172657,563,0.00326080031507555
"[40,45)",1,"Anaemia and haematinic deficiency",187171,3266,0.0174492843442627
"[45,50)",0,"Anaemia and haematinic deficiency",191151,784,0.00410146951886205
"[45,50)",1,"Anaemia and haematinic deficiency",206166,4153,0.0201439616619617
"[50,55)",0,"Anaemia and haematinic deficiency",194439,1136,0.00584244930286619
"[50,55)",1,"Anaemia and haematinic deficiency",206433,3298,0.0159761278477763
"[55,60)",0,"Anaemia and haematinic deficiency",179077,1486,0.00829810640115704
"[55,60)",1,"Anaemia and haematinic deficiency",184234,2218,0.0120390373112455
"[60,65)",0,"Anaemia and haematinic deficiency",168738,2030,0.0120304851307945
"[60,65)",1,"Anaemia and haematinic deficiency",172121,2188,0.0127119874971677
"[65,70)",0,"Anaemia and haematinic deficiency",164562,2640,0.0160425857731433
"[65,70)",1,"Anaemia and haematinic deficiency",168324,2668,0.0158503837836553
"[70,75)",0,"Anaemia and haematinic deficiency",133029,3001,0.0225589908967218
"[70,75)",1,"Anaemia and haematinic deficiency",142086,3228,0.0227186351927706
"[75,80)",0,"Anaemia and haematinic deficiency",105382,3474,0.0329657816325369
"[75,80)",1,"Anaemia and haematinic deficiency",120407,3824,0.0317589508915595
"[80,120]",0,"Anaemia and haematinic deficiency",151396,7367,0.0486604665909271
"[80,120]",1,"Anaemia and haematinic deficiency",233184,9849,0.0422370317002882
"[40,45)",0,"Arthritis",172657,2579,0.0149371296848665
"[40,45)",1,"Arthritis",187171,1375,0.00734622350684668
"[45,50)",0,"Arthritis",191151,3679,0.019246564234558
"[45,50)",1,"Arthritis",206166,2654,0.0128731216592455
"[50,55)",0,"Arthritis",194439,5104,0.0262498778537228
"[50,55)",1,"Arthritis",206433,4515,0.0218715031027016
"[55,60)",0,"Arthritis",179077,6119,0.0341696588618304
"[55,60)",1,"Arthritis",184234,5991,0.0325184276517907
"[60,65)",0,"Arthritis",168738,7426,0.0440090554587586
"[60,65)",1,"Arthritis",172121,7287,0.0423364958372308
"[65,70)",0,"Arthritis",164562,7833,0.0475990811973603
"[65,70)",1,"Arthritis",168324,8287,0.0492324326893372
"[70,75)",0,"Arthritis",133029,7131,0.0536048530771486
"[70,75)",1,"Arthritis",142086,8046,0.0566276761961066
"[75,80)",0,"Arthritis",105382,6220,0.059023362623598
"[75,80)",1,"Arthritis",120407,7686,0.0638334980524388
"[80,120]",0,"Arthritis",151396,8512,0.0562234140928426
"[80,120]",1,"Arthritis",233184,12534,0.0537515438452038
"[40,45)",0,"Atrial fibrillation",172657,238,0.00137845555060032
"[40,45)",1,"Atrial fibrillation",187171,73,0.000390017684363496
"[45,50)",0,"Atrial fibrillation",191151,473,0.00247448352349713
"[45,50)",1,"Atrial fibrillation",206166,149,0.000722718585993811
"[50,55)",0,"Atrial fibrillation",194439,839,0.00431497796224009
