"age_group","is_female","category","N","count","percent"
"[40,45)",0,"Activity limitation",300490,0,0
"[40,45)",1,"Activity limitation",327169,0,0
"[45,50)",0,"Activity limitation",305129,0,0
"[45,50)",1,"Activity limitation",335558,0,0
"[50,55)",0,"Activity limitation",328467,0,0
"[50,55)",1,"Activity limitation",360738,0,0
"[55,60)",0,"Activity limitation",349624,0,0
"[55,60)",1,"Activity limitation",384918,0,0
"[60,65)",0,"Activity limitation",344312,0,0
"[60,65)",1,"Activity limitation",384813,0,0
"[65,70)",0,"Activity limitation",281362,0,0
"[65,70)",1,"Activity limitation",318542,0,0
"[70,75)",0,"Activity limitation",202067,0,0
"[70,75)",1,"Activity limitation",244787,0,0
"[75,80)",0,"Activity limitation",151488,0,0
"[75,80)",1,"Activity limitation",186752,0,0
"[80,100]",0,"Activity limitation",191432,0,0
"[80,100]",1,"Activity limitation",295206,0,0
"[40,45)",0,"Anaemia and haematinic deficiency",300490,5612,0.0186761622682951
"[40,45)",1,"Anaemia and haematinic deficiency",327169,24096,0.0736500096280516
"[45,50)",0,"Anaemia and haematinic deficiency",305129,7697,0.0252253964716562
"[45,50)",1,"Anaemia and haematinic deficiency",335558,28225,0.0841136256623296
"[50,55)",0,"Anaemia and haematinic deficiency",328467,10852,0.0330383265289968
"[50,55)",1,"Anaemia and haematinic deficiency",360738,28609,0.079306865370435
"[55,60)",0,"Anaemia and haematinic deficiency",349624,15838,0.0453000938150699
"[55,60)",1,"Anaemia and haematinic deficiency",384918,25091,0.0651853121963639
"[60,65)",0,"Anaemia and haematinic deficiency",344312,20800,0.0604103255187156
"[60,65)",1,"Anaemia and haematinic deficiency",384813,27477,0.0714035128750848
"[65,70)",0,"Anaemia and haematinic deficiency",281362,27045,0.096121722194184
"[65,70)",1,"Anaemia and haematinic deficiency",318542,32972,0.103509113397919
"[70,75)",0,"Anaemia and haematinic deficiency",202067,29571,0.146342549748351
"[70,75)",1,"Anaemia and haematinic deficiency",244787,36789,0.150289843823406
"[75,80)",0,"Anaemia and haematinic deficiency",151488,30813,0.203402249683143
"[75,80)",1,"Anaemia and haematinic deficiency",186752,37321,0.199842571967101
"[80,100]",0,"Anaemia and haematinic deficiency",191432,58633,0.306286305319905
"[80,100]",1,"Anaemia and haematinic deficiency",295206,85081,0.288208911742986
"[40,45)",0,"Arthritis",300490,14014,0.0466371593064661
"[40,45)",1,"Arthritis",327169,15157,0.0463277388750157
"[45,50)",0,"Arthritis",305129,21693,0.0710945206781394
"[45,50)",1,"Arthritis",335558,24913,0.0742434988884187
"[50,55)",0,"Arthritis",328467,32985,0.100421046863155
"[50,55)",1,"Arthritis",360738,40446,0.112120153684946
"[55,60)",0,"Arthritis",349624,48404,0.13844587328101
"[55,60)",1,"Arthritis",384918,59611,0.154866750840439
"[60,65)",0,"Arthritis",344312,60803,0.176592741467042
"[60,65)",1,"Arthritis",384813,76422,0.198595161805864
"[65,70)",0,"Arthritis",281362,64624,0.229682757444147
"[65,70)",1,"Arthritis",318542,84993,0.266818818240609
"[70,75)",0,"Arthritis",202067,58575,0.289879099506599
"[70,75)",1,"Arthritis",244787,85277,0.348372258330712
"[75,80)",0,"Arthritis",151488,51157,0.337696715251373
"[75,80)",1,"Arthritis",186752,75297,0.403192469156957
"[80,100]",0,"Arthritis",191432,72541,0.378938735425634
"[80,100]",1,"Arthritis",295206,135526,0.459089584900036
"[40,45)",0,"Atrial fibrillation",300490,1881,0.00625977569969051
"[40,45)",1,"Atrial fibrillation",327169,833,0.00254608474519285
"[45,50)",0,"Atrial fibrillation",305129,3227,0.0105758548023951
"[45,50)",1,"Atrial fibrillation",335558,1458,0.00434500146025426
"[50,55)",0,"Atrial fibrillation",328467,5835,0.0177643416233594
"[50,55)",1,"Atrial fibrillation",360738,2476,0.00686370717806275
"[55,60)",0,"Atrial fibrillation",349624,10424,0.029814886849873
"[55,60)",1,"Atrial fibrillation",384918,4828,0.0125429312217148
"[60,65)",0,"Atrial fibrillation",344312,16988,0.0493389716303817
"[60,65)",1,"Atrial fibrillation",384813,8361,0.0217274364431555
"[65,70)",0,"Atrial fibrillation",281362,23173,0.0823600912703208
"[65,70)",1,"Atrial fibrillation",318542,12901,0.0405001538258691
"[70,75)",0,"Atrial fibrillation",202067,26341,0.130357752626604
"[70,75)",1,"Atrial fibrillation",244787,17979,0.0734475278507437
"[75,80)",0,"Atrial fibrillation",151488,29712,0.196134347275032
