"age_group","is_female","category","N","count","percent"
"[40,45)",0,"Activity limitation",6031,0,0
"[40,45)",1,"Activity limitation",7159,0,0
"[45,50)",0,"Activity limitation",11440,0,0
"[45,50)",1,"Activity limitation",14635,0,0
"[50,55)",0,"Activity limitation",12800,0,0
"[50,55)",1,"Activity limitation",17563,0,0
"[55,60)",0,"Activity limitation",15449,0,0
"[55,60)",1,"Activity limitation",20464,0,0
"[60,65)",0,"Activity limitation",21827,0,0
"[60,65)",1,"Activity limitation",27399,0,0
"[65,70)",0,"Activity limitation",20991,29,0.00138154447144014
"[65,70)",1,"Activity limitation",22599,21,0.000929244656843223
"[70,75)",0,"Activity limitation",5525,0,0
"[70,75)",1,"Activity limitation",5684,0,0
"[40,45)",0,"Anaemia and haematinic deficiency",6031,49,0.0081246891062842
"[40,45)",1,"Anaemia and haematinic deficiency",7159,282,0.039390976393351
"[45,50)",0,"Anaemia and haematinic deficiency",11440,106,0.00926573426573427
"[45,50)",1,"Anaemia and haematinic deficiency",14635,603,0.0412025965152033
"[50,55)",0,"Anaemia and haematinic deficiency",12800,189,0.014765625
"[50,55)",1,"Anaemia and haematinic deficiency",17563,635,0.0361555542902693
"[55,60)",0,"Anaemia and haematinic deficiency",15449,268,0.0173474011262865
"[55,60)",1,"Anaemia and haematinic deficiency",20464,467,0.0228205629397967
"[60,65)",0,"Anaemia and haematinic deficiency",21827,462,0.0211664452283869
"[60,65)",1,"Anaemia and haematinic deficiency",27399,563,0.0205481951896055
"[65,70)",0,"Anaemia and haematinic deficiency",20991,600,0.0285836787194512
"[65,70)",1,"Anaemia and haematinic deficiency",22599,626,0.0277003407230408
"[70,75)",0,"Anaemia and haematinic deficiency",5525,175,0.0316742081447964
"[70,75)",1,"Anaemia and haematinic deficiency",5684,169,0.0297325826882477
"[40,45)",0,"Arthritis",6031,175,0.0290167468081579
"[40,45)",1,"Arthritis",7159,132,0.0184383293756111
"[45,50)",0,"Arthritis",11440,488,0.0426573426573427
"[45,50)",1,"Arthritis",14635,424,0.0289716433208063
