"age_group","is_female","n","n_prefrail","n_frail","n_robust","prefrail","frail","robust"
"[40,45)",0,6031,26,1,6004,0.00431105952578345,0.000165809981760902,0.995523130492456
"[40,45)",1,7159,38,4,7117,0.00530800391116078,0.000558737253806398,0.994133258835033
"[45,50)",0,11440,83,6,11351,0.00725524475524475,0.000524475524475524,0.99222027972028
"[45,50)",1,14635,107,9,14519,0.0073112401776563,0.000614964127092586,0.992073795695251
"[50,55)",0,12800,153,15,12632,0.011953125,0.001171875,0.986875
"[50,55)",1,17563,243,13,17307,0.0138359050276149,0.00074019245003701,0.985423902522348
"[55,60)",0,15449,330,26,15093,0.0213606058644572,0.00168295682568451,0.976956437309858
"[55,60)",1,20464,372,32,20060,0.0181782642689601,0.00156372165754496,0.980258014073495
"[60,65)",0,21827,669,49,21109,0.0306501122463005,0.00224492600907133,0.967104961744628
"[60,65)",1,27399,749,39,26611,0.0273367641154787,0.00142340961348954,0.971239826271032
"[65,70)",0,20991,997,116,19878,0.0474965461388214,0.00552617788576056,0.946977275975418
"[65,70)",1,22599,932,66,21601,0.0412407628656135,0.00292048320722156,0.955838753927165
"[70,75)",0,5525,322,38,5165,0.0582805429864253,0.00687782805429864,0.934841628959276
"[70,75)",1,5684,288,17,5379,0.0506685432793807,0.002990851513019,0.9463406052076
