"age_group","is_female","n","n_prefrail","n_frail","n_robust","prefrail","frail","robust"
"[40,45)",0,56050,281,7,55762,0.00501338090990187,0.000124888492417484,0.994861730597681
"[40,45)",1,51159,560,24,50575,0.0109462655642213,0.000469125667038058,0.988584608768741
"[45,50)",0,56112,582,14,55516,0.0103721129170231,0.000249500998003992,0.989378386084973
"[45,50)",1,51796,976,30,50790,0.018843153911499,0.00057919530465673,0.980577650783844
"[50,55)",0,56983,1167,52,55764,0.0204797922187319,0.000912552866644438,0.978607654914624
"[50,55)",1,53701,1675,74,51952,0.0311912254892833,0.0013780004096758,0.967430774101041
"[55,60)",0,52084,1849,93,50142,0.0355003455955764,0.00178557714461255,0.962714077259811
"[55,60)",1,48163,2272,113,45778,0.0471731412079812,0.00234619936465752,0.950480659427361
"[60,65)",0,46881,2968,206,43707,0.0633092297519251,0.00439410422132634,0.932296666026749
"[60,65)",1,43894,3210,212,40472,0.0731307240169499,0.00482981728710074,0.922039458695949
"[65,70)",0,43151,4487,448,38216,0.103983685198489,0.0103821464160738,0.885634168385437
"[65,70)",1,41309,4465,426,36418,0.108087825897504,0.0103125226948123,0.881599651407684
"[70,75)",0,36252,5993,799,29460,0.165315017102505,0.0220401633013351,0.81264481959616
"[70,75)",1,37439,6011,811,30617,0.160554501989904,0.0216619033628035,0.817783594647293
"[75,80)",0,29396,7109,1298,20989,0.241835623894407,0.0441556674377466,0.714008708667846
"[75,80)",1,31970,7788,1338,22844,0.243603378167032,0.0418517360025023,0.714544885830466
"[80,120]",0,43290,14993,4315,23982,0.346338646338646,0.0996765996765997,0.553984753984754
"[80,120]",1,64298,23464,6907,33927,0.364925814177735,0.107421692743165,0.5276524930791
