"age_group","is_female","category","N","count","percent"
"[40,45)",0,"Activity limitation",56050,31,0.000553077609277431
"[40,45)",1,"Activity limitation",51159,23,0.000449578764244805
"[45,50)",0,"Activity limitation",56112,47,0.000837610493299116
"[45,50)",1,"Activity limitation",51796,43,0.000830179936674647
"[50,55)",0,"Activity limitation",56983,52,0.000912552866644438
"[50,55)",1,"Activity limitation",53701,64,0.00119178413809799
"[55,60)",0,"Activity limitation",52084,90,0.00172797788188311
"[55,60)",1,"Activity limitation",48163,76,0.00157797479392895
"[60,65)",0,"Activity limitation",46881,116,0.00247434994987308
"[60,65)",1,"Activity limitation",43894,99,0.00225543354444799
"[65,70)",0,"Activity limitation",43151,194,0.00449584018910338
"[65,70)",1,"Activity limitation",41309,146,0.00353433876394974
"[70,75)",0,"Activity limitation",36252,172,0.00474456581705837
"[70,75)",1,"Activity limitation",37439,148,0.00395309703784823
"[75,80)",0,"Activity limitation",29396,190,0.00646346441692747
"[75,80)",1,"Activity limitation",31970,154,0.00481701595245543
"[80,120]",0,"Activity limitation",43290,381,0.0088011088011088
"[80,120]",1,"Activity limitation",64298,458,0.00712308314411024
"[40,45)",0,"Anaemia and haematinic deficiency",56294,1719,0.03053611397307
"[40,45)",1,"Anaemia and haematinic deficiency",52947,7991,0.150924509415075
"[45,50)",0,"Anaemia and haematinic deficiency",56430,2403,0.0425837320574163
"[45,50)",1,"Anaemia and haematinic deficiency",53760,8048,0.149702380952381
"[50,55)",0,"Anaemia and haematinic deficiency",57492,3399,0.0591212690461282
"[50,55)",1,"Anaemia and haematinic deficiency",55405,7358,0.132803898565111
"[55,60)",0,"Anaemia and haematinic deficiency",52805,4403,0.0833822554682322
"[55,60)",1,"Anaemia and haematinic deficiency",49115,4785,0.097424412094065
"[60,65)",0,"Anaemia and haematinic deficiency",47849,5669,0.118476875169805
"[60,65)",1,"Anaemia and haematinic deficiency",44809,4706,0.105023544377246
"[65,70)",0,"Anaemia and haematinic deficiency",44548,7612,0.170871868546287
"[65,70)",1,"Anaemia and haematinic deficiency",42580,5831,0.13694222639737
"[70,75)",0,"Anaemia and haematinic deficiency",38100,9310,0.244356955380577
"[70,75)",1,"Anaemia and haematinic deficiency",39021,7009,0.179621229594321
"[75,80)",0,"Anaemia and haematinic deficiency",31687,11057,0.348944362041216
"[75,80)",1,"Anaemia and haematinic deficiency",33969,8279,0.243722217315788
"[80,120]",0,"Anaemia and haematinic deficiency",49081,25908,0.527862105499073
"[80,120]",1,"Anaemia and haematinic deficiency",70546,26417,0.374464888158081
"[40,45)",0,"Arthritis",56050,1594,0.0284388938447814
"[40,45)",1,"Arthritis",51159,1063,0.0207783576692273
"[45,50)",0,"Arthritis",56112,2331,0.0415419161676647
"[45,50)",1,"Arthritis",51796,1875,0.0361997065410456
"[50,55)",0,"Arthritis",56983,3413,0.0598950564203359
"[50,55)",1,"Arthritis",53701,3472,0.0646542894918158
"[55,60)",0,"Arthritis",52084,4382,0.0841333230934644
"[55,60)",1,"Arthritis",48163,4548,0.0944293337209061
"[60,65)",0,"Arthritis",46881,5226,0.111473731362386
"[60,65)",1,"Arthritis",43894,5636,0.128400236934433
"[65,70)",0,"Arthritis",43151,5905,0.13684503256008
"[65,70)",1,"Arthritis",41309,6361,0.153985814229345
"[70,75)",0,"Arthritis",36252,5798,0.15993600353084
"[70,75)",1,"Arthritis",37439,6963,0.185982531584711
"[75,80)",0,"Arthritis",29396,5337,0.181555313648115
"[75,80)",1,"Arthritis",31970,6790,0.212386612449171
"[80,120]",0,"Arthritis",43290,8428,0.194686994686995
"[80,120]",1,"Arthritis",64298,13750,0.213848020156148
"[40,45)",0,"Atrial fibrillation",56068,160,0.00285367767710637
"[40,45)",1,"Atrial fibrillation",51172,64,0.00125068396779489
"[45,50)",0,"Atrial fibrillation",56179,353,0.00628348671211663
"[45,50)",1,"Atrial fibrillation",51830,126,0.00243102450318348
"[50,55)",0,"Atrial fibrillation",57149,731,0.0127911249540674
"[50,55)",1,"Atrial fibrillation",53798,308,0.00572511989293282
"[55,60)",0,"Atrial fibrillation",52380,1150,0.021954944635357
"[55,60)",1,"Atrial fibrillation",48328,528,0.0109253434861778
"[60,65)",0,"Atrial fibrillation",47400,1906,0.040210970464135
"[60,65)",1,"Atrial fibrillation",44159,884,0.0200185692610793
"[65,70)",0,"Atrial fibrillation",44093,3120,0.0707595309913138
"[65,70)",1,"Atrial fibrillation",41708,1378,0.033039225088712
"[70,75)",0,"Atrial fibrillation",37526,4175,0.111256195704312
"[70,75)",1,"Atrial fibrillation",38162,2406,0.0630470101147739
"[75,80)",0,"Atrial fibrillation",30787,4858,0.157793874037743
"[75,80)",1,"Atrial fibrillation",32907,3364,0.10222748959188
"[80,120]",0,"Atrial fibrillation",45889,9975,0.217372355030617
"[80,120]",1,"Atrial fibrillation",67164,11796,0.175629801679471
"[40,45)",0,"Cerebrovascular disease",56050,200,0.00356824264049955
"[40,45)",1,"Cerebrovascular disease",51159,187,0.0036552708223382
"[45,50)",0,"Cerebrovascular disease",56112,396,0.00705731394354149
"[45,50)",1,"Cerebrovascular disease",51796,306,0.00590779210749865
"[50,55)",0,"Cerebrovascular disease",56983,694,0.0121790709509854
"[50,55)",1,"Cerebrovascular disease",53701,528,0.00983221913930839
"[55,60)",0,"Cerebrovascular disease",52084,980,0.0188157591582828
"[55,60)",1,"Cerebrovascular disease",48163,671,0.0139318564042938
"[60,65)",0,"Cerebrovascular disease",46881,1283,0.0273671636697169
"[60,65)",1,"Cerebrovascular disease",43894,822,0.0187269330660227
"[65,70)",0,"Cerebrovascular disease",43151,1712,0.0396746309471391
"[65,70)",1,"Cerebrovascular disease",41309,1155,0.0279600087148079
"[70,75)",0,"Cerebrovascular disease",36252,2178,0.0600794438927507
"[70,75)",1,"Cerebrovascular disease",37439,1565,0.041801330163733
"[75,80)",0,"Cerebrovascular disease",29396,2395,0.0814736698870595
"[75,80)",1,"Cerebrovascular disease",31970,2022,0.0632467938692524
"[80,120]",0,"Cerebrovascular disease",43290,5217,0.120512820512821
"[80,120]",1,"Cerebrovascular disease",64298,6836,0.106317459329995
"[40,45)",0,"Chronic kidney disease",56211,3066,0.0545444841756952
"[40,45)",1,"Chronic kidney disease",51286,3544,0.0691026790937098
"[45,50)",0,"Chronic kidney disease",56363,4165,0.0738959955999503
"[45,50)",1,"Chronic kidney disease",51980,4066,0.0782223932281647
"[50,55)",0,"Chronic kidney disease",57379,5410,0.0942853657261367
"[50,55)",1,"Chronic kidney disease",54043,5136,0.0950354347464056
"[55,60)",0,"Chronic kidney disease",52608,6160,0.117092457420925
"[55,60)",1,"Chronic kidney disease",48603,5667,0.116597740880193
"[60,65)",0,"Chronic kidney disease",47583,6968,0.146438854212639
"[60,65)",1,"Chronic kidney disease",44484,6261,0.140747234960885
"[65,70)",0,"Chronic kidney disease",44260,8548,0.193131495707185
"[65,70)",1,"Chronic kidney disease",42236,7576,0.179373046690027
"[70,75)",0,"Chronic kidney disease",37751,9441,0.25008609043469
"[70,75)",1,"Chronic kidney disease",38678,8861,0.229096644087078
"[75,80)",0,"Chronic kidney disease",31268,10112,0.323397722911603
"[75,80)",1,"Chronic kidney disease",33629,10217,0.303815159534925
"[80,120]",0,"Chronic kidney disease",47961,20931,0.436417088884719
"[80,120]",1,"Chronic kidney disease",70074,28743,0.410180666152924
"[40,45)",0,"Diabetes",56050,2354,0.0419982158786798
"[40,45)",1,"Diabetes",51159,1728,0.0337770480267402
"[45,50)",0,"Diabetes",56112,3702,0.0659751924721985
"[45,50)",1,"Diabetes",51796,2407,0.046470769943625
"[50,55)",0,"Diabetes",56983,5377,0.0943614762297527
"[50,55)",1,"Diabetes",53701,3511,0.0653805329509693
"[55,60)",0,"Diabetes",52084,6435,0.123550418554642
"[55,60)",1,"Diabetes",48163,4297,0.0892178643356934
"[60,65)",0,"Diabetes",46881,7155,0.152620464580534
"[60,65)",1,"Diabetes",43894,4834,0.110128947008703
"[65,70)",0,"Diabetes",43151,7755,0.179717735394313
"[65,70)",1,"Diabetes",41309,5262,0.127381442300709
"[70,75)",0,"Diabetes",36252,7557,0.208457464415756
"[70,75)",1,"Diabetes",37439,5734,0.153155800101498
"[75,80)",0,"Diabetes",29396,6813,0.23176622669751
"[75,80)",1,"Diabetes",31970,5599,0.175132937128558
"[80,120]",0,"Diabetes",43290,9487,0.219149919149919
"[80,120]",1,"Diabetes",64298,10812,0.168154530467511
"[40,45)",0,"Dizziness",56050,1175,0.0209634255129349
"[40,45)",1,"Dizziness",51159,2610,0.0510174162903888
"[45,50)",0,"Dizziness",56112,1187,0.021154120330767
"[45,50)",1,"Dizziness",51796,2897,0.0559309599196849
"[50,55)",0,"Dizziness",56983,1519,0.0266570731621712
"[50,55)",1,"Dizziness",53701,3209,0.0597568015493194
"[55,60)",0,"Dizziness",52084,1606,0.030834805314492
"[55,60)",1,"Dizziness",48163,2956,0.0613749143533418
"[60,65)",0,"Dizziness",46881,1807,0.0385443996501781
"[60,65)",1,"Dizziness",43894,3033,0.0690982822253611
"[65,70)",0,"Dizziness",43151,2071,0.0479942527403768
"[65,70)",1,"Dizziness",41309,3144,0.0761093224236849
"[70,75)",0,"Dizziness",36252,2150,0.0593070727132296
"[70,75)",1,"Dizziness",37439,3109,0.0830417479099335
"[75,80)",0,"Dizziness",29396,2113,0.0718805279629882
"[75,80)",1,"Dizziness",31970,3246,0.101532686893963
"[80,120]",0,"Dizziness",43290,3874,0.0894894894894895
"[80,120]",1,"Dizziness",64298,7023,0.109225792404118
"[40,45)",0,"Dyspnoea",56050,1149,0.0204995539696699
"[40,45)",1,"Dyspnoea",51159,1607,0.0314118727887566
"[45,50)",0,"Dyspnoea",56112,1417,0.0252530652979755
"[45,50)",1,"Dyspnoea",51796,1886,0.0364120781527531
"[50,55)",0,"Dyspnoea",56983,1927,0.0338171033466121
"[50,55)",1,"Dyspnoea",53701,2325,0.0432952831418409
"[55,60)",0,"Dyspnoea",52084,2419,0.0464442055141694
"[55,60)",1,"Dyspnoea",48163,2561,0.0531735979901584
"[60,65)",0,"Dyspnoea",46881,2998,0.0639491478424095
"[60,65)",1,"Dyspnoea",43894,2919,0.0665011163256937
"[65,70)",0,"Dyspnoea",43151,3586,0.0831035201965192
"[65,70)",1,"Dyspnoea",41309,3454,0.0836137403471399
"[70,75)",0,"Dyspnoea",36252,3981,0.109814630916915
"[70,75)",1,"Dyspnoea",37439,3846,0.102727102753813
"[75,80)",0,"Dyspnoea",29396,4046,0.137637773846782
"[75,80)",1,"Dyspnoea",31970,4080,0.127619643415702
"[80,120]",0,"Dyspnoea",43290,7429,0.171610071610072
"[80,120]",1,"Dyspnoea",64298,9956,0.154841519176335
"[40,45)",0,"Falls",56050,368,0.00656556645851918
"[40,45)",1,"Falls",51159,579,0.0113176567172931
"[45,50)",0,"Falls",56112,447,0.00796621043627032
"[45,50)",1,"Falls",51796,767,0.0148080932890571
"[50,55)",0,"Falls",56983,608,0.0106698489023042
"[50,55)",1,"Falls",53701,1085,0.0202044654661924
"[55,60)",0,"Falls",52084,714,0.013708624529606
"[55,60)",1,"Falls",48163,1259,0.0261403982310072
"[60,65)",0,"Falls",46881,912,0.0194535099507263
"[60,65)",1,"Falls",43894,1408,0.0320772770765936
"[65,70)",0,"Falls",43151,1430,0.0331394405691641
"[65,70)",1,"Falls",41309,1965,0.0475683265148031
"[70,75)",0,"Falls",36252,1958,0.0540108131965133
"[70,75)",1,"Falls",37439,2676,0.0714762680627154
"[75,80)",0,"Falls",29396,2597,0.0883453531092666
"[75,80)",1,"Falls",31970,3673,0.114888958398499
"[80,120]",0,"Falls",43290,7889,0.182236082236082
