"age_group","is_female","n","n_prefrail","n_frail","n_robust","prefrail","frail","robust"
"[40,45)",0,6031,25,0,6006,0.00414524954402255,0,0.995854750455977
"[40,45)",1,7159,54,0,7105,0.00754295292638637,0,0.992457047073614
"[45,50)",0,11440,91,3,11346,0.00795454545454545,0.000262237762237762,0.991783216783217
"[45,50)",1,14635,153,1,14481,0.010454390160574,0.0000683293474547318,0.989477280491971
"[50,55)",0,12800,192,6,12602,0.015,0.00046875,0.98453125
"[50,55)",1,17563,293,5,17265,0.0166827990662188,0.000284689403860388,0.983032511529921
"[55,60)",0,15449,379,10,15060,0.0245323321897857,0.000647291086801735,0.974820376723412
"[55,60)",1,20464,499,6,19959,0.0243842845973417,0.000293197810789679,0.975322517591869
"[60,65)",0,21827,831,26,20970,0.0380721125211894,0.00119118522930316,0.960736702249507
"[60,65)",1,27399,881,23,26495,0.0321544581919048,0.000839446695134859,0.96700609511296
"[65,70)",0,20991,1257,65,19669,0.0598828069172503,0.00309656519460721,0.937020627888143
"[65,70)",1,22599,1111,48,21440,0.0491614673215629,0.00212398778707022,0.948714544891367
"[70,75)",0,5525,390,21,5114,0.0705882352941176,0.00380090497737557,0.925610859728507
"[70,75)",1,5684,360,10,5314,0.0633356790992259,0.00175932441942294,0.934904996481351
