"age_group","is_female","category","N","count","percent"
"[40,45)",0,"Activity limitation",6031,0,0
"[40,45)",1,"Activity limitation",7159,0,0
"[45,50)",0,"Activity limitation",11440,0,0
"[45,50)",1,"Activity limitation",14635,0,0
"[50,55)",0,"Activity limitation",12800,0,0
"[50,55)",1,"Activity limitation",17563,0,0
"[55,60)",0,"Activity limitation",15449,0,0
"[55,60)",1,"Activity limitation",20464,0,0
"[60,65)",0,"Activity limitation",21827,0,0
"[60,65)",1,"Activity limitation",27399,0,0
"[65,70)",0,"Activity limitation",20991,0,0
"[65,70)",1,"Activity limitation",22599,0,0
"[70,75)",0,"Activity limitation",5525,0,0
"[70,75)",1,"Activity limitation",5684,0,0
"[40,45)",0,"Anaemia and haematinic deficiency",6031,20,0.00331619963521804
"[40,45)",1,"Anaemia and haematinic deficiency",7159,126,0.0176002234949015
"[45,50)",0,"Anaemia and haematinic deficiency",11440,55,0.00480769230769231
"[45,50)",1,"Anaemia and haematinic deficiency",14639,291,0.0198784069950133
"[50,55)",0,"Anaemia and haematinic deficiency",12800,89,0.006953125
"[50,55)",1,"Anaemia and haematinic deficiency",17563,243,0.0138359050276149
"[55,60)",0,"Anaemia and haematinic deficiency",15449,134,0.00867370056314325
"[55,60)",1,"Anaemia and haematinic deficiency",20464,229,0.0111903831118061
"[60,65)",0,"Anaemia and haematinic deficiency",21827,236,0.0108122966967517
"[60,65)",1,"Anaemia and haematinic deficiency",27399,309,0.0112777838607248
"[65,70)",0,"Anaemia and haematinic deficiency",20991,306,0.0145776761469201
"[65,70)",1,"Anaemia and haematinic deficiency",22599,330,0.0146024160361078
"[70,75)",0,"Anaemia and haematinic deficiency",5525,85,0.0153846153846154
"[70,75)",1,"Anaemia and haematinic deficiency",5684,79,0.0138986629134412
"[40,45)",0,"Arthritis",6031,83,0.0137622284861549
"[40,45)",1,"Arthritis",7159,67,0.00935884900125716
"[45,50)",0,"Arthritis",11440,223,0.019493006993007
"[45,50)",1,"Arthritis",14635,187,0.0127775879740348
