"age_group","is_female","n","n_prefrail","n_frail","n_robust","prefrail","frail","robust"
"[45,50)",1,320069,7032,430,312607,0.0219,0.0013,0.9766
"[45,50)",0,291082,4196,305,286581,0.0144,0.001,0.9845
"[50,55)",1,344467,11541,742,332184,0.0335,0.0021,0.9643
"[60,65)",0,329938,23364,2580,303994,0.0708,0.0078,0.9213
"[40,45)",1,310478,3882,177,306419,0.0125,5e-04,0.9869
"[60,65)",1,368427,27872,2838,337717,0.0756,0.0077,0.9166
"[50,55)",0,313607,8214,670,304723,0.0261,0.0021,0.9716
"[75,80)",1,184773,47500,9332,127941,0.257,0.0505,0.6924
"[75,80)",0,150157,39901,8661,101595,0.2657,0.0576,0.6765
"[80,100]",1,293074,105236,30636,157202,0.359,0.1045,0.5363
"[55,60)",1,368495,18663,1601,348231,0.0506,0.0043,0.945
"[65,70)",1,304928,38047,4776,262105,0.1247,0.0156,0.8595
"[70,75)",0,199209,37799,6387,155023,0.1897,0.032,0.7781
"[40,45)",0,285485,2146,123,283216,0.0075,4e-04,0.992
"[65,70)",0,269406,32983,4438,231985,0.1224,0.0164,0.861
"[70,75)",1,241254,45251,7049,188954,0.1875,0.0292,0.7832
"[55,60)",0,334581,15071,1411,318099,0.045,0.0042,0.9507
"[80,100]",0,190269,68371,22111,99787,0.3593,0.1162,0.5244
