"age_group","is_female","category","N","count","percent"
"[40,45)",0,"AFIB",285485,1496,0.00524020526472494
"[40,45)",1,"AFIB",310478,634,0.00204201263857665
"[45,50)",0,"AFIB",291082,2592,0.00890470726461959
"[45,50)",1,"AFIB",320069,1093,0.00341488866463169
"[50,55)",0,"AFIB",313607,4834,0.0154141967494348
"[50,55)",1,"AFIB",344467,1964,0.00570156212351256
"[55,60)",0,"AFIB",334581,8794,0.0262836204088098
"[55,60)",1,"AFIB",368495,3912,0.0106161549003379
"[60,65)",0,"AFIB",329938,14482,0.0438930950663458
"[60,65)",1,"AFIB",368427,6965,0.0189046948242121
"[65,70)",0,"AFIB",269406,20173,0.0748795498244286
"[65,70)",1,"AFIB",304928,11151,0.0365692884877742
"[70,75)",0,"AFIB",199209,23812,0.119532752034296
"[70,75)",1,"AFIB",241254,16019,0.066398899085611
"[75,80)",0,"AFIB",150157,27127,0.180657578401273
"[75,80)",1,"AFIB",184773,20458,0.110719639774209
"[80,100]",0,"AFIB",190269,54367,0.285737561032013
"[80,100]",1,"AFIB",293074,63509,0.216699536635798
"[40,45)",0,"Anemia",285485,4603,0.0161234390598455
"[40,45)",1,"Anemia",310478,18552,0.0597530259792964
"[45,50)",0,"Anemia",291082,6387,0.0219422705629342
"[45,50)",1,"Anemia",320069,21997,0.0687258059980817
"[50,55)",0,"Anemia",313607,9013,0.0287397921602515
"[50,55)",1,"Anemia",344467,21469,0.0623252735385392
"[55,60)",0,"Anemia",334581,12822,0.0383225586629247
"[55,60)",1,"Anemia",368495,18784,0.050974911464199
"[60,65)",0,"Anemia",329938,16765,0.0508125769083888
"[60,65)",1,"Anemia",368427,21388,0.058052205728679
"[65,70)",0,"Anemia",269406,22089,0.0819914923943788
"[65,70)",1,"Anemia",304928,26146,0.0857448315667961
"[70,75)",0,"Anemia",199209,24172,0.121339899301738
"[70,75)",1,"Anemia",241254,28983,0.120134795692507
"[75,80)",0,"Anemia",150157,24962,0.166239336161484
"[75,80)",1,"Anemia",184773,29380,0.159005915366423
"[80,100]",0,"Anemia",190269,48177,0.253204673383473
"[80,100]",1,"Anemia",293074,66888,0.228229047953759
"[40,45)",0,"Anxiety",285485,32667,0.11442632712752
