"age_group","is_female","n","n_prefrail","n_frail","n_robust","prefrail","frail","robust"
"[40,45)",0,55073,68,0,55005,0.00123472481978465,0,0.998765275180215
"[40,45)",1,50353,134,2,50217,0.00266121184437869,0.0000397195797668461,0.997299068575854
"[45,50)",0,54579,193,1,54385,0.00353615859579692,0.0000183220652631965,0.99644551933894
"[45,50)",1,51196,301,3,50892,0.00587936557543558,0.0000585983279943746,0.99406203609657
"[50,55)",0,56368,393,4,55971,0.0069720408742549,0.0000709622480840193,0.992956996877661
"[50,55)",1,53152,486,11,52655,0.00914358819987959,0.000206953642384106,0.990649458157736
"[55,60)",0,51650,668,15,50967,0.0129332042594385,0.000290416263310745,0.986776379477251
"[55,60)",1,47543,744,23,46776,0.0156489914393286,0.000483772584817954,0.983867235975853
"[60,65)",0,46185,1233,41,44911,0.0266969795388113,0.000887734112807188,0.972415286348381
"[60,65)",1,43308,1167,31,42110,0.0269465225824328,0.000715803084880392,0.972337674332687
"[65,70)",0,42604,1909,77,40618,0.0448079992488968,0.00180734203361187,0.953384658717491
"[65,70)",1,40959,1821,68,39070,0.044459093239581,0.001660196782148,0.953880709978271
"[70,75)",0,36058,2759,157,33142,0.0765156137334295,0.00435409617837928,0.919130290088191
"[70,75)",1,37263,2666,148,34449,0.0715455008990151,0.00397176824195583,0.924482730859029
"[75,80)",0,28999,3722,265,25012,0.128349253422532,0.00913824614641884,0.862512500431049
"[75,80)",1,31636,3877,275,27484,0.122550259198382,0.00869262865090403,0.868757112150714
"[80,120]",0,42531,8710,945,32876,0.204791798923138,0.022219087254003,0.772989113822859
"[80,120]",1,62998,13059,1498,48441,0.207292294993492,0.0237785326518302,0.768929172354678
