"age_group","is_female","category","N","count","percent"
"[40,45)",0,"Activity limitation",55073,27,0.000490258384326258
"[40,45)",1,"Activity limitation",50353,28,0.000556074116735845
"[45,50)",0,"Activity limitation",54579,44,0.000806170871580645
"[45,50)",1,"Activity limitation",51196,40,0.000781311039924994
"[50,55)",0,"Activity limitation",56368,51,0.000904768663071246
"[50,55)",1,"Activity limitation",53152,58,0.00109121011438892
"[55,60)",0,"Activity limitation",51650,90,0.00174249757986447
"[55,60)",1,"Activity limitation",47543,68,0.0014302841638096
"[60,65)",0,"Activity limitation",46185,118,0.00255494208076215
"[60,65)",1,"Activity limitation",43308,95,0.00219359009882701
"[65,70)",0,"Activity limitation",42604,163,0.00382593183738616
"[65,70)",1,"Activity limitation",40959,125,0.003051832320125
"[70,75)",0,"Activity limitation",36058,175,0.00485329191857563
"[70,75)",1,"Activity limitation",37263,153,0.00410594960148136
"[75,80)",0,"Activity limitation",28999,193,0.0066554019104107
"[75,80)",1,"Activity limitation",31636,168,0.0053104058667341
"[80,120]",0,"Activity limitation",42531,367,0.00862900002351226
"[80,120]",1,"Activity limitation",62998,462,0.00733356614495698
"[40,45)",0,"Anaemia and haematinic deficiency",55073,594,0.0107856844551777
"[40,45)",1,"Anaemia and haematinic deficiency",50353,3110,0.0617639465374456
"[45,50)",0,"Anaemia and haematinic deficiency",54579,772,0.0141446343831877
"[45,50)",1,"Anaemia and haematinic deficiency",51196,3570,0.0697320103133057
"[50,55)",0,"Anaemia and haematinic deficiency",56368,1057,0.0187517740562021
"[50,55)",1,"Anaemia and haematinic deficiency",53152,3243,0.0610136965683323
"[55,60)",0,"Anaemia and haematinic deficiency",51650,1386,0.0268344627299129
"[55,60)",1,"Anaemia and haematinic deficiency",47543,2115,0.0444860442126075
"[60,65)",0,"Anaemia and haematinic deficiency",46185,1708,0.0369817040164556
"[60,65)",1,"Anaemia and haematinic deficiency",43308,2040,0.0471044610695484
"[65,70)",0,"Anaemia and haematinic deficiency",42604,2124,0.0498544737583326
"[65,70)",1,"Anaemia and haematinic deficiency",40959,2312,0.0564466905930321
"[70,75)",0,"Anaemia and haematinic deficiency",36058,2676,0.0742137667091907
"[70,75)",1,"Anaemia and haematinic deficiency",37263,2680,0.0719212087056866
"[75,80)",0,"Anaemia and haematinic deficiency",28999,3030,0.104486361598676
"[75,80)",1,"Anaemia and haematinic deficiency",31636,3059,0.0966936401567834
"[80,120]",0,"Anaemia and haematinic deficiency",42531,6691,0.157320542662999
"[80,120]",1,"Anaemia and haematinic deficiency",62998,8630,0.136988475824629
"[40,45)",0,"Arthritis",55073,1561,0.0283441977012329
"[40,45)",1,"Arthritis",50353,1044,0.0207336206382936
"[45,50)",0,"Arthritis",54579,2377,0.043551549130618
"[45,50)",1,"Arthritis",51196,1886,0.0368388155324635
"[50,55)",0,"Arthritis",56368,3416,0.0606017598637525
"[50,55)",1,"Arthritis",53152,3425,0.0644378386514148
"[55,60)",0,"Arthritis",51650,4385,0.0848983543078412
"[55,60)",1,"Arthritis",47543,4561,0.0959342069284648
"[60,65)",0,"Arthritis",46185,5164,0.111811194110642
"[60,65)",1,"Arthritis",43308,5584,0.128936916966842
"[65,70)",0,"Arthritis",42604,5734,0.134588301567928
"[65,70)",1,"Arthritis",40959,6297,0.153739104958617
"[70,75)",0,"Arthritis",36058,5750,0.159465305896056
"[70,75)",1,"Arthritis",37263,6904,0.185277621232858
"[75,80)",0,"Arthritis",28999,5300,0.182764922928377
"[75,80)",1,"Arthritis",31636,6718,0.212353015551903
"[80,120]",0,"Arthritis",42531,8285,0.194799087724248
"[80,120]",1,"Arthritis",62998,13570,0.215403663608369
"[40,45)",0,"Atrial fibrillation",55073,139,0.00252392279338333
"[40,45)",1,"Atrial fibrillation",50353,51,0.00101284928405457
"[45,50)",0,"Atrial fibrillation",54579,260,0.00476373696843108
"[45,50)",1,"Atrial fibrillation",51196,98,0.00191421204781624
"[50,55)",0,"Atrial fibrillation",56368,544,0.00965086573942663
"[50,55)",1,"Atrial fibrillation",53152,163,0.00306667670078266
"[55,60)",0,"Atrial fibrillation",51650,809,0.0156631171345595
"[55,60)",1,"Atrial fibrillation",47543,291,0.00612077487747933
"[60,65)",0,"Atrial fibrillation",46185,1246,0.0269784562087258
"[60,65)",1,"Atrial fibrillation",43308,543,0.0125380991964533
"[65,70)",0,"Atrial fibrillation",42604,1982,0.0465214533846587
"[65,70)",1,"Atrial fibrillation",40959,910,0.02221733929051
"[70,75)",0,"Atrial fibrillation",36058,2629,0.0729103111653447
"[70,75)",1,"Atrial fibrillation",37263,1551,0.0416230577248209
"[75,80)",0,"Atrial fibrillation",28999,3143,0.1083830476913
"[75,80)",1,"Atrial fibrillation",31636,2258,0.0713743836136047
"[80,120]",0,"Atrial fibrillation",42531,6762,0.158989913239755
"[80,120]",1,"Atrial fibrillation",62998,8184,0.129908885996381
"[40,45)",0,"Cerebrovascular disease",55073,202,0.00366785902347793
"[40,45)",1,"Cerebrovascular disease",50353,197,0.00391237860703434
"[45,50)",0,"Cerebrovascular disease",54579,372,0.00681580827790909
"[45,50)",1,"Cerebrovascular disease",51196,291,0.00568403781545433
"[50,55)",0,"Cerebrovascular disease",56368,624,0.011070110701107
"[50,55)",1,"Cerebrovascular disease",53152,518,0.00974563515954244
"[55,60)",0,"Cerebrovascular disease",51650,969,0.0187608906098742
"[55,60)",1,"Cerebrovascular disease",47543,667,0.0140294049597207
"[60,65)",0,"Cerebrovascular disease",46185,1275,0.0276063657031504
"[60,65)",1,"Cerebrovascular disease",43308,842,0.0194421354022352
"[65,70)",0,"Cerebrovascular disease",42604,1713,0.0402074922542484
"[65,70)",1,"Cerebrovascular disease",40959,1187,0.028980199711907
"[70,75)",0,"Cerebrovascular disease",36058,2099,0.05821176992623
"[70,75)",1,"Cerebrovascular disease",37263,1506,0.0404154254890911
"[75,80)",0,"Cerebrovascular disease",28999,2412,0.0831752819062726
"[75,80)",1,"Cerebrovascular disease",31636,2010,0.0635352130484258
"[80,120]",0,"Cerebrovascular disease",42531,5150,0.121088147468905
"[80,120]",1,"Cerebrovascular disease",62998,6731,0.106844661735293
"[40,45)",0,"Chronic kidney disease",55073,2244,0.0407459190528934
"[40,45)",1,"Chronic kidney disease",50353,2831,0.0562230651599706
"[45,50)",0,"Chronic kidney disease",54579,2770,0.0507521207790542
"[45,50)",1,"Chronic kidney disease",51196,3191,0.0623290882100164
"[50,55)",0,"Chronic kidney disease",56368,3402,0.0603533919954584
"[50,55)",1,"Chronic kidney disease",53152,3653,0.0687274232390126
"[55,60)",0,"Chronic kidney disease",51650,3707,0.0717715392061955
"[55,60)",1,"Chronic kidney disease",47543,3808,0.0800959131733378
"[60,65)",0,"Chronic kidney disease",46185,4085,0.0884486305077406
"[60,65)",1,"Chronic kidney disease",43308,4141,0.0956174378867646
"[65,70)",0,"Chronic kidney disease",42604,4892,0.11482489907051
"[65,70)",1,"Chronic kidney disease",40959,4845,0.118289020728045
"[70,75)",0,"Chronic kidney disease",36058,5279,0.146403017360919
"[70,75)",1,"Chronic kidney disease",37263,5609,0.150524649115745
"[75,80)",0,"Chronic kidney disease",28999,5668,0.195455015690196
"[75,80)",1,"Chronic kidney disease",31636,6337,0.200309773675559
"[80,120]",0,"Chronic kidney disease",42531,11408,0.268227880839858
"[80,120]",1,"Chronic kidney disease",62998,17352,0.275437315470332
"[40,45)",0,"Diabetes",55073,2302,0.041799066693298
"[40,45)",1,"Diabetes",50353,1640,0.0325700554088138
"[45,50)",0,"Diabetes",54579,3715,0.0680664724527749
"[45,50)",1,"Diabetes",51196,2494,0.0487147433393234
"[50,55)",0,"Diabetes",56368,5299,0.0940072381493046
"[50,55)",1,"Diabetes",53152,3531,0.066432119205298
"[55,60)",0,"Diabetes",51650,6586,0.127512100677638
"[55,60)",1,"Diabetes",47543,4337,0.0912226826241508
"[60,65)",0,"Diabetes",46185,7245,0.15686911334849
"[60,65)",1,"Diabetes",43308,4757,0.109841137896001
"[65,70)",0,"Diabetes",42604,7690,0.180499483616562
