"age_group","is_female","n","n_prefrail","n_frail","n_robust","prefrail","frail","robust"
"[40,45)",0,55073,180,3,54890,0.00326838922884172,0.0000544731538140287,0.996677137617344
"[40,45)",1,50353,357,10,49986,0.00708994498838202,0.00019859789883423,0.992711457112784
"[45,50)",0,54579,351,5,54223,0.00643104490738196,0.0000916103263159823,0.993477344766302
"[45,50)",1,51196,682,16,50498,0.0133213532307211,0.000312524415969998,0.986366122353309
"[50,55)",0,56368,618,20,55730,0.010963667328981,0.000354811240420096,0.988681521430599
"[50,55)",1,53152,996,38,52118,0.0187387116195063,0.000714930764599639,0.980546357615894
"[55,60)",0,51650,932,36,50682,0.0180445304937076,0.000696999031945789,0.981258470474347
"[55,60)",1,47543,1259,52,46232,0.0264812906211219,0.00109374671350146,0.972424962665377
"[60,65)",0,46185,1352,56,44777,0.0292735736711053,0.00121251488578543,0.969513911443109
"[60,65)",1,43308,1575,90,41643,0.0363674147963425,0.00207813798836243,0.961554447215295
"[65,70)",0,42604,2007,126,40471,0.047108252746221,0.00295746878227396,0.949934278471505
"[65,70)",1,40959,2154,147,38658,0.0525891745403941,0.003588954808467,0.943821870651139
"[70,75)",0,36058,2709,185,33164,0.0751289588995507,0.00513062288535138,0.919740418215098
"[70,75)",1,37263,2963,268,34032,0.0795158736548319,0.00719212087056866,0.913292005474599
"[75,80)",0,28999,3413,353,25233,0.11769371357633,0.0121728335459843,0.870133452877685
"[75,80)",1,31636,4056,430,27150,0.128208370211152,0.0135921102541409,0.858199519534707
"[80,120]",0,42531,7932,1047,33552,0.186499259363758,0.0246173379417366,0.788883402694505
"[80,120]",1,62998,12808,1853,48337,0.203308041525128,0.0294136321787993,0.767278326296073
