"age_group","is_female","category","N","count","percent"
"[40,45)",0,"AFIB",55073,68,0.00123472481978465
"[40,45)",1,"AFIB",50353,25,0.000496494747085576
"[45,50)",0,"AFIB",54579,154,0.00282159805053226
"[45,50)",1,"AFIB",51196,54,0.00105476990389874
"[50,55)",0,"AFIB",56368,302,0.00535764973034346
"[50,55)",1,"AFIB",53152,94,0.00176851294400963
"[55,60)",0,"AFIB",51650,464,0.00898354307841239
"[55,60)",1,"AFIB",47543,154,0.00323917295921587
"[60,65)",0,"AFIB",46185,669,0.0144852224748295
"[60,65)",1,"AFIB",43308,299,0.00690403620578184
"[65,70)",0,"AFIB",42604,1050,0.0246455731856164
"[65,70)",1,"AFIB",40959,523,0.012768866427403
"[70,75)",0,"AFIB",36058,1427,0.0395751289588996
"[70,75)",1,"AFIB",37263,874,0.0234549016450635
"[75,80)",0,"AFIB",28999,1672,0.0576571605917445
"[75,80)",1,"AFIB",31636,1288,0.0407131116449614
"[80,120]",0,"AFIB",42531,3540,0.0832334062213444
"[80,120]",1,"AFIB",62998,4446,0.0705736690053653
"[40,45)",0,"Anemia",55073,140,0.00254208051132134
"[40,45)",1,"Anemia",50353,902,0.0179135304748476
"[45,50)",0,"Anemia",54579,187,0.00342622620421774
"[45,50)",1,"Anemia",51196,1016,0.0198453004140949
"[50,55)",0,"Anemia",56368,228,0.0040448481407891
"[50,55)",1,"Anemia",53152,787,0.0148065924142083
"[55,60)",0,"Anemia",51650,327,0.00633107454017425
"[55,60)",1,"Anemia",47543,472,0.00992785478409019
"[60,65)",0,"Anemia",46185,427,0.00924542600411389
"[60,65)",1,"Anemia",43308,489,0.0112912164034359
"[65,70)",0,"Anemia",42604,577,0.0135433292648578
"[65,70)",1,"Anemia",40959,625,0.015259161600625
"[70,75)",0,"Anemia",36058,843,0.0233790004991957
"[70,75)",1,"Anemia",37263,824,0.0221130880498081
"[75,80)",0,"Anemia",28999,974,0.0335873650815545
"[75,80)",1,"Anemia",31636,986,0.0311670249083323
"[80,120]",0,"Anemia",42531,2329,0.0547600573699184
"[80,120]",1,"Anemia",62998,2849,0.0452236578939014
"[40,45)",0,"Anxiety",55073,768,0.0139451273763913
"[40,45)",1,"Anxiety",50353,1242,0.0246658590352114
"[45,50)",0,"Anxiety",54579,742,0.0135949724252918
"[45,50)",1,"Anxiety",51196,1170,0.0228533479178061
"[50,55)",0,"Anxiety",56368,643,0.0114071813795061
"[50,55)",1,"Anxiety",53152,1073,0.0201873871161951
"[55,60)",0,"Anxiety",51650,536,0.010377541142304
"[55,60)",1,"Anxiety",47543,819,0.017226510737648
"[60,65)",0,"Anxiety",46185,390,0.00844430009743423
"[60,65)",1,"Anxiety",43308,714,0.0164865613743419
"[65,70)",0,"Anxiety",42604,295,0.00692423246643508
"[65,70)",1,"Anxiety",40959,640,0.01562538147904
"[70,75)",0,"Anxiety",36058,257,0.00712740584613678
"[70,75)",1,"Anxiety",37263,530,0.0142232241097067
"[75,80)",0,"Anxiety",28999,225,0.00775888823752543
"[75,80)",1,"Anxiety",31636,473,0.0149513212795549
"[80,120]",0,"Anxiety",42531,296,0.00695962944675648
"[80,120]",1,"Anxiety",62998,964,0.0153020730816851
"[40,45)",0,"Arthritis",55073,860,0.0156156374266882
"[40,45)",1,"Arthritis",50353,545,0.0108235854864656
"[45,50)",0,"Arthritis",54579,1277,0.0233972773411019
"[45,50)",1,"Arthritis",51196,968,0.0189077271661849
"[50,55)",0,"Arthritis",56368,1819,0.0322700823162078
"[50,55)",1,"Arthritis",53152,1779,0.0334700481637568
"[55,60)",0,"Arthritis",51650,2308,0.0446853823814134
"[55,60)",1,"Arthritis",47543,2421,0.0509223229497507
"[60,65)",0,"Arthritis",46185,2721,0.0589152322182527
"[60,65)",1,"Arthritis",43308,2933,0.0677242079985222
"[65,70)",0,"Arthritis",42604,2874,0.0674584546052014
"[65,70)",1,"Arthritis",40959,3302,0.0806172025684221
"[70,75)",0,"Arthritis",36058,2993,0.083005158355982
"[70,75)",1,"Arthritis",37263,3802,0.102031505783217
"[75,80)",0,"Arthritis",28999,2822,0.0973137004724301
"[75,80)",1,"Arthritis",31636,3757,0.118757112150714
"[80,120]",0,"Arthritis",42531,4322,0.101619994827302
"[80,120]",1,"Arthritis",62998,7405,0.117543414076637
"[40,45)",0,"CAD",55073,107,0.00194287581936702
"[40,45)",1,"CAD",50353,26,0.000516354536968999
"[45,50)",0,"CAD",54579,301,0.00551494164422214
"[45,50)",1,"CAD",51196,68,0.00132822876787249
"[50,55)",0,"CAD",56368,523,0.00927831393698552
"[50,55)",1,"CAD",53152,144,0.00270921131848284
"[55,60)",0,"CAD",51650,702,0.0135914811229429
"[55,60)",1,"CAD",47543,222,0.00466945712302547
"[60,65)",0,"CAD",46185,833,0.0180361589260582
"[60,65)",1,"CAD",43308,305,0.00704257873833934
"[65,70)",0,"CAD",42604,1059,0.0248568209557788
"[65,70)",1,"CAD",40959,411,0.010034424668571
"[70,75)",0,"CAD",36058,989,0.0274280326141217
"[70,75)",1,"CAD",37263,534,0.0143305691973271
"[75,80)",0,"CAD",28999,1042,0.0359322735266733
"[75,80)",1,"CAD",31636,631,0.0199456315589834
"[80,120]",0,"CAD",42531,2010,0.0472596459053396
"[80,120]",1,"CAD",62998,1924,0.0305406520841932
"[40,45)",0,"CVA",55073,55,0.000998674486590525
"[40,45)",1,"CVA",50353,48,0.000953269914404306
"[45,50)",0,"CVA",54579,109,0.00199710511368841
