"age_group","is_female","category","N","count","percent"
"[40,45)",0,"AFIB",169306,277,0.0016360908650609
"[40,45)",1,"AFIB",183841,75,0.000407961227364951
"[45,50)",0,"AFIB",187752,578,0.00307852912352465
"[45,50)",1,"AFIB",202984,157,0.000773459977141055
"[50,55)",0,"AFIB",191734,1009,0.00526249908727717
"[50,55)",1,"AFIB",203977,365,0.00178941743431858
"[55,60)",0,"AFIB",176579,1541,0.00872697206349566
"[55,60)",1,"AFIB",182586,654,0.00358187374716572
"[60,65)",0,"AFIB",166370,2333,0.0140229608703492
"[60,65)",1,"AFIB",170565,1045,0.00612669656729106
"[65,70)",0,"AFIB",162410,3488,0.0214765100671141
"[65,70)",1,"AFIB",166487,1961,0.0117786974358358
"[70,75)",0,"AFIB",131495,4153,0.0315829499220503
"[70,75)",1,"AFIB",140385,2797,0.0199237810307369
"[75,80)",0,"AFIB",104234,4746,0.0455321680066005
"[75,80)",1,"AFIB",119257,3962,0.0332223684982852
"[80,120]",0,"AFIB",147957,9015,0.060929864758004
"[80,120]",1,"AFIB",228084,11549,0.0506348538257835
"[40,45)",0,"Anemia",169306,460,0.00271697399974012
"[40,45)",1,"Anemia",183841,3808,0.0207135513840765
"[45,50)",0,"Anemia",187752,701,0.00373364864289062
"[45,50)",1,"Anemia",202984,4732,0.0233121822409648
"[50,55)",0,"Anemia",191734,1016,0.00529900800066759
"[50,55)",1,"Anemia",203977,4170,0.0204434813728999
"[55,60)",0,"Anemia",176579,1401,0.00793412580204894
"[55,60)",1,"Anemia",182586,2311,0.0126570492808868
"[60,65)",0,"Anemia",166370,1960,0.0117809701268257
"[60,65)",1,"Anemia",170565,2228,0.0130624688535163
"[65,70)",0,"Anemia",162410,2727,0.016790838002586
"[65,70)",1,"Anemia",166487,2851,0.0171244601680612
"[70,75)",0,"Anemia",131495,3332,0.0253393665158371
"[70,75)",1,"Anemia",140385,3552,0.0253018484880863
"[75,80)",0,"Anemia",104234,4021,0.0385766640443617
"[75,80)",1,"Anemia",119257,4559,0.0382283639534786
"[80,120]",0,"Anemia",147957,8736,0.05904418175551
"[80,120]",1,"Anemia",228084,12444,0.0545588467406745
"[40,45)",0,"Anxiety",169306,2955,0.0174536047157218
"[40,45)",1,"Anxiety",183841,5296,0.0288075021349971
"[45,50)",0,"Anxiety",187752,2931,0.0156110187907452
"[45,50)",1,"Anxiety",202984,5450,0.026849406849801
"[50,55)",0,"Anxiety",191734,2641,0.0137742914663023
"[50,55)",1,"Anxiety",203977,4818,0.0236203101330052
"[55,60)",0,"Anxiety",176579,2171,0.0122947802400059
"[55,60)",1,"Anxiety",182586,3943,0.021595303035282
"[60,65)",0,"Anxiety",166370,1708,0.0102662739676624
"[60,65)",1,"Anxiety",170565,3414,0.020015829742327
"[65,70)",0,"Anxiety",162410,1489,0.00916815467027892
"[65,70)",1,"Anxiety",166487,3093,0.0185780271132281
"[70,75)",0,"Anxiety",131495,1074,0.00816761093577703
"[70,75)",1,"Anxiety",140385,2566,0.0182783060868326
"[75,80)",0,"Anxiety",104234,897,0.00860563731603891
"[75,80)",1,"Anxiety",119257,2173,0.0182211526367425
"[80,120]",0,"Anxiety",147957,1115,0.00753597328953682
"[80,120]",1,"Anxiety",228084,3763,0.0164983076410445
"[40,45)",0,"Arthritis",169306,4488,0.0265082158931166
"[40,45)",1,"Arthritis",183841,2785,0.0151489602428185
"[45,50)",0,"Arthritis",187752,6976,0.0371553964804636
"[45,50)",1,"Arthritis",202984,5079,0.0250216765853466
"[50,55)",0,"Arthritis",191734,9768,0.050945580856812
"[50,55)",1,"Arthritis",203977,8855,0.0434117572079205
"[55,60)",0,"Arthritis",176579,12109,0.0685755384275593
"[55,60)",1,"Arthritis",182586,12304,0.0673874229130382
"[60,65)",0,"Arthritis",166370,14428,0.0867223658111438
"[60,65)",1,"Arthritis",170565,15203,0.0891331750359101
"[65,70)",0,"Arthritis",162410,16357,0.100714241733883
"[65,70)",1,"Arthritis",166487,17693,0.106272561821644
"[70,75)",0,"Arthritis",131495,15340,0.116658428077113
"[70,75)",1,"Arthritis",140385,17649,0.125718559675179
"[75,80)",0,"Arthritis",104234,14174,0.135982500911411
"[75,80)",1,"Arthritis",119257,17382,0.145752450589902
"[80,120]",0,"Arthritis",147957,19972,0.134985164608636
"[80,120]",1,"Arthritis",228084,30736,0.134757370091721
"[40,45)",0,"CAD",169306,500,0.00295323260841317
"[40,45)",1,"CAD",183841,166,0.000902954183234425
"[45,50)",0,"CAD",187752,1207,0.00642869316971324
"[45,50)",1,"CAD",202984,382,0.00188192172782091
"[50,55)",0,"CAD",191734,2276,0.0118706124109443
"[50,55)",1,"CAD",203977,729,0.00357393235511847
"[55,60)",0,"CAD",176579,3065,0.0173576699381014
"[55,60)",1,"CAD",182586,1007,0.00551520927124752
"[60,65)",0,"CAD",166370,3747,0.0225220893189878
"[60,65)",1,"CAD",170565,1383,0.00810834579192683
"[65,70)",0,"CAD",162410,4000,0.0246290253063235
"[65,70)",1,"CAD",166487,1812,0.0108837326638116
"[70,75)",0,"CAD",131495,3770,0.0286702916460702
"[70,75)",1,"CAD",140385,2074,0.0147736581543612
"[75,80)",0,"CAD",104234,3504,0.0336166701843928
"[75,80)",1,"CAD",119257,2354,0.0197388832521361
"[80,120]",0,"CAD",147957,5721,0.0386666396317849
"[80,120]",1,"CAD",228084,5799,0.0254248434787184
"[40,45)",0,"CVA",169306,278,0.00164199733027772
"[40,45)",1,"CVA",183841,212,0.00115317040268493
"[45,50)",0,"CVA",187752,469,0.00249797605351741
"[45,50)",1,"CVA",202984,422,0.00207898159460844
"[50,55)",0,"CVA",191734,826,0.00430805178007031
"[50,55)",1,"CVA",203977,642,0.00314741367899322
"[55,60)",0,"CVA",176579,1142,0.00646736021837251
"[55,60)",1,"CVA",182586,868,0.00475392417819548
"[60,65)",0,"CVA",166370,1558,0.00936466911101761
"[60,65)",1,"CVA",170565,1101,0.00645501714888752
"[65,70)",0,"CVA",162410,1877,0.0115571701249923
"[65,70)",1,"CVA",166487,1479,0.00888357649546211
"[70,75)",0,"CVA",131495,2284,0.0173694817293433
"[70,75)",1,"CVA",140385,1799,0.0128147594116181
"[75,80)",0,"CVA",104234,2467,0.0236679010687492
"[75,80)",1,"CVA",119257,2361,0.0197975800162674
"[80,120]",0,"CVA",147957,5005,0.0338273957974276
"[80,120]",1,"CVA",228084,7114,0.0311902632363515
"[40,45)",0,"Cancer",169306,569,0.00336077870837419
"[40,45)",1,"Cancer",183841,762,0.0041448860700279
"[45,50)",0,"Cancer",187752,959,0.0051078017810729
"[45,50)",1,"Cancer",202984,1336,0.0065817995507035
"[50,55)",0,"Cancer",191734,1583,0.00825622998529212
"[50,55)",1,"Cancer",203977,1961,0.0096138290101335
"[55,60)",0,"Cancer",176579,2402,0.013602976571393
"[55,60)",1,"Cancer",182586,2287,0.0125256043727339
"[60,65)",0,"Cancer",166370,3334,0.0200396706136924
"[60,65)",1,"Cancer",170565,2888,0.0169319614223317
"[65,70)",0,"Cancer",162410,4865,0.029955052028816
"[65,70)",1,"Cancer",166487,3931,0.0236114531464919
"[70,75)",0,"Cancer",131495,5696,0.0433172363968212
"[70,75)",1,"Cancer",140385,4187,0.0298251237667842
"[75,80)",0,"Cancer",104234,6185,0.0593376441468235
"[75,80)",1,"Cancer",119257,4336,0.0363584527532975
"[80,120]",0,"Cancer",147957,11842,0.0800367674391884
"[80,120]",1,"Cancer",228084,9918,0.0434839795864681
"[40,45)",0,"Chronpain",169306,12967,0.0765891344665871
"[40,45)",1,"Chronpain",183841,17286,0.094026903683074
"[45,50)",0,"Chronpain",187752,14050,0.0748327581064383
"[45,50)",1,"Chronpain",202984,19216,0.0946675600047294
"[50,55)",0,"Chronpain",191734,14081,0.0734402870643704
"[50,55)",1,"Chronpain",203977,19696,0.0965599062639415
"[55,60)",0,"Chronpain",176579,12646,0.0716166701589657
"[55,60)",1,"Chronpain",182586,17307,0.0947882093917387
"[60,65)",0,"Chronpain",166370,11752,0.0706377351686001
"[60,65)",1,"Chronpain",170565,15225,0.0892621581215372
"[65,70)",0,"Chronpain",162410,10853,0.0668247029123822
"[65,70)",1,"Chronpain",166487,14254,0.0856162943653258
"[70,75)",0,"Chronpain",131495,9091,0.0691357085820754
"[70,75)",1,"Chronpain",140385,12742,0.0907646828364854
"[75,80)",0,"Chronpain",104234,7828,0.0751002551950419
"[75,80)",1,"Chronpain",119257,11788,0.0988453507970182
"[80,120]",0,"Chronpain",147957,11362,0.0767925816284461
"[80,120]",1,"Chronpain",228084,21598,0.0946931832132022
"[40,45)",0,"Dementia",169306,1540,0.00909595643391256
"[40,45)",1,"Dementia",183841,1087,0.00591271805527603
"[45,50)",0,"Dementia",187752,1937,0.0103168008862755
"[45,50)",1,"Dementia",202984,1484,0.00731092105781737
"[50,55)",0,"Dementia",191734,2159,0.0112603920014186
"[50,55)",1,"Dementia",203977,1742,0.00854017854954235
"[55,60)",0,"Dementia",176579,2184,0.0123684016785688
"[55,60)",1,"Dementia",182586,1823,0.00998433614844512
"[60,65)",0,"Dementia",166370,2252,0.013536094247761
"[60,65)",1,"Dementia",170565,1865,0.0109342479406678
"[65,70)",0,"Dementia",162410,2649,0.0163105720091127
"[65,70)",1,"Dementia",166487,2300,0.0138148924540655
"[70,75)",0,"Dementia",131495,3198,0.0243203163618389
"[70,75)",1,"Dementia",140385,3353,0.0238843181251558
"[75,80)",0,"Dementia",104234,4756,0.0456281059922866
"[75,80)",1,"Dementia",119257,5514,0.0462362796313843
"[80,120]",0,"Dementia",147957,12275,0.0829632933892955
"[80,120]",1,"Dementia",228084,21569,0.0945660370740604
"[40,45)",0,"Depress",169306,5934,0.0350489645966475
"[40,45)",1,"Depress",183841,10323,0.0561517833345119
"[45,50)",0,"Depress",187752,6139,0.0326973880438025
"[45,50)",1,"Depress",202984,10302,0.0507527686911284
"[50,55)",0,"Depress",191734,5742,0.0299477400982611
"[50,55)",1,"Depress",203977,9319,0.0456865234805885
"[55,60)",0,"Depress",176579,4767,0.0269964152022607
"[55,60)",1,"Depress",182586,7417,0.04062195349041
"[60,65)",0,"Depress",166370,3563,0.0214161206948368
"[60,65)",1,"Depress",170565,5408,0.0317063875941723
"[65,70)",0,"Depress",162410,2547,0.0156825318638015
"[65,70)",1,"Depress",166487,4021,0.0241520358946945
"[70,75)",0,"Depress",131495,1712,0.013019506445112
"[70,75)",1,"Depress",140385,3051,0.021733091142216
"[75,80)",0,"Depress",104234,1476,0.0141604466872614
"[75,80)",1,"Depress",119257,2663,0.0223299261259297
"[80,120]",0,"Depress",147957,2187,0.0147813216001947
"[80,120]",1,"Depress",228084,4430,0.0194226688413041
"[40,45)",0,"Diabetes",169306,2761,0.0163077504636575
"[40,45)",1,"Diabetes",183841,1899,0.0103295782768806
"[45,50)",0,"Diabetes",187752,4689,0.0249744343602199
"[45,50)",1,"Diabetes",202984,3026,0.0149075789224766
"[50,55)",0,"Diabetes",191734,6830,0.0356222683509445
"[50,55)",1,"Diabetes",203977,4349,0.0213210312927438
"[55,60)",0,"Diabetes",176579,7840,0.0443993906410162
"[55,60)",1,"Diabetes",182586,5103,0.0279484735960041
"[60,65)",0,"Diabetes",166370,8742,0.0525455310452606
"[60,65)",1,"Diabetes",170565,5613,0.0329082754375165
"[65,70)",0,"Diabetes",162410,9261,0.0570223508404655
"[65,70)",1,"Diabetes",166487,6088,0.0365674196784133
"[70,75)",0,"Diabetes",131495,7802,0.0593330544887638
"[70,75)",1,"Diabetes",140385,6139,0.043729743206183
"[75,80)",0,"Diabetes",104234,6436,0.0617456875875434
"[75,80)",1,"Diabetes",119257,5669,0.0475359936942905
"[80,120]",0,"Diabetes",147957,7750,0.0523800834026102
"[80,120]",1,"Diabetes",228084,8863,0.0388584907314849
"[40,45)",0,"DuraMed",169306,0,0
"[40,45)",1,"DuraMed",183841,0,0
"[45,50)",0,"DuraMed",187752,0,0
"[45,50)",1,"DuraMed",202984,0,0
"[50,55)",0,"DuraMed",191734,0,0
"[50,55)",1,"DuraMed",203977,0,0
"[55,60)",0,"DuraMed",176579,0,0
"[55,60)",1,"DuraMed",182586,0,0
"[60,65)",0,"DuraMed",166370,0,0
