"age_group","is_female","N","n_prefrail","n_frail","n_robust","prefrail","frail","robust"
"[40,45)",0,5892,25,0,5867,0.00424304141208418,0,0.995756958587916
"[40,45)",1,7047,51,0,6996,0.00723712217965092,0,0.992762877820349
"[45,50)",0,11224,89,3,11132,0.00792943692088382,0.000267284390591589,0.991803278688525
"[45,50)",1,14464,153,1,14310,0.0105779867256637,0.0000691371681415929,0.989352876106195
"[50,55)",0,12609,190,5,12414,0.0150686017923705,0.000396542152430803,0.984534856055199
"[50,55)",1,17401,291,5,17105,0.0167231768289179,0.000287339808057008,0.982989483363025
"[55,60)",0,15274,372,9,14893,0.0243551132643708,0.000589236611234778,0.975055650124394
"[55,60)",1,20274,492,6,19776,0.0242675347736017,0.000295945546019532,0.975436519680379
"[60,65)",0,21605,818,25,20762,0.0378616061096968,0.00115713955102985,0.960981254339273
"[60,65)",1,27154,878,23,26253,0.0323340944243942,0.000847020696766591,0.966818884878839
"[65,70)",0,20753,1233,59,19461,0.0594130969016528,0.00284296246325832,0.937743940635089
"[65,70)",1,22406,1102,48,21256,0.0491832544854057,0.00214228331696867,0.948674462197626
"[70,75)",0,5461,381,21,5059,0.0697674418604651,0.00384544955136422,0.926387108588171
"[70,75)",1,5638,357,10,5271,0.0633203263568641,0.00177367860943597,0.9349059950337
