"age_group","is_female","category","N","count","percent"
"[40,45)",0,"Activity limitation",55073,0,0
"[40,45)",1,"Activity limitation",50353,0,0
"[45,50)",0,"Activity limitation",54579,28,0.000513017827369501
"[45,50)",1,"Activity limitation",51196,26,0.000507852175951246
"[50,55)",0,"Activity limitation",56368,34,0.000603179108714164
"[50,55)",1,"Activity limitation",53152,34,0.000639674894641782
"[55,60)",0,"Activity limitation",51650,68,0.00131655372700871
"[55,60)",1,"Activity limitation",47543,46,0.000967545169635909
"[60,65)",0,"Activity limitation",46185,86,0.00186207643174191
"[60,65)",1,"Activity limitation",43308,64,0.00147778701394661
"[65,70)",0,"Activity limitation",42604,118,0.00276969298657403
"[65,70)",1,"Activity limitation",40959,83,0.002026416660563
"[70,75)",0,"Activity limitation",36058,133,0.00368850185811748
"[70,75)",1,"Activity limitation",37263,98,0.00262995464670048
"[75,80)",0,"Activity limitation",28999,135,0.00465533294251526
"[75,80)",1,"Activity limitation",31636,104,0.00328739410797825
"[80,120]",0,"Activity limitation",42531,238,0.00559591827137852
"[80,120]",1,"Activity limitation",62998,245,0.0038890123495984
"[40,45)",0,"Anaemia and haematinic deficiency",55073,885,0.0160695803751385
"[40,45)",1,"Anaemia and haematinic deficiency",50353,3282,0.0651798303973944
"[45,50)",0,"Anaemia and haematinic deficiency",54579,1199,0.0219681562505726
"[45,50)",1,"Anaemia and haematinic deficiency",51196,3503,0.0684233143214314
"[50,55)",0,"Anaemia and haematinic deficiency",56368,1703,0.0302121771217712
"[50,55)",1,"Anaemia and haematinic deficiency",53152,2938,0.0552754364840458
"[55,60)",0,"Anaemia and haematinic deficiency",51650,2280,0.0441432720232333
"[55,60)",1,"Anaemia and haematinic deficiency",47543,2208,0.0464421681425236
"[60,65)",0,"Anaemia and haematinic deficiency",46185,2996,0.0648695463895204
"[60,65)",1,"Anaemia and haematinic deficiency",43308,2328,0.0537545026323081
"[65,70)",0,"Anaemia and haematinic deficiency",42604,4015,0.0942399774669045
"[65,70)",1,"Anaemia and haematinic deficiency",40959,2806,0.0685075319221661
"[70,75)",0,"Anaemia and haematinic deficiency",36058,5088,0.141105995895502
"[70,75)",1,"Anaemia and haematinic deficiency",37263,3558,0.0954834554383705
"[75,80)",0,"Anaemia and haematinic deficiency",28999,6257,0.215766060898652
"[75,80)",1,"Anaemia and haematinic deficiency",31636,4215,0.133234290049311
"[80,120]",0,"Anaemia and haematinic deficiency",42531,14763,0.34711151865698
"[80,120]",1,"Anaemia and haematinic deficiency",62998,13347,0.211863868694244
"[40,45)",0,"Arthritis",55073,914,0.0165961541953407
"[40,45)",1,"Arthritis",50353,561,0.0111413421246003
"[45,50)",0,"Arthritis",54579,1350,0.0247347881053152
"[45,50)",1,"Arthritis",51196,1048,0.0204703492460348
"[50,55)",0,"Arthritis",56368,1895,0.0336183650298041
"[50,55)",1,"Arthritis",53152,1871,0.0352009331727875
"[55,60)",0,"Arthritis",51650,2457,0.0475701839303001
"[55,60)",1,"Arthritis",47543,2549,0.0536146225522159
"[60,65)",0,"Arthritis",46185,2860,0.0619248673811844
"[60,65)",1,"Arthritis",43308,3088,0.0713032234229242
"[65,70)",0,"Arthritis",42604,3008,0.0706036991831753
"[65,70)",1,"Arthritis",40959,3451,0.0842549866940111
"[70,75)",0,"Arthritis",36058,3092,0.085750734927062
"[70,75)",1,"Arthritis",37263,3826,0.102675576308939
"[75,80)",0,"Arthritis",28999,2837,0.0978309596882651
"[75,80)",1,"Arthritis",31636,3759,0.118820331268175
"[80,120]",0,"Arthritis",42531,4377,0.102913169217747
"[80,120]",1,"Arthritis",62998,7463,0.118464078224706
"[40,45)",0,"Atrial fibrillation",55073,99,0.00179761407586295
"[40,45)",1,"Atrial fibrillation",50353,51,0.00101284928405457
"[45,50)",0,"Atrial fibrillation",54579,203,0.00371937924842888
"[45,50)",1,"Atrial fibrillation",51196,86,0.00167981873583874
"[50,55)",0,"Atrial fibrillation",56368,445,0.00789455009934715
"[50,55)",1,"Atrial fibrillation",53152,140,0.00263395544852498
"[55,60)",0,"Atrial fibrillation",51650,681,0.0131848983543078
