"age_group","is_female","n","n_prefrail","n_frail","n_robust","prefrail","frail","robust"
"[40,45)",0,169306,180,1,169125,0.00106316373902874,0.00000590646521682634,0.998930929795754
"[40,45)",1,183841,334,2,183505,0.00181678733253192,0.0000108789660630654,0.998172333701405
"[45,50)",0,187752,375,4,187373,0.00199731560782309,0.0000213046998167796,0.99798137969236
"[45,50)",1,202984,615,2,202367,0.00302979545185827,0.0000098529933393765,0.996960351554802
"[50,55)",0,191734,756,6,190972,0.00394296264616604,0.0000312933543346511,0.996025743999499
"[50,55)",1,203977,1076,12,202889,0.00527510454610079,0.0000588301622241723,0.994666065291675
"[55,60)",0,176579,1369,18,175192,0.00775290379943255,0.000101937376471721,0.992145158824096
"[55,60)",1,182586,1672,17,180897,0.00915732860131664,0.0000931068099416166,0.990749564588742
"[60,65)",0,166370,2419,36,163915,0.0145398809881589,0.000216385165594759,0.985243733846246
"[60,65)",1,170565,2410,39,168116,0.0141295107437047,0.00022865183361182,0.985641837422683
"[65,70)",0,162410,4172,76,158162,0.0256880733944954,0.000467951480820147,0.973843975124684
"[65,70)",1,166487,3926,66,162495,0.0235814207715918,0.000396427348681879,0.976022151879726
"[70,75)",0,131495,5798,170,125527,0.0440929312901631,0.00129282482223659,0.9546142438876
"[70,75)",1,140385,5700,134,134551,0.0406026284859494,0.000954517932827581,0.958442853581223
"[75,80)",0,104234,7997,295,95942,0.0767216071531362,0.00283017057773855,0.920448222269125
"[75,80)",1,119257,8538,247,110472,0.0715932817360826,0.00207115724863111,0.926335561015286
"[80,120]",0,147957,19040,826,128091,0.128686037159445,0.00558270308265239,0.865731259757903
"[80,120]",1,228084,28734,1146,198204,0.125979902141316,0.00502446467091072,0.868995633187773
