"age_group","is_female","n","n_prefrail","n_frail","n_robust","prefrail","frail","robust"
"[40,45)",0,5892,74,2,5816,0.0125594025797692,0.000339443312966735,0.987101154107264
"[40,45)",1,7047,143,4,6900,0.0202923229743153,0.000567617425854974,0.97914005959983
"[45,50)",0,11224,238,10,10976,0.0212045616535994,0.000890947968638632,0.977904490377762
"[45,50)",1,14464,389,14,14061,0.0268943584070796,0.000967920353982301,0.972137721238938
"[50,55)",0,12609,460,25,12124,0.0364818780236339,0.00198271076215402,0.961535411214212
"[50,55)",1,17401,757,34,16610,0.043503246939831,0.00195391069478766,0.954542842365381
"[55,60)",0,15274,827,69,14378,0.0541442974990179,0.0045174806861333,0.941338221814849
"[55,60)",1,20274,1207,63,19004,0.0595343790075959,0.00310742823320509,0.937358192759199
"[60,65)",0,21605,1956,152,19497,0.0905345984725758,0.00703540847026151,0.902429993057163
"[60,65)",1,27154,2177,146,24831,0.0801723502982986,0.00537674007512705,0.914450909626574
"[65,70)",0,20753,2839,271,17643,0.136799498867634,0.0130583530092035,0.850142148123163
"[65,70)",1,22406,2643,227,19536,0.117959475140587,0.0101312148531643,0.871909310006248
"[70,75)",0,5461,942,82,4437,0.172495879875481,0.0150155649148508,0.812488555209669
"[70,75)",1,5638,876,73,4689,0.155374246186591,0.0129478538488826,0.831677899964526
