"age_group","is_female","N","n_prefrail","n_frail","n_robust","prefrail","frail","robust"
"[40,45)",1,9944,581,78,9285,0.0584271922767498,0.00784392598551891,0.933728881737731
"[40,45)",0,4682,215,43,4424,0.0459205467748825,0.00918410935497651,0.944895343870141
"[45,50)",1,10419,847,140,9432,0.0812937901909972,0.0134369901142144,0.905269219694788
"[45,50)",0,5494,439,95,4960,0.0799053512923189,0.017291590826356,0.902803057881325
"[50,55)",1,12562,1263,244,11055,0.100541315077217,0.0194236586530807,0.880035026269702
"[50,55)",0,7051,652,172,6227,0.092469153311587,0.0243937030208481,0.883137143667565
"[55,60)",1,14769,1768,369,12632,0.119710203805268,0.0249847653869592,0.855305030807773
"[55,60)",0,8940,1000,242,7698,0.111856823266219,0.0270693512304251,0.861073825503356
"[60,65)",1,14518,2044,437,12037,0.140790742526519,0.0301005648160904,0.829108692657391
"[60,65)",0,9404,1280,346,7778,0.136112292641429,0.0367928541046363,0.827094853253935
"[65,70)",1,13734,2254,504,10976,0.164118246687054,0.036697247706422,0.799184505606524
"[65,70)",0,9049,1522,348,7179,0.16819538070505,0.0384572880981324,0.793347331196817
"[70,75)",1,10854,2187,517,8150,0.201492537313433,0.0476322093237516,0.750875253362816
"[70,75)",0,8185,1584,386,6215,0.193524740378742,0.0471594379963348,0.759315821624924
"[75,80)",1,6307,1403,356,4548,0.222451244648803,0.0564452195972729,0.721103535753924
"[75,80)",0,5228,1194,297,3737,0.228385615914308,0.0568094873756695,0.714804896710023
"[80,120]",0,4030,1052,338,2640,0.261042183622829,0.0838709677419355,0.655086848635236
"[80,120]",1,4551,1214,421,2916,0.266754559437486,0.0925071412876291,0.640738299274885
