"age_group","is_female","category","N","count","percent"
"[40,45)",0,"Activity limitation",4682,0,0
"[40,45)",1,"Activity limitation",9944,0,0
"[45,50)",0,"Activity limitation",5494,0,0
"[45,50)",1,"Activity limitation",10419,0,0
"[50,55)",0,"Activity limitation",7051,0,0
"[50,55)",1,"Activity limitation",12562,0,0
"[55,60)",0,"Activity limitation",8940,0,0
"[55,60)",1,"Activity limitation",14769,0,0
"[60,65)",0,"Activity limitation",9404,0,0
"[60,65)",1,"Activity limitation",14518,0,0
"[65,70)",0,"Activity limitation",9049,0,0
"[65,70)",1,"Activity limitation",13734,0,0
"[70,75)",0,"Activity limitation",8185,0,0
"[70,75)",1,"Activity limitation",10854,0,0
"[75,80)",0,"Activity limitation",5228,0,0
"[75,80)",1,"Activity limitation",6307,0,0
"[80,120]",0,"Activity limitation",4030,0,0
"[80,120]",1,"Activity limitation",4551,0,0
"[40,45)",0,"Anaemia and haematinic deficiency",4682,259,0.0553182400683469
"[40,45)",1,"Anaemia and haematinic deficiency",9944,1042,0.10478680611424
"[45,50)",0,"Anaemia and haematinic deficiency",5494,402,0.0731707317073171
"[45,50)",1,"Anaemia and haematinic deficiency",10419,1159,0.111239082445532
"[50,55)",0,"Anaemia and haematinic deficiency",7051,537,0.0761594100127641
"[50,55)",1,"Anaemia and haematinic deficiency",12562,1240,0.0987103964336889
"[55,60)",0,"Anaemia and haematinic deficiency",8940,724,0.0809843400447427
"[55,60)",1,"Anaemia and haematinic deficiency",14769,1313,0.0889024307671474
"[60,65)",0,"Anaemia and haematinic deficiency",9404,852,0.0905997447894513
"[60,65)",1,"Anaemia and haematinic deficiency",14518,1303,0.0897506543601047
"[65,70)",0,"Anaemia and haematinic deficiency",9049,895,0.0989059564592773
"[65,70)",1,"Anaemia and haematinic deficiency",13734,1368,0.0996068152031455
"[70,75)",0,"Anaemia and haematinic deficiency",8185,892,0.108979841172877
"[70,75)",1,"Anaemia and haematinic deficiency",10854,1190,0.109637000184264
"[75,80)",0,"Anaemia and haematinic deficiency",5228,675,0.12911247130834
"[75,80)",1,"Anaemia and haematinic deficiency",6307,738,0.117012842872998
"[80,120]",0,"Anaemia and haematinic deficiency",4030,665,0.165012406947891
"[80,120]",1,"Anaemia and haematinic deficiency",4551,665,0.146121731487585
"[40,45)",0,"Arthritis",4682,215,0.0459205467748825
"[40,45)",1,"Arthritis",9944,673,0.0676790024135157
"[45,50)",0,"Arthritis",5494,383,0.0697124135420459
"[45,50)",1,"Arthritis",10419,1062,0.101929167866398
"[50,55)",0,"Arthritis",7051,643,0.0911927386186357
"[50,55)",1,"Arthritis",12562,1635,0.130154434007324
"[55,60)",0,"Arthritis",8940,1033,0.115548098434004
"[55,60)",1,"Arthritis",14769,2455,0.166226555623265
"[60,65)",0,"Arthritis",9404,1296,0.137813696299447
"[60,65)",1,"Arthritis",14518,2811,0.193621710979474
"[65,70)",0,"Arthritis",9049,1471,0.1625593988286
"[65,70)",1,"Arthritis",13734,3071,0.223605650211155
"[70,75)",0,"Arthritis",8185,1582,0.193280390959071
"[70,75)",1,"Arthritis",10854,2725,0.251059517228671
"[75,80)",0,"Arthritis",5228,1042,0.199311400153022
"[75,80)",1,"Arthritis",6307,1705,0.270334548913905
"[80,120]",0,"Arthritis",4030,871,0.216129032258065
"[80,120]",1,"Arthritis",4551,1326,0.291364535266974
"[40,45)",0,"Atrial fibrillation",4682,68,0.0145237078171721
"[40,45)",1,"Atrial fibrillation",9944,66,0.00663716814159292
"[45,50)",0,"Atrial fibrillation",5494,122,0.0222060429559519
"[45,50)",1,"Atrial fibrillation",10419,109,0.0104616565889241
"[50,55)",0,"Atrial fibrillation",7051,213,0.0302084810665154
"[50,55)",1,"Atrial fibrillation",12562,169,0.0134532717720108
"[55,60)",0,"Atrial fibrillation",8940,369,0.0412751677852349
"[55,60)",1,"Atrial fibrillation",14769,275,0.0186200826054574
"[60,65)",0,"Atrial fibrillation",9404,540,0.0574223734581029
"[60,65)",1,"Atrial fibrillation",14518,415,0.0285852045736327
"[65,70)",0,"Atrial fibrillation",9049,761,0.0840976903525251
"[65,70)",1,"Atrial fibrillation",13734,592,0.0431047036551624
"[70,75)",0,"Atrial fibrillation",8185,932,0.11386682956628
"[70,75)",1,"Atrial fibrillation",10854,716,0.0659664639764142
"[75,80)",0,"Atrial fibrillation",5228,793,0.15168324407039
"[75,80)",1,"Atrial fibrillation",6307,611,0.0968764864436341
