"age_group","is_female","N","n_prefrail","n_frail","n_robust","prefrail","frail","robust"
"[70,75)",1,10854,2598,1792,6464,0.239358761746821,0.165100423806891,0.595540814446287
"[65,70)",0,9049,1902,1163,5984,0.210188971157034,0.128522488672782,0.661288540170185
"[55,60)",1,14769,2587,1547,10635,0.175164195273884,0.104746428329609,0.720089376396506
"[75,80)",0,5228,1325,913,2990,0.253442999234889,0.174636572302984,0.571920428462127
"[60,65)",0,9404,1703,1086,6615,0.181093151850276,0.115482773287963,0.703424074861761
"[65,70)",1,13734,2911,1901,8922,0.211955730304354,0.138415610892675,0.649628658802971
"[50,55)",1,12562,2061,1145,9356,0.164066231491801,0.0911479063843337,0.744785862123866
"[40,45)",1,9944,1224,474,8246,0.123089300080451,0.0476669348350764,0.829243765084473
"[70,75)",0,8185,1960,1162,5063,0.239462431276726,0.141967012828345,0.61857055589493
"[50,55)",0,7051,981,584,5486,0.139129201531698,0.0828251311870657,0.778045667281237
"[60,65)",1,14518,2841,1751,9926,0.195688111310098,0.120608899297424,0.683702989392478
"[40,45)",0,4682,446,202,4034,0.0952584365655703,0.0431439555745408,0.861597607859889
"[55,60)",0,8940,1408,865,6667,0.157494407158837,0.0967561521252796,0.745749440715884
"[75,80)",1,6307,1615,1193,3499,0.256064690026954,0.189154907245917,0.554780402727129
"[45,50)",1,10419,1462,791,8166,0.140320568192725,0.0759189941453114,0.783760437661964
"[80,120]",0,4030,1090,932,2008,0.270471464019851,0.231265508684864,0.498263027295285
"[45,50)",0,5494,699,371,4424,0.127229705132872,0.0675282125955588,0.805242082271569
"[80,120]",1,4551,1169,1162,2220,0.256866622720281,0.255328499230938,0.48780487804878
