"age_group","is_female","category","N","count","percent"
"[40,45)",0,"AFIB",4682,66,0.0140965399401965
"[40,45)",1,"AFIB",9944,64,0.00643604183427192
"[45,50)",0,"AFIB",5494,125,0.0227520931925737
"[45,50)",1,"AFIB",10419,104,0.00998176408484499
"[50,55)",0,"AFIB",7051,208,0.0294993617926535
"[50,55)",1,"AFIB",12562,164,0.0130552459799395
"[55,60)",0,"AFIB",8940,362,0.0404921700223714
"[55,60)",1,"AFIB",14769,271,0.0183492450402871
"[60,65)",0,"AFIB",9404,522,0.0555082943428328
"[60,65)",1,"AFIB",14518,414,0.0285163245626119
"[65,70)",0,"AFIB",9049,748,0.0826610675212731
"[65,70)",1,"AFIB",13734,602,0.0438328236493374
"[70,75)",0,"AFIB",8185,913,0.111545510079414
"[70,75)",1,"AFIB",10854,706,0.0650451446471347
"[75,80)",0,"AFIB",5228,796,0.152257077276205
"[75,80)",1,"AFIB",6307,611,0.0968764864436341
"[80,120]",0,"AFIB",4030,841,0.208684863523573
"[80,120]",1,"AFIB",4551,691,0.151834761590859
"[40,45)",0,"Anemia",4682,296,0.0632208457923964
"[40,45)",1,"Anemia",9944,1108,0.111423974255833
"[45,50)",0,"Anemia",5494,468,0.085183836912996
"[45,50)",1,"Anemia",10419,1234,0.118437470006718
"[50,55)",0,"Anemia",7051,607,0.0860870798468302
"[50,55)",1,"Anemia",12562,1341,0.10675051743353
"[55,60)",0,"Anemia",8940,810,0.0906040268456376
"[55,60)",1,"Anemia",14769,1407,0.0952671135486492
"[60,65)",0,"Anemia",9404,956,0.101658868566567
"[60,65)",1,"Anemia",14518,1421,0.0978784956605593
"[65,70)",0,"Anemia",9049,1012,0.111835561940546
"[65,70)",1,"Anemia",13734,1484,0.108053007135576
"[70,75)",0,"Anemia",8185,980,0.119731215638363
"[70,75)",1,"Anemia",10854,1293,0.119126589275843
"[75,80)",0,"Anemia",5228,735,0.140589135424637
"[75,80)",1,"Anemia",6307,811,0.128587283970192
"[80,120]",0,"Anemia",4030,731,0.181389578163772
"[80,120]",1,"Anemia",4551,714,0.156888595912986
"[40,45)",0,"Anxiety",4682,551,0.117684750106792
"[40,45)",1,"Anxiety",9944,1641,0.165024135156879
"[45,50)",0,"Anxiety",5494,672,0.122315253003276
"[45,50)",1,"Anxiety",10419,1718,0.164891064401574
"[50,55)",0,"Anxiety",7051,761,0.107927953481776
"[50,55)",1,"Anxiety",12562,2067,0.164543862442286
"[55,60)",0,"Anxiety",8940,940,0.105145413870246
"[55,60)",1,"Anxiety",14769,2262,0.153158643103799
"[60,65)",0,"Anxiety",9404,905,0.0962356444066355
"[60,65)",1,"Anxiety",14518,2031,0.139895302383248
"[65,70)",0,"Anxiety",9049,772,0.0853132942866615
"[65,70)",1,"Anxiety",13734,1775,0.12924129896607
"[70,75)",0,"Anxiety",8185,589,0.0719609040928528
"[70,75)",1,"Anxiety",10854,1381,0.127234199373503
"[75,80)",0,"Anxiety",5228,307,0.0587222647283856
"[75,80)",1,"Anxiety",6307,719,0.114000317107975
"[80,120]",0,"Anxiety",4030,230,0.0570719602977667
"[80,120]",1,"Anxiety",4551,465,0.102175346077785
"[40,45)",0,"Arthritis",4682,279,0.0595899188381034
"[40,45)",1,"Arthritis",9944,810,0.081456154465004
"[45,50)",0,"Arthritis",5494,510,0.0928285402257008
"[45,50)",1,"Arthritis",10419,1266,0.121508782032825
"[50,55)",0,"Arthritis",7051,796,0.112891788398809
"[50,55)",1,"Arthritis",12562,1969,0.156742556917688
"[55,60)",0,"Arthritis",8940,1244,0.139149888143177
"[55,60)",1,"Arthritis",14769,2911,0.197102038052678
"[60,65)",0,"Arthritis",9404,1550,0.164823479370481
