"age_group","is_female","N","n_prefrail","n_frail","n_robust","prefrail","frail","robust"
"[40,45)",0,55073,113,1,54959,0.00205182212699508,0.0000181577179380096,0.997930020155067
"[40,45)",1,50353,216,2,50135,0.00428971461481938,0.0000397195797668461,0.995670565805414
"[45,50)",0,54579,306,2,54271,0.00560655197053812,0.0000366441305263929,0.994356803898935
"[45,50)",1,51196,436,4,50756,0.00851629033518244,0.0000781311039924994,0.991405578560825
"[50,55)",0,56368,587,9,55772,0.0104137099063298,0.000159665058189043,0.989426625035481
"[50,55)",1,53152,683,17,52452,0.012849939795304,0.000319837447320891,0.986830222757375
"[55,60)",0,51650,988,28,50634,0.0191287512100678,0.000542110358180058,0.980329138431752
"[55,60)",1,47543,1014,32,46497,0.0213280609132785,0.000673074900616284,0.977998864186105
"[60,65)",0,46185,1700,66,44419,0.0368084876042005,0.00142903540110425,0.961762476994695
"[60,65)",1,43308,1517,53,41738,0.0350281703149534,0.00122379237092454,0.963748037314122
"[65,70)",0,42604,2636,142,39826,0.0618721246831283,0.00333302037367383,0.934794854943198
"[65,70)",1,40959,2303,93,38563,0.0562269586659831,0.002270563246173,0.941502478087844
"[70,75)",0,36058,3619,264,32175,0.100366076876144,0.0073215375228798,0.892312385600976
"[70,75)",1,37263,3333,217,33713,0.0894452942597214,0.00582347100340821,0.90473123473687
"[75,80)",0,28999,4784,469,23746,0.164971205903652,0.0161729714817752,0.818855822614573
"[75,80)",1,31636,4713,419,26504,0.14897585029713,0.0132444051081047,0.837779744594765
"[80,120]",0,42531,11014,1564,29953,0.258964049751946,0.036773177211916,0.704262773036138
"[80,120]",1,62998,15462,2152,45384,0.245436363059145,0.0341598145972888,0.720403822343566
