"age_group","is_female","N","n_prefrail","n_frail","n_robust","prefrail","frail","robust"
"[40,45)",0,169306,270,1,169035,0.00159474560854311,0.00000590646521682634,0.99839934792624
"[40,45)",1,183841,535,2,183304,0.00291012342186999,0.0000108789660630654,0.997078997612067
"[45,50)",0,187752,600,5,187147,0.00319570497251694,0.0000266308747709745,0.996777664152712
"[45,50)",1,202984,949,6,202029,0.00467524533953415,0.0000295589800181295,0.995295195680448
"[50,55)",0,191734,1193,14,190527,0.0062221619535398,0.0000730178267808526,0.993704820219679
"[50,55)",1,203977,1630,19,202328,0.00799109703545008,0.0000931477568549395,0.991915755207695
"[55,60)",0,176579,2107,30,174442,0.0119323362347731,0.000169895627452868,0.987897768137774
"[55,60)",1,182586,2376,30,180180,0.0130130459071342,0.000164306135191088,0.986822647957675
"[60,65)",0,166370,3692,74,162604,0.0221915008715514,0.000444791729278115,0.977363707399171
"[60,65)",1,170565,3453,60,167052,0.0202444815759388,0.000351772051710492,0.979403746372351
"[65,70)",0,162410,6190,150,156070,0.0381134166615356,0.000923588448987131,0.960962994889477
"[65,70)",1,166487,5478,121,160888,0.032903469940596,0.000726783472583445,0.966369746586821
"[70,75)",0,131495,8554,314,122627,0.0650519031141868,0.00238792349518993,0.932560173390623
"[70,75)",1,140385,7848,248,132289,0.0559034084838124,0.00176657050254657,0.942330021013641
"[75,80)",0,104234,11717,550,91967,0.112410537828348,0.00527658921273289,0.882312872958919
"[75,80)",1,119257,11551,469,107237,0.0968580460685746,0.00393268319679348,0.899209270734632
"[80,120]",0,147957,28101,1604,118252,0.189926803057645,0.0108409875842306,0.799232209358124
"[80,120]",1,228084,38643,1946,187495,0.169424422581154,0.00853194437137195,0.822043633047474
