"age_group","is_female","category","N","count","percent"
"[40,45)",0,"Activity limitation",5892,0,0
"[40,45)",1,"Activity limitation",7047,0,0
"[45,50)",0,"Activity limitation",11224,0,0
"[45,50)",1,"Activity limitation",14464,0,0
"[50,55)",0,"Activity limitation",12609,0,0
"[50,55)",1,"Activity limitation",17401,0,0
"[55,60)",0,"Activity limitation",15274,0,0
"[55,60)",1,"Activity limitation",20274,0,0
"[60,65)",0,"Activity limitation",21605,0,0
"[60,65)",1,"Activity limitation",27154,0,0
"[65,70)",0,"Activity limitation",20753,21,0.00101190189370212
"[65,70)",1,"Activity limitation",22406,0,0
"[70,75)",0,"Activity limitation",5461,0,0
"[70,75)",1,"Activity limitation",5638,0,0
"[40,45)",0,"Anaemia and haematinic deficiency",5892,51,0.00865580448065173
"[40,45)",1,"Anaemia and haematinic deficiency",7047,284,0.0403008372357031
"[45,50)",0,"Anaemia and haematinic deficiency",11224,104,0.00926585887384177
"[45,50)",1,"Anaemia and haematinic deficiency",14464,605,0.0418279867256637
"[50,55)",0,"Anaemia and haematinic deficiency",12609,190,0.0150686017923705
"[50,55)",1,"Anaemia and haematinic deficiency",17401,644,0.0370093672777427
"[55,60)",0,"Anaemia and haematinic deficiency",15274,265,0.0173497446641351
"[55,60)",1,"Anaemia and haematinic deficiency",20274,470,0.0231824011048634
"[60,65)",0,"Anaemia and haematinic deficiency",21605,458,0.0211987965748669
"[60,65)",1,"Anaemia and haematinic deficiency",27154,558,0.0205494586432938
"[65,70)",0,"Anaemia and haematinic deficiency",20753,589,0.0283814388281212
"[65,70)",1,"Anaemia and haematinic deficiency",22406,622,0.027760421315719
"[70,75)",0,"Anaemia and haematinic deficiency",5461,178,0.0325947628639443
"[70,75)",1,"Anaemia and haematinic deficiency",5638,171,0.0303299042213551
"[40,45)",0,"Arthritis",5892,177,0.030040733197556
"[40,45)",1,"Arthritis",7047,131,0.0185894706967504
"[45,50)",0,"Arthritis",11224,492,0.0438346400570207
"[45,50)",1,"Arthritis",14464,439,0.0303512168141593
"[50,55)",0,"Arthritis",12609,784,0.06217780950115
"[50,55)",1,"Arthritis",17401,982,0.0564335383023964
"[55,60)",0,"Arthritis",15274,1333,0.0872724891973288
"[55,60)",1,"Arthritis",20274,1804,0.0889809608365394
"[60,65)",0,"Arthritis",21605,2459,0.113816246239296
"[60,65)",1,"Arthritis",27154,3233,0.11906164837593
"[65,70)",0,"Arthritis",20753,3096,0.149183250614369
"[65,70)",1,"Arthritis",22406,3351,0.149558154065875
"[70,75)",0,"Arthritis",5461,888,0.162607581029116
"[70,75)",1,"Arthritis",5638,918,0.162823696346222
"[40,45)",0,"Atrial fibrillation",5892,0,0
"[40,45)",1,"Atrial fibrillation",7047,0,0
"[45,50)",0,"Atrial fibrillation",11224,42,0.00374198146828225
"[45,50)",1,"Atrial fibrillation",14464,0,0
"[50,55)",0,"Atrial fibrillation",12609,78,0.00618605757792053
"[50,55)",1,"Atrial fibrillation",17401,37,0.00212631457962186
"[55,60)",0,"Atrial fibrillation",15274,156,0.0102134345947362
"[55,60)",1,"Atrial fibrillation",20274,63,0.00310742823320509
"[60,65)",0,"Atrial fibrillation",21605,396,0.0183290904883129
"[60,65)",1,"Atrial fibrillation",27154,179,0.00659203064005303
"[65,70)",0,"Atrial fibrillation",20753,613,0.0295378981352094
"[65,70)",1,"Atrial fibrillation",22406,276,0.0123181290725698
"[70,75)",0,"Atrial fibrillation",5461,222,0.0406518952572789
"[70,75)",1,"Atrial fibrillation",5638,89,0.0157857396239801
"[40,45)",0,"Cerebrovascular disease",5892,25,0.00424304141208418
"[40,45)",1,"Cerebrovascular disease",7047,0,0
"[45,50)",0,"Cerebrovascular disease",11224,39,0.00347469707769066
"[45,50)",1,"Cerebrovascular disease",14464,54,0.00373340707964602
"[50,55)",0,"Cerebrovascular disease",12609,104,0.00824807677056071
"[50,55)",1,"Cerebrovascular disease",17401,87,0.00499971266019194
"[55,60)",0,"Cerebrovascular disease",15274,174,0.0113919078172057
"[55,60)",1,"Cerebrovascular disease",20274,156,0.00769458419650784
"[60,65)",0,"Cerebrovascular disease",21605,397,0.0183753760703541
"[60,65)",1,"Cerebrovascular disease",27154,249,0.00916991971716874
"[65,70)",0,"Cerebrovascular disease",20753,548,0.026405820845179
"[65,70)",1,"Cerebrovascular disease",22406,350,0.0156208158528965
"[70,75)",0,"Cerebrovascular disease",5461,187,0.0342428126716719
"[70,75)",1,"Cerebrovascular disease",5638,145,0.0257183398368216
"[40,45)",0,"Chronic kidney disease",5892,172,0.0291921249151392
"[40,45)",1,"Chronic kidney disease",7047,210,0.0297999148573861
"[45,50)",0,"Chronic kidney disease",11224,445,0.0396471846044191
"[45,50)",1,"Chronic kidney disease",14464,517,0.0357439159292035
"[50,55)",0,"Chronic kidney disease",12609,631,0.0500436196367674
"[50,55)",1,"Chronic kidney disease",17401,786,0.0451698178265617
"[55,60)",0,"Chronic kidney disease",15274,950,0.0621971978525599
"[55,60)",1,"Chronic kidney disease",20274,1192,0.0587945151425471
"[60,65)",0,"Chronic kidney disease",21605,1739,0.0804906271696367
"[60,65)",1,"Chronic kidney disease",27154,2165,0.0797304264565073
"[65,70)",0,"Chronic kidney disease",20753,2285,0.110104563195683
"[65,70)",1,"Chronic kidney disease",22406,2331,0.104034633580291
"[70,75)",0,"Chronic kidney disease",5461,738,0.135140084233657
"[70,75)",1,"Chronic kidney disease",5638,692,0.122738559772969
"[40,45)",0,"Diabetes",5892,142,0.0241004752206382
"[40,45)",1,"Diabetes",7047,103,0.0146161487157656
"[45,50)",0,"Diabetes",11224,390,0.0347469707769066
"[45,50)",1,"Diabetes",14464,260,0.0179756637168142
"[50,55)",0,"Diabetes",12609,621,0.0492505353319058
"[50,55)",1,"Diabetes",17401,465,0.0267226021493018
"[55,60)",0,"Diabetes",15274,1010,0.0661254419274584
"[55,60)",1,"Diabetes",20274,673,0.0331952254118575
"[60,65)",0,"Diabetes",21605,1870,0.0865540384170331
"[60,65)",1,"Diabetes",27154,1163,0.0428297856669367
"[65,70)",0,"Diabetes",20753,2186,0.105334168553944
"[65,70)",1,"Diabetes",22406,1177,0.0525305721681692
"[70,75)",0,"Diabetes",5461,642,0.117560886284563
"[70,75)",1,"Diabetes",5638,345,0.061191912025541
"[40,45)",0,"Dizziness",5892,86,0.0145960624575696
"[40,45)",1,"Dizziness",7047,246,0.0349084716900809
"[45,50)",0,"Dizziness",11224,185,0.0164825374198147
"[45,50)",1,"Dizziness",14464,520,0.0359513274336283
"[50,55)",0,"Dizziness",12609,268,0.0212546593702911
"[50,55)",1,"Dizziness",17401,716,0.0411470605137636
"[55,60)",0,"Dizziness",15274,396,0.0259264108943302
"[55,60)",1,"Dizziness",20274,872,0.043010752688172
"[60,65)",0,"Dizziness",21605,607,0.0280953482990049
"[60,65)",1,"Dizziness",27154,1242,0.0457391176253959
"[65,70)",0,"Dizziness",20753,761,0.0366693971955862
"[65,70)",1,"Dizziness",22406,1223,0.0545835936802642
"[70,75)",0,"Dizziness",5461,250,0.0457791613257645
"[70,75)",1,"Dizziness",5638,337,0.0597729691379922
"[40,45)",0,"Dyspnoea",5892,235,0.0398845892735913
"[40,45)",1,"Dyspnoea",7047,409,0.0580388817936711
"[45,50)",0,"Dyspnoea",11224,435,0.0387562366357805
"[45,50)",1,"Dyspnoea",14464,785,0.0542726769911504
"[50,55)",0,"Dyspnoea",12609,568,0.0450471885161393
"[50,55)",1,"Dyspnoea",17401,1045,0.0600540198839147
"[55,60)",0,"Dyspnoea",15274,827,0.0541442974990179
"[55,60)",1,"Dyspnoea",20274,1247,0.0615073493143928
"[60,65)",0,"Dyspnoea",21605,1355,0.0627169636658181
"[60,65)",1,"Dyspnoea",27154,1879,0.0691979082271489
"[65,70)",0,"Dyspnoea",20753,1742,0.0839396713728136
"[65,70)",1,"Dyspnoea",22406,1956,0.0872980451664733
"[70,75)",0,"Dyspnoea",5461,514,0.0941219556857718
"[70,75)",1,"Dyspnoea",5638,555,0.0984391628236963
"[40,45)",0,"Falls",5892,0,0
"[40,45)",1,"Falls",7047,55,0.00780473960550589
"[45,50)",0,"Falls",11224,62,0.00552387740555952
"[45,50)",1,"Falls",14464,116,0.00801991150442478
"[50,55)",0,"Falls",12609,68,0.00539297327305893
"[50,55)",1,"Falls",17401,204,0.0117234641687259
"[55,60)",0,"Falls",15274,89,0.00582689537776614
"[55,60)",1,"Falls",20274,319,0.0157344381967051
"[60,65)",0,"Falls",21605,181,0.00837769034945614
"[60,65)",1,"Falls",27154,469,0.0172718568166753
"[65,70)",0,"Falls",20753,207,0.00997446152363514
"[65,70)",1,"Falls",22406,484,0.0216013567794341
"[70,75)",0,"Falls",5461,76,0.0139168650430324
"[70,75)",1,"Falls",5638,145,0.0257183398368216
"[40,45)",0,"Foot problems",5892,0,0
"[40,45)",1,"Foot problems",7047,0,0
"[45,50)",0,"Foot problems",11224,22,0.00196008553100499
"[45,50)",1,"Foot problems",14464,56,0.0038716814159292
"[50,55)",0,"Foot problems",12609,30,0.00237925291458482
"[50,55)",1,"Foot problems",17401,75,0.00431009712085512
"[55,60)",0,"Foot problems",15274,53,0.00346994893282703
"[55,60)",1,"Foot problems",20274,85,0.00419256190194338
"[60,65)",0,"Foot problems",21605,112,0.00518398518861375
"[60,65)",1,"Foot problems",27154,156,0.00574500994328644
"[65,70)",0,"Foot problems",20753,156,0.00751698549607286
"[65,70)",1,"Foot problems",22406,175,0.00781040792644827
"[70,75)",0,"Foot problems",5461,51,0.00933894891045596
"[70,75)",1,"Foot problems",5638,45,0.00798155374246187
"[40,45)",0,"Fragility fracture",5892,0,0
"[40,45)",1,"Fragility fracture",7047,29,0.00411522633744856
"[45,50)",0,"Fragility fracture",11224,55,0.00490021382751247
"[45,50)",1,"Fragility fracture",14464,56,0.0038716814159292
"[50,55)",0,"Fragility fracture",12609,64,0.00507573955111428
"[50,55)",1,"Fragility fracture",17401,97,0.00557439227630596
"[55,60)",0,"Fragility fracture",15274,64,0.00419012701322509
"[55,60)",1,"Fragility fracture",20274,204,0.0100621485646641
"[60,65)",0,"Fragility fracture",21605,106,0.00490627169636658
"[60,65)",1,"Fragility fracture",27154,372,0.0136996390955292
"[65,70)",0,"Fragility fracture",20753,112,0.00539681009974462
"[65,70)",1,"Fragility fracture",22406,430,0.0191912880478443
"[70,75)",0,"Fragility fracture",5461,28,0.00512726606848563
"[70,75)",1,"Fragility fracture",5638,123,0.0218162468960624
"[40,45)",0,"Hearing impairment",5892,115,0.0195179904955872
"[40,45)",1,"Hearing impairment",7047,151,0.0214275578260253
"[45,50)",0,"Hearing impairment",11224,304,0.0270848182466144
