"age_group","is_female","n","n_prefrail","n_frail","n_robust","prefrail","frail","robust"
"[40,45)",0,56050,117,4,16793,0.00208742194469224,0.0000713648528099911,0.299607493309545
"[40,45)",1,51159,249,9,20515,0.00486717879551985,0.000175922125139272,0.401004710803573
"[45,50)",0,56112,289,6,20769,0.00515041345879669,0.000106928999144568,0.370134730538922
"[45,50)",1,51796,471,13,23587,0.00909336628311067,0.000250984632017916,0.455382655031277
"[50,55)",0,56983,603,23,25327,0.0105821034343576,0.000403629152554271,0.444465893336609
"[50,55)",1,53701,911,32,26920,0.0169643023407385,0.000595892069048994,0.501294203087466
"[55,60)",0,52084,1048,35,27399,0.0201213424468167,0.000671991398510099,0.526054066507949
"[55,60)",1,48163,1298,52,26569,0.0269501484542076,0.00107966696426718,0.551647530261819
"[60,65)",0,46881,1836,100,28002,0.0391629871376464,0.00213306030161473,0.597299545658156
"[60,65)",1,43894,1900,94,26484,0.0432860983277897,0.00214152275937486,0.603362646375359
"[65,70)",0,43151,2951,238,28159,0.0683877546290932,0.0055155152835392,0.652568886004959
"[65,70)",1,41309,2873,214,26713,0.0695490086906001,0.00518046914715921,0.646662954804038
"[70,75)",0,36252,4259,419,24595,0.11748317334216,0.0115579830078341,0.678445327154364
"[70,75)",1,37439,4142,469,25263,0.110633296829509,0.0125270439915596,0.674777638291621
"[75,80)",0,29396,5462,788,19361,0.185807592869778,0.0268063682133624,0.658627024084909
"[75,80)",1,31970,5920,827,21073,0.185173600250235,0.025868001251173,0.659149202377229
"[80,120]",0,43290,12832,2841,24340,0.296419496419496,0.0656271656271656,0.562254562254562
"[80,120]",1,64298,20211,4451,35600,0.314333260754611,0.0692245481974556,0.553671964913372
