"age_group","is_female","n","n_prefrail","n_frail","n_robust","prefrail","frail","robust"
"[40,45)",0,172657,360,8,57081,0.0020850588160341,0.0000463346403563134,0.330603450772341
"[40,45)",1,187171,809,10,74629,0.00432225077602834,0.000053427080049794,0.398720955703608
"[45,50)",0,191151,755,15,73808,0.00394975699839394,0.000078471993345575,0.386124058990013
"[45,50)",1,206166,1403,30,91344,0.00680519581308266,0.000145513809260499,0.443060446436367
"[50,55)",0,194439,1460,43,88711,0.00750878167445831,0.000221149049316238,0.456240774741693
"[50,55)",1,206433,2286,73,101465,0.0110738108732615,0.000353625631560845,0.491515406935907
"[55,60)",0,179077,2656,90,94632,0.014831608749309,0.000502577103703993,0.528443071974625
"[55,60)",1,184234,3338,123,99490,0.0181182626442459,0.000667629210677725,0.540019757482332
"[60,65)",0,168738,4500,195,101533,0.0266685630978203,0.00115563773423888,0.601719826002442
"[60,65)",1,172121,4918,203,101952,0.0285729225370524,0.00117940286194015,0.592327490544443
"[65,70)",0,164562,7675,365,107648,0.0466389567457858,0.00221800901787776,0.654148588373987
"[65,70)",1,168324,7775,402,107635,0.0461906798792804,0.00238825122977116,0.639451296309498
"[70,75)",0,133029,10765,700,91555,0.080922204932759,0.00526201053905539,0.688233392718881
"[70,75)",1,142086,11148,793,96511,0.0784595245133229,0.00558112692313106,0.67924355671917
"[75,80)",0,105382,14305,1314,73226,0.13574424474768,0.0124689225864,0.694862500237232
"[75,80)",1,120407,16322,1497,82912,0.135556902837875,0.0124328319782072,0.688597838996072
"[80,120]",0,151396,35140,3970,98203,0.232106528574071,0.0262226214695236,0.648649898280007
"[80,120]",1,233184,56307,6147,151589,0.241470255249074,0.0263611568546727,0.650083196102649
