"age_group","is_female","n","n_prefrail","n_frail","n_robust","prefrail","frail","robust"
"[55,60)",1,368495,51663,14394,302438,0.1402,0.039,0.8207
"[65,70)",1,304928,74154,31927,198847,0.2431,0.1047,0.6521
"[40,45)",0,285485,11476,1557,272452,0.0401,0.0054,0.9543
"[70,75)",0,199209,58778,31129,109302,0.295,0.1562,0.5486
"[70,75)",1,241254,73016,40628,127610,0.3026,0.1684,0.5289
"[65,70)",0,269406,61558,24858,182990,0.2284,0.0922,0.6792
"[55,60)",0,334581,39041,10155,285385,0.1166,0.0303,0.8529
"[80,100]",0,190269,63611,77115,49543,0.3343,0.4052,0.2603
"[45,50)",1,320069,28667,5434,285968,0.0895,0.0169,0.8934
"[45,50)",0,291082,17209,2990,270883,0.0591,0.0102,0.9306
"[60,65)",0,329938,51462,15671,262805,0.1559,0.0474,0.7965
"[40,45)",1,310478,20614,2980,286884,0.0663,0.0095,0.924
"[75,80)",1,184773,62139,45981,76653,0.3362,0.2488,0.4148
"[50,55)",0,313607,26523,5544,281540,0.0845,0.0176,0.8977
"[60,65)",1,368427,64065,20908,283454,0.1738,0.0567,0.7693
"[50,55)",1,344467,39069,8883,296515,0.1134,0.0257,0.8607
"[75,80)",0,150157,50686,36793,62678,0.3375,0.245,0.4174
"[80,100]",1,293074,96990,121653,74431,0.3309,0.415,0.2539
