"age_group","is_female","N","n_prefrail","n_frail","n_robust","prefrail","frail","robust"
"[75,80)",1,6307,1362,311,4634,0.215950531155859,0.0493102901537974,0.734739178690344
"[80,120]",1,4551,1208,360,2983,0.265436167875192,0.0791034937376401,0.655460338387168
"[65,70)",0,9049,1466,303,7280,0.162006851585811,0.0334843629130291,0.80450878550116
"[65,70)",1,13734,2184,439,11111,0.159021406727829,0.0319644677442843,0.809014125527887
"[50,55)",1,12562,1198,215,11149,0.0953669797802898,0.017115109059067,0.887517911160643
"[55,60)",1,14769,1704,318,12747,0.115376802762543,0.021531586431038,0.863091610806419
"[40,45)",0,4682,206,33,4443,0.0439982913284921,0.00704826997009825,0.94895343870141
"[40,45)",1,9944,528,69,9347,0.0530973451327434,0.00693885760257442,0.939963797264682
"[70,75)",0,8185,1530,349,6306,0.186927306047648,0.0426389737324374,0.770433720219915
"[70,75)",1,10854,2119,443,8292,0.195227565874332,0.0408144462870831,0.763957987838585
"[75,80)",0,5228,1143,264,3821,0.218630451415455,0.0504973221117062,0.730872226472839
"[80,120]",0,4030,1034,301,2695,0.256575682382134,0.0746898263027295,0.668734491315137
"[50,55)",0,7051,623,153,6275,0.0883562615231882,0.021699049780173,0.889944688696639
"[60,65)",0,9404,1240,303,7861,0.131858783496385,0.0322203317737133,0.835920884729902
"[60,65)",1,14518,1983,385,12150,0.13658906185425,0.0265188042430087,0.836892133902741
"[55,60)",0,8940,958,217,7765,0.107158836689038,0.0242729306487696,0.868568232662192
"[45,50)",0,5494,416,80,4998,0.0757189661448853,0.0145613396432472,0.909719694211867
"[45,50)",1,10419,783,124,9512,0.0751511661387849,0.0119013341011613,0.912947499760054
