"age_group","is_female","category","N","count","percent"
"[40,45)",0,"AFIB",4682,87,0.0185818026484408
"[40,45)",1,"AFIB",9944,88,0.00884955752212389
"[45,50)",0,"AFIB",5494,152,0.0276665453221696
"[45,50)",1,"AFIB",10419,131,0.0125731836068721
"[50,55)",0,"AFIB",7051,274,0.0388597362076301
"[50,55)",1,"AFIB",12562,225,0.0179111606432097
"[55,60)",0,"AFIB",8940,462,0.0516778523489933
"[55,60)",1,"AFIB",14769,365,0.0247139278217889
"[60,65)",0,"AFIB",9404,681,0.0724159931943854
"[60,65)",1,"AFIB",14518,527,0.0362997658079625
"[65,70)",0,"AFIB",9049,934,0.103215824953033
"[65,70)",1,"AFIB",13734,746,0.054317751565458
"[70,75)",0,"AFIB",8185,1108,0.135369578497251
"[70,75)",1,"AFIB",10854,887,0.0817210245070942
"[75,80)",0,"AFIB",5228,992,0.189747513389441
"[75,80)",1,"AFIB",6307,729,0.115585856984303
"[80,120]",0,"AFIB",4030,1020,0.253101736972705
"[80,120]",1,"AFIB",4551,810,0.17798286090969
"[40,45)",0,"Anemia",4682,469,0.10017086715079
"[40,45)",1,"Anemia",9944,1807,0.181717618664521
"[45,50)",0,"Anemia",5494,739,0.134510374954496
"[45,50)",1,"Anemia",10419,2026,0.194452442652846
"[50,55)",0,"Anemia",7051,1008,0.142958445610552
"[50,55)",1,"Anemia",12562,2215,0.176325425887598
"[55,60)",0,"Anemia",8940,1366,0.152796420581655
"[55,60)",1,"Anemia",14769,2313,0.15661182205972
"[60,65)",0,"Anemia",9404,1568,0.166737558485751
"[60,65)",1,"Anemia",14518,2355,0.162212425953988
"[65,70)",0,"Anemia",9049,1691,0.186871477511327
"[65,70)",1,"Anemia",13734,2412,0.17562254259502
"[70,75)",0,"Anemia",8185,1605,0.196090409285278
"[70,75)",1,"Anemia",10854,2112,0.194582642343836
"[75,80)",0,"Anemia",5228,1158,0.221499617444529
"[75,80)",1,"Anemia",6307,1312,0.208022831774219
"[80,120]",0,"Anemia",4030,1121,0.278163771712159
"[80,120]",1,"Anemia",4551,1135,0.249395737200615
"[40,45)",0,"Anxiety",4682,849,0.181332763776164
"[40,45)",1,"Anxiety",9944,2436,0.244971842316975
"[45,50)",0,"Anxiety",5494,1028,0.187113214415726
"[45,50)",1,"Anxiety",10419,2615,0.250983779633362
"[50,55)",0,"Anxiety",7051,1198,0.169904978017303
"[50,55)",1,"Anxiety",12562,3143,0.250199012896036
"[55,60)",0,"Anxiety",8940,1467,0.164093959731544
"[55,60)",1,"Anxiety",14769,3452,0.23373281874196
"[60,65)",0,"Anxiety",9404,1414,0.150361548277329
"[60,65)",1,"Anxiety",14518,3135,0.215938834550214
"[65,70)",0,"Anxiety",9049,1164,0.128632998121339
"[65,70)",1,"Anxiety",13734,2801,0.203946410368429
"[70,75)",0,"Anxiety",8185,977,0.119364691508858
"[70,75)",1,"Anxiety",10854,2146,0.197715128063387
"[75,80)",0,"Anxiety",5228,506,0.0967865340474369
"[75,80)",1,"Anxiety",6307,1121,0.177739020136356
"[80,120]",0,"Anxiety",4030,406,0.100744416873449
"[80,120]",1,"Anxiety",4551,753,0.165458141067897
"[40,45)",0,"Arthritis",4682,471,0.100598035027766
"[40,45)",1,"Arthritis",9944,1359,0.136665325824618
"[45,50)",0,"Arthritis",5494,851,0.154896250455042
"[45,50)",1,"Arthritis",10419,2068,0.19848353968711
"[50,55)",0,"Arthritis",7051,1330,0.188625726847256
"[50,55)",1,"Arthritis",12562,3137,0.24972138194555
"[55,60)",0,"Arthritis",8940,2061,0.230536912751678
"[55,60)",1,"Arthritis",14769,4550,0.308077730381204
"[60,65)",0,"Arthritis",9404,2594,0.275840068056146
"[60,65)",1,"Arthritis",14518,5112,0.352114616338339
"[65,70)",0,"Arthritis",9049,2852,0.315172947286993
"[65,70)",1,"Arthritis",13734,5581,0.40636376874909
"[70,75)",0,"Arthritis",8185,2980,0.364080635308491
"[70,75)",1,"Arthritis",10854,4882,0.449788096554266
"[75,80)",0,"Arthritis",5228,1983,0.379303749043611
"[75,80)",1,"Arthritis",6307,2978,0.472173775170446
"[80,120]",0,"Arthritis",4030,1717,0.42605459057072
"[80,120]",1,"Arthritis",4551,2283,0.501647989452867
"[40,45)",0,"CAD",4682,286,0.0610850064075182
"[40,45)",1,"CAD",9944,393,0.039521319388576
"[45,50)",0,"CAD",5494,503,0.0915544230069166
"[45,50)",1,"CAD",10419,626,0.0600825415107016
"[50,55)",0,"CAD",7051,901,0.127783293149908
"[50,55)",1,"CAD",12562,1002,0.0797643687310938
"[55,60)",0,"CAD",8940,1343,0.150223713646532
"[55,60)",1,"CAD",14769,1374,0.0930327036359943
"[60,65)",0,"CAD",9404,1837,0.195342407486176
"[60,65)",1,"CAD",14518,1720,0.118473618955779
