"age_group","is_female","n","n_prefrail","n_frail","n_robust","prefrail","frail","robust"
"[40,45)",0,169306,160,1,169145,0.000945034434692214,0.00000590646521682634,0.999049059100091
"[40,45)",1,183841,310,1,183530,0.00168623973977513,0.00000543948303153268,0.998308320777193
"[45,50)",0,187752,344,3,187405,0.00183220418424304,0.0000159785248625847,0.998151817290894
"[45,50)",1,202984,561,2,202421,0.00276376463169511,0.0000098529933393765,0.997226382374966
"[50,55)",0,191734,705,2,191027,0.00367696913432151,0.0000104311181115504,0.996312599747567
"[50,55)",1,203977,1003,10,202964,0.00491722105923707,0.0000490251351868103,0.995033753805576
"[55,60)",0,176579,1287,16,175276,0.00728852241772804,0.0000906110013081963,0.992620866580964
"[55,60)",1,182586,1542,13,181031,0.00844533534882192,0.0000711993252494715,0.991483465325929
"[60,65)",0,166370,2271,30,164069,0.0136502975296027,0.000180320971328966,0.986169381499068
"[60,65)",1,170565,2250,32,168283,0.0131914519391434,0.000187611760912262,0.986620936299944
"[65,70)",0,162410,3931,72,158407,0.0242041746197894,0.000443322455513823,0.975352502924697
"[65,70)",1,166487,3696,53,162738,0.0221999315261852,0.000318343173941509,0.977481725299873
"[70,75)",0,131495,5537,155,125803,0.0421080649454352,0.00117875204380395,0.956713183010761
"[70,75)",1,140385,5402,109,134874,0.0384798945756313,0.000776436228941839,0.960743669195427
"[75,80)",0,104234,7613,256,96365,0.0730375885027918,0.00245601243356294,0.924506399063645
"[75,80)",1,119257,8129,214,110914,0.0681637136604141,0.00179444393201238,0.930041842407574
"[80,120]",0,147957,18185,723,129049,0.12290733118406,0.00488655487743061,0.872206113938509
"[80,120]",1,228084,27332,989,199763,0.119833043966258,0.0043361217796952,0.875830834254047
