"age_group","is_female","n","n_prefrail","n_frail","n_robust","prefrail","frail","robust"
"[40,45)",0,5892,68,1,5823,0.011541072640869,0.000169721656483367,0.988289205702648
"[40,45)",1,7047,129,3,6915,0.0183056619838229,0.00042571306939123,0.981268624946786
"[45,50)",0,11224,221,10,10993,0.0196899501069138,0.000890947968638632,0.979419101924448
"[45,50)",1,14464,363,11,14090,0.0250967920353982,0.000760508849557522,0.974142699115044
"[50,55)",0,12609,413,21,12175,0.0327543817907844,0.00166547704020937,0.965580141169006
"[50,55)",1,17401,709,27,16665,0.0407447847824838,0.00155163496350784,0.957703580254008
"[55,60)",0,15274,799,52,14423,0.052311116930732,0.00340447819824538,0.944284404871023
"[55,60)",1,20274,1129,59,19086,0.055687086909342,0.0029101312025254,0.941402781888133
"[60,65)",0,21605,1845,121,19639,0.0853968988660032,0.00560055542698449,0.909002545707012
"[60,65)",1,27154,2030,125,24999,0.0747587832363556,0.00460337335199234,0.920637843411652
"[65,70)",0,20753,2635,221,17897,0.126969594757384,0.0106490627861032,0.862381342456512
"[65,70)",1,22406,2487,187,19732,0.110997054360439,0.00834597875569044,0.88065696688387
"[70,75)",0,5461,856,71,4534,0.156747848379418,0.0130012818165171,0.830250869804065
"[70,75)",1,5638,825,60,4753,0.146328485278468,0.0106420716566158,0.843029443064917
