"age_group","is_female","category","N","count","percent"
"[40,45)",0,"Activity limitation",169306,146,0.000862343921656645
"[40,45)",1,"Activity limitation",183841,213,0.00115860988571646
"[45,50)",0,"Activity limitation",187752,231,0.00123034641441902
"[45,50)",1,"Activity limitation",202984,342,0.00168486186103338
"[50,55)",0,"Activity limitation",191734,342,0.00178372119707511
"[50,55)",1,"Activity limitation",203977,476,0.00233359643489217
"[55,60)",0,"Activity limitation",176579,502,0.00284292016604466
"[55,60)",1,"Activity limitation",182586,645,0.00353258190660839
"[60,65)",0,"Activity limitation",166370,831,0.00499489090581235
"[60,65)",1,"Activity limitation",170565,754,0.00442060211649518
"[65,70)",0,"Activity limitation",162410,1115,0.00686534080413768
"[65,70)",1,"Activity limitation",166487,1223,0.00734591890057482
"[70,75)",0,"Activity limitation",131495,1458,0.0110878740636526
"[70,75)",1,"Activity limitation",140385,1528,0.0108843537414966
"[75,80)",0,"Activity limitation",104234,1898,0.0182090296832128
"[75,80)",1,"Activity limitation",119257,1958,0.0164183234527114
"[80,120]",0,"Activity limitation",147957,3665,0.0247707104091053
"[80,120]",1,"Activity limitation",228084,5263,0.0230748320794093
"[40,45)",0,"Anaemia and haematinic deficiency",169306,1074,0.00634354364287149
"[40,45)",1,"Anaemia and haematinic deficiency",183841,6857,0.0372985351472196
"[45,50)",0,"Anaemia and haematinic deficiency",187752,1572,0.00837274702799438
"[45,50)",1,"Anaemia and haematinic deficiency",202984,8390,0.0413333070586844
"[50,55)",0,"Anaemia and haematinic deficiency",191734,2218,0.0115681099857094
"[50,55)",1,"Anaemia and haematinic deficiency",203977,7503,0.0367835589306637
"[55,60)",0,"Anaemia and haematinic deficiency",176579,2820,0.0159701889805696
"[55,60)",1,"Anaemia and haematinic deficiency",182586,4646,0.0254455434699265
"[60,65)",0,"Anaemia and haematinic deficiency",166370,3778,0.0227084209893611
"[60,65)",1,"Anaemia and haematinic deficiency",170565,4468,0.0261952921173746
"[65,70)",0,"Anaemia and haematinic deficiency",162410,5024,0.0309340557847423
"[65,70)",1,"Anaemia and haematinic deficiency",166487,5480,0.032915482890556
"[70,75)",0,"Anaemia and haematinic deficiency",131495,5959,0.0453173124453401
"[70,75)",1,"Anaemia and haematinic deficiency",140385,6389,0.0455105602450404
"[75,80)",0,"Anaemia and haematinic deficiency",104234,7009,0.0672429341673542
"[75,80)",1,"Anaemia and haematinic deficiency",119257,7891,0.0661680236799517
"[80,120]",0,"Anaemia and haematinic deficiency",147957,14789,0.0999547165730584
"[80,120]",1,"Anaemia and haematinic deficiency",228084,21094,0.0924834710019116
"[40,45)",0,"Arthritis",169306,4761,0.0281206808973102
"[40,45)",1,"Arthritis",183841,3069,0.0166937734237738
"[45,50)",0,"Arthritis",187752,7347,0.0391314073884699
"[45,50)",1,"Arthritis",202984,5715,0.0281549284672684
"[50,55)",0,"Arthritis",191734,10441,0.0544556521013487
"[50,55)",1,"Arthritis",203977,9801,0.0480495349965928
"[55,60)",0,"Arthritis",176579,12925,0.0731966994942773
"[55,60)",1,"Arthritis",182586,13254,0.0725904505274227
"[60,65)",0,"Arthritis",166370,15352,0.092276251728076
"[60,65)",1,"Arthritis",170565,16383,0.0960513587195497
