"age_group","is_female","n","n_prefrail","n_frail","n_robust","prefrail","frail","robust"
"[40,45)",0,55073,50,0,55023,0.000907885896900478,0,0.9990921141031
"[40,45)",1,50353,69,0,50284,0.00137032550195619,0,0.998629674498044
"[45,50)",0,54579,81,0,54498,0.00148408728631891,0,0.998515912713681
"[45,50)",1,51196,154,0,51042,0.00300804750371123,0,0.996991952496289
"[50,55)",0,56368,175,0,56193,0.00310459835367584,0,0.996895401646324
"[50,55)",1,53152,251,4,52897,0.00472230583985551,0.0000752558699578567,0.995202438290187
"[55,60)",0,51650,233,2,51415,0.00451113262342691,0.0000387221684414327,0.995450145208132
"[55,60)",1,47543,295,6,47242,0.00620490924005637,0.000126201543865553,0.993668889216078
"[60,65)",0,46185,406,7,45772,0.00879073292194435,0.000151564360723179,0.991057702717333
"[60,65)",1,43308,445,13,42850,0.0102752378313476,0.000300175487207906,0.989424586681445
"[65,70)",0,42604,631,24,41949,0.0148108158858323,0.000563327387099803,0.984625856727068
"[65,70)",1,40959,674,20,40265,0.016455479870114,0.000488293171220001,0.983056226958666
"[70,75)",0,36058,918,39,35101,0.0254589827500139,0.00108159077042543,0.973459426479561
"[70,75)",1,37263,999,52,36212,0.0268094356332018,0.00139548613906556,0.971795078227733
"[75,80)",0,28999,1237,58,27704,0.0426566433325287,0.00200006896789544,0.955343287699576
"[75,80)",1,31636,1450,65,30121,0.0458338601593122,0.00205462131748641,0.952111518523201
"[80,120]",0,42531,3032,170,39329,0.0712891773059651,0.00399708447955609,0.924713738214479
"[80,120]",1,62998,4916,293,57789,0.0780342233086765,0.0046509412997238,0.9173148353916
